fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,38.0,1.0,4.0,27.0,17.5,False
loso_s1,1,2,37.0,2.0,3.0,24.0,16.5,False
loso_s1,1,3,35.0,3.0,1.0,16.0,13.75,False
loso_s1,1,4,34.0,5.0,2.0,12.0,13.25,False
loso_s1,1,5,31.0,4.0,5.0,4.0,11.0,False
loso_s1,1,6,28.0,16.0,6.0,1.0,12.75,False
loso_s1,1,7,17.0,9.0,8.0,10.0,11.0,False
loso_s1,1,8,22.0,20.0,7.0,18.0,16.75,False
loso_s1,1,9,14.0,12.0,12.0,2.0,10.0,False
loso_s1,1,10,9.0,6.0,19.0,29.0,15.75,False
loso_s1,1,11,2.0,17.0,14.0,36.0,17.25,False
loso_s1,1,12,24.0,13.0,28.0,32.0,24.25,False
loso_s1,1,13,5.0,22.0,9.0,40.0,19.0,False
loso_s1,1,14,36.0,19.0,10.0,37.0,25.5,False
loso_s1,1,15,15.0,27.0,11.0,9.0,15.5,False
loso_s1,1,16,3.0,7.0,30.0,5.0,11.25,False
loso_s1,1,17,1.0,18.0,13.0,20.0,13.0,False
loso_s1,1,18,13.0,25.0,16.0,6.0,15.0,False
loso_s1,1,19,33.0,10.0,15.0,11.0,17.25,False
loso_s1,1,20,7.0,11.0,17.0,3.0,9.5,True
loso_s1,1,21,25.0,26.0,22.0,7.0,20.0,False
loso_s1,1,22,40.0,8.0,18.0,19.0,21.25,False
loso_s1,1,23,32.0,15.0,23.0,23.0,23.25,False
loso_s1,1,24,6.0,36.0,26.0,8.0,19.0,False
loso_s1,1,25,20.0,14.0,21.0,34.0,22.25,False
loso_s1,1,26,30.0,31.0,20.0,26.0,26.75,False
loso_s1,1,27,10.0,23.0,27.0,38.0,24.5,False
loso_s1,1,28,4.0,38.0,31.0,30.0,25.75,False
loso_s1,1,29,11.0,24.0,24.0,35.0,23.5,False
loso_s1,1,30,29.0,32.0,37.0,13.0,27.75,False
loso_s1,1,31,21.0,39.0,40.0,21.0,30.25,False
loso_s1,1,32,18.0,21.0,25.0,28.0,23.0,False
loso_s1,1,33,16.0,33.0,36.0,14.0,24.75,False
loso_s1,1,34,23.0,35.0,29.0,25.0,28.0,False
loso_s1,1,35,12.0,40.0,33.0,15.0,25.0,False
loso_s1,1,36,27.0,37.0,34.0,17.0,28.75,False
loso_s1,1,37,39.0,29.0,38.0,39.0,36.25,False
loso_s1,1,38,8.0,30.0,32.0,33.0,25.75,False
loso_s1,1,39,19.0,34.0,39.0,22.0,28.5,False
loso_s1,1,40,26.0,28.0,35.0,31.0,30.0,False
loso_s2,2,1,40.0,1.0,3.0,18.0,15.5,False
loso_s2,2,2,39.0,2.0,4.0,17.0,15.5,False
loso_s2,2,3,38.0,3.0,1.0,15.0,14.25,False
loso_s2,2,4,37.0,4.0,2.0,8.0,12.75,False
loso_s2,2,5,35.0,5.0,5.0,5.0,12.5,False
loso_s2,2,6,33.0,9.0,6.0,2.0,12.5,False
