fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.5694444444444444,0.5694444444444444,0.5222212055212372,0.6670388077713392,0.5694444444444444,0.4259259259259259,TWO_BAND_INDEPENDENT,20
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5687868887009447,0.5685920577617328,0.5200315187360997,0.6638123612018563,0.5687868887009447,0.4253511101852334,TWO_BAND_INDEPENDENT,20
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.6077380952380952,0.5909090909090909,0.5770732535438418,0.7321428571428572,0.6077380952380952,0.4499999999999999,TWO_BAND_INDEPENDENT,20
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.579861111111111,0.5798611111111112,0.53987699159255,0.6072361963342667,0.579861111111111,0.4398148148148147,TWO_BAND_INDEPENDENT,20
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.585795846253586,0.5866425992779783,0.5447184178515133,0.6139083429008803,0.585795846253586,0.448708310700706,TWO_BAND_INDEPENDENT,20
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.4363095238095238,0.4090909090909091,0.4017857142857143,0.4738095238095238,0.4363095238095238,0.2228260869565217,TWO_BAND_INDEPENDENT,20
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.6284722222222223,0.6284722222222222,0.6183534243593813,0.65130509258941,0.6284722222222223,0.5046296296296297,TWO_BAND_INDEPENDENT,20
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.6357068681546579,0.6371841155234657,0.6273572766379911,0.658623030439335,0.6357068681546579,0.5157658539130888,TWO_BAND_INDEPENDENT,20
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.475,0.4090909090909091,0.375,0.375,0.475,0.2433862433862432,TWO_BAND_INDEPENDENT,20
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.265625,0.265625,0.1675617635455513,0.253775426562264,0.265625,0.0208333333333333,TWO_BAND_INDEPENDENT,15
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.2625230043708305,0.2622061482820976,0.1645640301517459,0.2471719457013574,0.2625230043708305,0.0166403709870032,TWO_BAND_INDEPENDENT,15
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.375,0.3478260869565217,0.2777777777777778,0.3214285714285714,0.375,0.1265822784810126,TWO_BAND_INDEPENDENT,15
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.3125,0.3125,0.285577235928056,0.3163158327403829,0.3125,0.0833333333333333,TWO_BAND_INDEPENDENT,15
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.3094289164941339,0.3074141048824593,0.2799888870316894,0.3082858145891321,0.3094289164941339,0.0787101881736799,TWO_BAND_INDEPENDENT,15
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.4374999999999999,0.4347826086956521,0.4394257703081232,0.4854166666666666,0.4374999999999999,0.2068965517241379,TWO_BAND_INDEPENDENT,15
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.3003472222222222,0.3003472222222222,0.2349812728598813,0.321352136360162,0.3003472222222222,0.0671296296296296,TWO_BAND_INDEPENDENT,15
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.2969030365769496,0.294755877034358,0.2313632705656202,0.3155073070921598,0.2969030365769496,0.0617985348622736,TWO_BAND_INDEPENDENT,15
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.3958333333333333,0.4347826086956521,0.3366071428571429,0.4571428571428571,0.3958333333333333,0.196236559139785,TWO_BAND_INDEPENDENT,15
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.6996527777777778,0.6996527777777778,0.6995499724509918,0.7342493239801582,0.6996527777777778,0.599537037037037,TWO_BAND_INDEPENDENT,7
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.7050864426093459,0.7053406998158379,0.70476046828988,0.735639999635138,0.7050864426093459,0.607277658492485,TWO_BAND_INDEPENDENT,7
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.6020833333333334,0.6060606060606061,0.6066666666666667,0.7625000000000001,0.6020833333333334,0.462406015037594,TWO_BAND_INDEPENDENT,7
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.6510416666666666,0.6510416666666666,0.5733239601253416,0.7390820296995095,0.6510416666666666,0.5347222222222222,TWO_BAND_INDEPENDENT,7
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.6472544124362558,0.6500920810313076,0.5675585639960343,0.738828732398314,0.6472544124362558,0.5326599021561877,TWO_BAND_INDEPENDENT,7
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.7097222222222221,0.6666666666666666,0.6375,0.7443181818181819,0.7097222222222221,0.564748201438849,TWO_BAND_INDEPENDENT,7
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.609375,0.609375,0.6160858910762229,0.7048785166240409,0.609375,0.4791666666666666,TWO_BAND_INDEPENDENT,7
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.6106879374794116,0.6095764272559853,0.6153180564465035,0.702999304257077,0.6106879374794116,0.4801598591072274,TWO_BAND_INDEPENDENT,7
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.5923611111111111,0.6060606060606061,0.6247695659460366,0.7426470588235294,0.5923611111111111,0.4562737642585551,TWO_BAND_INDEPENDENT,7
loso_s4,4,20260924,EEGNet,all,4608,576,4,0.3090277777777778,0.3090277777777778,0.241746148770538,0.4211610106346948,0.3090277777777778,0.0787037037037037,TWO_BAND_INDEPENDENT,7
loso_s4,4,20260924,EEGNet,unflagged,4608,490,4,0.3105486840608455,0.3163265306122449,0.2513460292440956,0.4310020482514312,0.3105486840608455,0.0818426910986562,TWO_BAND_INDEPENDENT,7
loso_s4,4,20260924,EEGNet,flagged,4608,86,4,0.3083333333333333,0.2674418604651162,0.1890243902439024,0.1538318452380952,0.3083333333333333,0.0657009829280911,TWO_BAND_INDEPENDENT,7
loso_s4,4,20260925,EEGNet,all,4608,576,4,0.3541666666666667,0.3541666666666667,0.2882564248323163,0.3753195836962177,0.3541666666666667,0.1388888888888888,TWO_BAND_INDEPENDENT,7
loso_s4,4,20260925,EEGNet,unflagged,4608,490,4,0.3643886684683649,0.3673469387755102,0.3026576555793441,0.3945601707698482,0.3643886684683649,0.1536425686028695,TWO_BAND_INDEPENDENT,7
loso_s4,4,20260925,EEGNet,flagged,4608,86,4,0.297536231884058,0.2790697674418604,0.2090852130325814,0.2678571428571429,0.297536231884058,0.0606060606060605,TWO_BAND_INDEPENDENT,7
loso_s4,4,20260926,EEGNet,all,4608,576,4,0.3229166666666667,0.3229166666666667,0.2298021330073523,0.4035806451612903,0.3229166666666667,0.0972222222222222,TWO_BAND_INDEPENDENT,7
loso_s4,4,20260926,EEGNet,unflagged,4608,490,4,0.3216988074888713,0.3285714285714285,0.2353696283364834,0.4046804113317874,0.3216988074888713,0.0978381917590505,TWO_BAND_INDEPENDENT,7
loso_s4,4,20260926,EEGNet,flagged,4608,86,4,0.3375,0.2906976744186046,0.1994949494949495,0.1736607142857142,0.3375,0.0980055020632737,TWO_BAND_INDEPENDENT,7
loso_s5,5,20260924,EEGNet,all,4608,576,4,0.2482638888888889,0.2482638888888889,0.1636465036465036,0.1271611881848102,0.2482638888888889,-0.0023148148148148,TWO_BAND_INDEPENDENT,10
loso_s5,5,20260924,EEGNet,unflagged,4608,538,4,0.2456522986856454,0.241635687732342,0.1600874565712232,0.1236432561851556,0.2456522986856454,-0.0059070183076324,TWO_BAND_INDEPENDENT,10
loso_s5,5,20260924,EEGNet,flagged,4608,38,4,0.2779720279720279,0.3421052631578947,0.210239651416122,0.1762422360248447,0.2779720279720279,0.05284147557328,TWO_BAND_INDEPENDENT,10
loso_s5,5,20260925,EEGNet,all,4608,576,4,0.2447916666666666,0.2447916666666666,0.1548987363683572,0.1196255052025109,0.2447916666666666,-0.0069444444444444,TWO_BAND_INDEPENDENT,10
loso_s5,5,20260925,EEGNet,unflagged,4608,538,4,0.2491821155943293,0.2453531598513011,0.1564291070759012,0.120081799591002,0.2491821155943293,-0.0009715144627342,TWO_BAND_INDEPENDENT,10
loso_s5,5,20260925,EEGNet,flagged,4608,38,4,0.1975524475524475,0.2368421052631578,0.1362612612612612,0.1127622377622377,0.1975524475524475,-0.0921704658077304,TWO_BAND_INDEPENDENT,10
loso_s5,5,20260926,EEGNet,all,4608,576,4,0.25,0.25,0.1151094350783791,0.204656862745098,0.25,0.0,TWO_BAND_INDEPENDENT,10
loso_s5,5,20260926,EEGNet,unflagged,4608,538,4,0.2517255011075648,0.2453531598513011,0.1118660729090176,0.2364203454894433,0.2517255011075648,0.002256511451567,TWO_BAND_INDEPENDENT,10
loso_s5,5,20260926,EEGNet,flagged,4608,38,4,0.2342657342657342,0.3157894736842105,0.1530448717948718,0.2035714285714285,0.2342657342657342,-0.028095733610822,TWO_BAND_INDEPENDENT,10
loso_s6,6,20260924,EEGNet,all,4608,576,4,0.2777777777777778,0.2777777777777778,0.2244040748314776,0.3675045525799517,0.2777777777777778,0.037037037037037,TWO_BAND_INDEPENDENT,14
loso_s6,6,20260924,EEGNet,unflagged,4608,434,4,0.2898382363828387,0.2834101382488479,0.2327921929028853,0.4101252913752914,0.2898382363828387,0.0525148292443227,TWO_BAND_INDEPENDENT,14
loso_s6,6,20260924,EEGNet,flagged,4608,142,4,0.2386625076860012,0.2605633802816901,0.1937885500687214,0.2686720105198366,0.2386625076860012,-0.0142857142857142,TWO_BAND_INDEPENDENT,14
loso_s6,6,20260925,EEGNet,all,4608,576,4,0.2725694444444444,0.2725694444444444,0.2133289314602192,0.3985061656547862,0.2725694444444444,0.0300925925925925,TWO_BAND_INDEPENDENT,14
loso_s6,6,20260925,EEGNet,unflagged,4608,434,4,0.282596150398101,0.2764976958525346,0.2207944026298331,0.4683503197442046,0.282596150398101,0.0440260396206296,TWO_BAND_INDEPENDENT,14
loso_s6,6,20260925,EEGNet,flagged,4608,142,4,0.2370314741750358,0.2605633802816901,0.179772359261054,0.2403439153439153,0.2370314741750358,-0.020603737422137,TWO_BAND_INDEPENDENT,14
loso_s6,6,20260926,EEGNet,all,4608,576,4,0.2760416666666667,0.2760416666666667,0.2382975436783389,0.3604826476313191,0.2760416666666667,0.0347222222222222,TWO_BAND_INDEPENDENT,14
loso_s6,6,20260926,EEGNet,unflagged,4608,434,4,0.2775028405837504,0.2788018433179723,0.2372814800517204,0.4401940861693184,0.2775028405837504,0.0390894686209043,TWO_BAND_INDEPENDENT,14
loso_s6,6,20260926,EEGNet,flagged,4608,142,4,0.270240443738471,0.2676056338028169,0.2410314891654009,0.2788327526132404,0.270240443738471,0.0263713080168775,TWO_BAND_INDEPENDENT,14
loso_s7,7,20260924,EEGNet,all,4608,576,4,0.2256944444444444,0.2256944444444444,0.1797586611921274,0.1584403303441285,0.2256944444444444,-0.0324074074074074,TWO_BAND_INDEPENDENT,12
loso_s7,7,20260924,EEGNet,unflagged,4608,548,4,0.225805152979066,0.2244525547445255,0.1802280550774526,0.159716633132126,0.225805152979066,-0.0327243703440938,TWO_BAND_INDEPENDENT,12
loso_s7,7,20260924,EEGNet,flagged,4608,28,4,0.2083333333333333,0.25,0.1607142857142857,0.13125,0.2083333333333333,-0.0297723292469349,TWO_BAND_INDEPENDENT,12
loso_s7,7,20260925,EEGNet,all,4608,576,4,0.3472222222222222,0.3472222222222222,0.3347736991433236,0.3713785617784328,0.3472222222222222,0.1296296296296296,TWO_BAND_INDEPENDENT,12
loso_s7,7,20260925,EEGNet,unflagged,4608,548,4,0.3420236961811065,0.3430656934306569,0.3279117665770962,0.3629163180499777,0.3420236961811065,0.1230791797981055,TWO_BAND_INDEPENDENT,12
loso_s7,7,20260925,EEGNet,flagged,4608,28,4,0.4265873015873015,0.4285714285714285,0.4330155138978668,0.4896103896103896,0.4265873015873015,0.2483221476510066,TWO_BAND_INDEPENDENT,12
loso_s7,7,20260926,EEGNet,all,4608,576,4,0.2708333333333333,0.2708333333333333,0.2334675674563935,0.2064433173177935,0.2708333333333333,0.0277777777777777,TWO_BAND_INDEPENDENT,12
loso_s7,7,20260926,EEGNet,unflagged,4608,548,4,0.272061191626409,0.2718978102189781,0.2344560750999499,0.2071011940814364,0.272061191626409,0.02899445335086,TWO_BAND_INDEPENDENT,12
loso_s7,7,20260926,EEGNet,flagged,4608,28,4,0.2361111111111111,0.25,0.202485380116959,0.1833333333333333,0.2361111111111111,-0.0034129692832765,TWO_BAND_INDEPENDENT,12
loso_s8,8,20260924,EEGNet,all,4608,576,4,0.6649305555555556,0.6649305555555556,0.6678119593961338,0.7131397179820315,0.6649305555555556,0.5532407407407407,TWO_BAND_INDEPENDENT,7
loso_s8,8,20260924,EEGNet,unflagged,4608,535,4,0.669753290161312,0.6710280373831776,0.6740111657311145,0.7186649805059905,0.669753290161312,0.560798361856252,TWO_BAND_INDEPENDENT,7
loso_s8,8,20260924,EEGNet,flagged,4608,41,4,0.609280303030303,0.5853658536585366,0.5877525252525253,0.6415719696969697,0.609280303030303,0.45546875,TWO_BAND_INDEPENDENT,7
loso_s8,8,20260925,EEGNet,all,4608,576,4,0.5850694444444444,0.5850694444444444,0.5398472082094911,0.6241881043605181,0.5850694444444444,0.4467592592592593,TWO_BAND_INDEPENDENT,7
loso_s8,8,20260925,EEGNet,unflagged,4608,535,4,0.5865628958860556,0.5869158878504673,0.5382207900800199,0.6198770604539876,0.5865628958860556,0.448906062103232,TWO_BAND_INDEPENDENT,7
loso_s8,8,20260925,EEGNet,flagged,4608,41,4,0.5744318181818182,0.5609756097560976,0.5446460980036297,0.6338431305536568,0.5744318181818182,0.4211764705882352,TWO_BAND_INDEPENDENT,7
loso_s8,8,20260926,EEGNet,all,4608,576,4,0.560763888888889,0.5607638888888888,0.5278337559005489,0.6792045528602009,0.560763888888889,0.4143518518518518,TWO_BAND_INDEPENDENT,7
loso_s8,8,20260926,EEGNet,unflagged,4608,535,4,0.5624377759387694,0.5607476635514018,0.5261555210142769,0.6746466041716965,0.5624377759387694,0.4148052298655297,TWO_BAND_INDEPENDENT,7
loso_s8,8,20260926,EEGNet,flagged,4608,41,4,0.5611742424242424,0.5609756097560976,0.5523582600195504,0.7417582417582418,0.5611742424242424,0.412420382165605,TWO_BAND_INDEPENDENT,7
loso_s9,9,20260924,EEGNet,all,4608,576,4,0.6041666666666666,0.6041666666666666,0.6049531153517761,0.6257031821568859,0.6041666666666666,0.4722222222222222,TWO_BAND_INDEPENDENT,11
loso_s9,9,20260924,EEGNet,unflagged,4608,501,4,0.6144293309973925,0.6107784431137725,0.6127613539659653,0.6341989349166006,0.6144293309973925,0.4804894390913152,TWO_BAND_INDEPENDENT,11
loso_s9,9,20260924,EEGNet,flagged,4608,75,4,0.5521255060728745,0.56,0.5504869807195388,0.5751336898395721,0.5521255060728745,0.4161358811040339,TWO_BAND_INDEPENDENT,11
loso_s9,9,20260925,EEGNet,all,4608,576,4,0.592013888888889,0.5920138888888888,0.5855535404089749,0.6218512536500396,0.592013888888889,0.4560185185185185,TWO_BAND_INDEPENDENT,11
loso_s9,9,20260925,EEGNet,unflagged,4608,501,4,0.5942427680899609,0.592814371257485,0.5870426255883546,0.6253416446603008,0.5942427680899609,0.4563009697891785,TWO_BAND_INDEPENDENT,11
loso_s9,9,20260925,EEGNet,flagged,4608,75,4,0.5879934210526316,0.5866666666666667,0.5764545032837716,0.6026556776556777,0.5879934210526316,0.4494435235614492,TWO_BAND_INDEPENDENT,11
loso_s9,9,20260926,EEGNet,all,4608,576,4,0.5850694444444444,0.5850694444444444,0.5806903460700928,0.591432789019712,0.5850694444444444,0.4467592592592593,TWO_BAND_INDEPENDENT,11
loso_s9,9,20260926,EEGNet,unflagged,4608,501,4,0.5866115547588004,0.5848303393213573,0.5813101281914653,0.5917534003548197,0.5866115547588004,0.4458465612686055,TWO_BAND_INDEPENDENT,11
loso_s9,9,20260926,EEGNet,flagged,4608,75,4,0.6078658183921342,0.5866666666666667,0.5848918835827014,0.5975250626566416,0.6078658183921342,0.4531984948259643,TWO_BAND_INDEPENDENT,11
