condition,subject,seed,artifact_flagged,n_trials,n_true_classes,balanced_accuracy_present_classes
FOUR_BAND_SHARED,1,20260924,False,554,4,0.5079447526894837
FOUR_BAND_SHARED,1,20260924,True,22,4,0.46785714285714286
FOUR_BAND_SHARED,1,20260925,False,554,4,0.565675271362001
FOUR_BAND_SHARED,1,20260925,True,22,4,0.4363095238095238
FOUR_BAND_SHARED,1,20260926,False,554,4,0.4935111166631821
FOUR_BAND_SHARED,1,20260926,True,22,4,0.4654761904761905
FOUR_BAND_SHARED,2,20260924,False,553,4,0.3072003680699333
FOUR_BAND_SHARED,2,20260924,True,23,4,0.2361111111111111
FOUR_BAND_SHARED,2,20260925,False,553,4,0.2657407407407408
FOUR_BAND_SHARED,2,20260925,True,23,4,0.29166666666666663
FOUR_BAND_SHARED,2,20260926,False,553,4,0.3099436392914654
FOUR_BAND_SHARED,2,20260926,True,23,4,0.4027777777777778
FOUR_BAND_SHARED,3,20260924,False,543,4,0.501622623596991
FOUR_BAND_SHARED,3,20260924,True,33,4,0.47916666666666663
FOUR_BAND_SHARED,3,20260925,False,543,4,0.5370675307039681
FOUR_BAND_SHARED,3,20260925,True,33,4,0.5680555555555555
FOUR_BAND_SHARED,3,20260926,False,543,4,0.4661659025135759
FOUR_BAND_SHARED,3,20260926,True,33,4,0.5083333333333333
FOUR_BAND_SHARED,4,20260924,False,490,4,0.3215747664923963
FOUR_BAND_SHARED,4,20260924,True,86,4,0.32055555555555554
FOUR_BAND_SHARED,4,20260925,False,490,4,0.3841451958904952
FOUR_BAND_SHARED,4,20260925,True,86,4,0.35035024154589367
FOUR_BAND_SHARED,4,20260926,False,490,4,0.34428179874100173
FOUR_BAND_SHARED,4,20260926,True,86,4,0.3611111111111111
FOUR_BAND_SHARED,5,20260924,False,538,4,0.26367445330884465
FOUR_BAND_SHARED,5,20260924,True,38,4,0.2692307692307692
FOUR_BAND_SHARED,5,20260925,False,538,4,0.26414110284007397
FOUR_BAND_SHARED,5,20260925,True,38,4,0.21503496503496505
FOUR_BAND_SHARED,5,20260926,False,538,4,0.25
FOUR_BAND_SHARED,5,20260926,True,38,4,0.25
FOUR_BAND_SHARED,6,20260924,False,434,4,0.31516461793750916
FOUR_BAND_SHARED,6,20260924,True,142,4,0.29903572709571635
FOUR_BAND_SHARED,6,20260925,False,434,4,0.2911560134774818
FOUR_BAND_SHARED,6,20260925,True,142,4,0.285921487497438
FOUR_BAND_SHARED,6,20260926,False,434,4,0.28060222544445845
FOUR_BAND_SHARED,6,20260926,True,142,4,0.23938531205164992
FOUR_BAND_SHARED,7,20260924,False,548,4,0.3417298447288927
FOUR_BAND_SHARED,7,20260924,True,28,4,0.48214285714285715
FOUR_BAND_SHARED,7,20260925,False,548,4,0.325663516579099
FOUR_BAND_SHARED,7,20260925,True,28,4,0.3492063492063492
FOUR_BAND_SHARED,7,20260926,False,548,4,0.30054568214676114
FOUR_BAND_SHARED,7,20260926,True,28,4,0.2222222222222222
FOUR_BAND_SHARED,8,20260924,False,535,4,0.5171463295380281
FOUR_BAND_SHARED,8,20260924,True,41,4,0.4511363636363636
FOUR_BAND_SHARED,8,20260925,False,535,4,0.5479494652606454
FOUR_BAND_SHARED,8,20260925,True,41,4,0.4414772727272727
FOUR_BAND_SHARED,8,20260926,False,535,4,0.5862106554397807
FOUR_BAND_SHARED,8,20260926,True,41,4,0.5049242424242424
FOUR_BAND_SHARED,9,20260924,False,501,4,0.5151771512385919
FOUR_BAND_SHARED,9,20260924,True,75,4,0.4192271544245228
FOUR_BAND_SHARED,9,20260925,False,501,4,0.5078120925684485
FOUR_BAND_SHARED,9,20260925,True,75,4,0.5020785135916714
FOUR_BAND_SHARED,9,20260926,False,501,4,0.4949819507822686
FOUR_BAND_SHARED,9,20260926,True,75,4,0.5009398496240601
TWO_BAND_INDEPENDENT,1,20260924,False,554,4,0.5687868887009447
TWO_BAND_INDEPENDENT,1,20260924,True,22,4,0.6077380952380952
TWO_BAND_INDEPENDENT,1,20260925,False,554,4,0.585795846253586
TWO_BAND_INDEPENDENT,1,20260925,True,22,4,0.4363095238095238
TWO_BAND_INDEPENDENT,1,20260926,False,554,4,0.6357068681546579
TWO_BAND_INDEPENDENT,1,20260926,True,22,4,0.475
TWO_BAND_INDEPENDENT,2,20260924,False,553,4,0.2625230043708305
TWO_BAND_INDEPENDENT,2,20260924,True,23,4,0.375
TWO_BAND_INDEPENDENT,2,20260925,False,553,4,0.3094289164941339
TWO_BAND_INDEPENDENT,2,20260925,True,23,4,0.43749999999999994
TWO_BAND_INDEPENDENT,2,20260926,False,553,4,0.2969030365769496
TWO_BAND_INDEPENDENT,2,20260926,True,23,4,0.3958333333333333
TWO_BAND_INDEPENDENT,3,20260924,False,543,4,0.7050864426093459
TWO_BAND_INDEPENDENT,3,20260924,True,33,4,0.6020833333333334
TWO_BAND_INDEPENDENT,3,20260925,False,543,4,0.6472544124362558
TWO_BAND_INDEPENDENT,3,20260925,True,33,4,0.7097222222222221
TWO_BAND_INDEPENDENT,3,20260926,False,543,4,0.6106879374794116
TWO_BAND_INDEPENDENT,3,20260926,True,33,4,0.5923611111111111
