condition,subject,stage,fold_or_seed,parameter_count
FOUR_BAND_SHARED,1,inner,1,2932
FOUR_BAND_SHARED,1,inner,2,2932
FOUR_BAND_SHARED,1,inner,3,2932
FOUR_BAND_SHARED,1,inner,4,2932
FOUR_BAND_SHARED,1,final,20260924,2932
FOUR_BAND_SHARED,1,final,20260925,2932
FOUR_BAND_SHARED,1,final,20260926,2932
FOUR_BAND_SHARED,2,inner,1,2932
FOUR_BAND_SHARED,2,inner,2,2932
FOUR_BAND_SHARED,2,inner,3,2932
FOUR_BAND_SHARED,2,inner,4,2932
FOUR_BAND_SHARED,2,final,20260924,2932
FOUR_BAND_SHARED,2,final,20260925,2932
FOUR_BAND_SHARED,2,final,20260926,2932
FOUR_BAND_SHARED,3,inner,1,2932
FOUR_BAND_SHARED,3,inner,2,2932
FOUR_BAND_SHARED,3,inner,3,2932
FOUR_BAND_SHARED,3,inner,4,2932
FOUR_BAND_SHARED,3,final,20260924,2932
FOUR_BAND_SHARED,3,final,20260925,2932
FOUR_BAND_SHARED,3,final,20260926,2932
FOUR_BAND_SHARED,4,inner,1,2932
FOUR_BAND_SHARED,4,inner,2,2932
FOUR_BAND_SHARED,4,inner,3,2932
FOUR_BAND_SHARED,4,inner,4,2932
FOUR_BAND_SHARED,4,final,20260924,2932
FOUR_BAND_SHARED,4,final,20260925,2932
FOUR_BAND_SHARED,4,final,20260926,2932
FOUR_BAND_SHARED,5,inner,1,2932
FOUR_BAND_SHARED,5,inner,2,2932
FOUR_BAND_SHARED,5,inner,3,2932
FOUR_BAND_SHARED,5,inner,4,2932
FOUR_BAND_SHARED,5,final,20260924,2932
FOUR_BAND_SHARED,5,final,20260925,2932
FOUR_BAND_SHARED,5,final,20260926,2932
FOUR_BAND_SHARED,6,inner,1,2932
FOUR_BAND_SHARED,6,inner,2,2932
FOUR_BAND_SHARED,6,inner,3,2932
FOUR_BAND_SHARED,6,inner,4,2932
FOUR_BAND_SHARED,6,final,20260924,2932
FOUR_BAND_SHARED,6,final,20260925,2932
FOUR_BAND_SHARED,6,final,20260926,2932
FOUR_BAND_SHARED,7,inner,1,2932
FOUR_BAND_SHARED,7,inner,2,2932
FOUR_BAND_SHARED,7,inner,3,2932
FOUR_BAND_SHARED,7,inner,4,2932
FOUR_BAND_SHARED,7,final,20260924,2932
FOUR_BAND_SHARED,7,final,20260925,2932
FOUR_BAND_SHARED,7,final,20260926,2932
FOUR_BAND_SHARED,8,inner,1,2932
FOUR_BAND_SHARED,8,inner,2,2932
FOUR_BAND_SHARED,8,inner,3,2932
FOUR_BAND_SHARED,8,inner,4,2932
FOUR_BAND_SHARED,8,final,20260924,2932
FOUR_BAND_SHARED,8,final,20260925,2932
FOUR_BAND_SHARED,8,final,20260926,2932
FOUR_BAND_SHARED,9,inner,1,2932
FOUR_BAND_SHARED,9,inner,2,2932
FOUR_BAND_SHARED,9,inner,3,2932
FOUR_BAND_SHARED,9,inner,4,2932
FOUR_BAND_SHARED,9,final,20260924,2932
FOUR_BAND_SHARED,9,final,20260925,2932
FOUR_BAND_SHARED,9,final,20260926,2932
TWO_BAND_INDEPENDENT,1,inner,1,5864
TWO_BAND_INDEPENDENT,1,inner,2,5864
TWO_BAND_INDEPENDENT,1,inner,3,5864
TWO_BAND_INDEPENDENT,1,inner,4,5864
TWO_BAND_INDEPENDENT,1,final,20260924,5864
TWO_BAND_INDEPENDENT,1,final,20260925,5864
TWO_BAND_INDEPENDENT,1,final,20260926,5864
TWO_BAND_INDEPENDENT,2,inner,1,5864
TWO_BAND_INDEPENDENT,2,inner,2,5864
TWO_BAND_INDEPENDENT,2,inner,3,5864
TWO_BAND_INDEPENDENT,2,inner,4,5864
TWO_BAND_INDEPENDENT,2,final,20260924,5864
TWO_BAND_INDEPENDENT,2,final,20260925,5864
TWO_BAND_INDEPENDENT,2,final,20260926,5864
TWO_BAND_INDEPENDENT,3,inner,1,5864
TWO_BAND_INDEPENDENT,3,inner,2,5864
TWO_BAND_INDEPENDENT,3,inner,3,5864
TWO_BAND_INDEPENDENT,3,inner,4,5864
TWO_BAND_INDEPENDENT,3,final,20260924,5864
TWO_BAND_INDEPENDENT,3,final,20260925,5864
TWO_BAND_INDEPENDENT,3,final,20260926,5864
TWO_BAND_INDEPENDENT,4,inner,1,5864
TWO_BAND_INDEPENDENT,4,inner,2,5864
TWO_BAND_INDEPENDENT,4,inner,3,5864
TWO_BAND_INDEPENDENT,4,inner,4,5864
TWO_BAND_INDEPENDENT,4,final,20260924,5864
TWO_BAND_INDEPENDENT,4,final,20260925,5864
TWO_BAND_INDEPENDENT,4,final,20260926,5864
TWO_BAND_INDEPENDENT,5,inner,1,5864
TWO_BAND_INDEPENDENT,5,inner,2,5864
TWO_BAND_INDEPENDENT,5,inner,3,5864
TWO_BAND_INDEPENDENT,5,inner,4,5864
TWO_BAND_INDEPENDENT,5,final,20260924,5864
TWO_BAND_INDEPENDENT,5,final,20260925,5864
TWO_BAND_INDEPENDENT,5,final,20260926,5864
TWO_BAND_INDEPENDENT,6,inner,1,5864
TWO_BAND_INDEPENDENT,6,inner,2,5864
TWO_BAND_INDEPENDENT,6,inner,3,5864
