condition,subject,seed,session,n_trials,n_true_classes,balanced_accuracy
FOUR_BAND_SHARED,1,20260924,0train,288,4,0.48958333333333337
FOUR_BAND_SHARED,1,20260924,1test,288,4,0.5243055555555556
FOUR_BAND_SHARED,1,20260925,0train,288,4,0.5451388888888888
FOUR_BAND_SHARED,1,20260925,1test,288,4,0.576388888888889
FOUR_BAND_SHARED,1,20260926,0train,288,4,0.4444444444444444
FOUR_BAND_SHARED,1,20260926,1test,288,4,0.5416666666666666
FOUR_BAND_SHARED,2,20260924,0train,288,4,0.29166666666666663
FOUR_BAND_SHARED,2,20260924,1test,288,4,0.3159722222222222
FOUR_BAND_SHARED,2,20260925,0train,288,4,0.2604166666666667
FOUR_BAND_SHARED,2,20260925,1test,288,4,0.2708333333333333
FOUR_BAND_SHARED,2,20260926,0train,288,4,0.3125
FOUR_BAND_SHARED,2,20260926,1test,288,4,0.3125
FOUR_BAND_SHARED,3,20260924,0train,288,4,0.5034722222222223
FOUR_BAND_SHARED,3,20260924,1test,288,4,0.4965277777777778
FOUR_BAND_SHARED,3,20260925,0train,288,4,0.5590277777777778
FOUR_BAND_SHARED,3,20260925,1test,288,4,0.5173611111111112
FOUR_BAND_SHARED,3,20260926,0train,288,4,0.4791666666666667
FOUR_BAND_SHARED,3,20260926,1test,288,4,0.4583333333333333
FOUR_BAND_SHARED,4,20260924,0train,288,4,0.3090277777777778
FOUR_BAND_SHARED,4,20260924,1test,288,4,0.33333333333333337
FOUR_BAND_SHARED,4,20260925,0train,288,4,0.37847222222222227
FOUR_BAND_SHARED,4,20260925,1test,288,4,0.3784722222222222
FOUR_BAND_SHARED,4,20260926,0train,288,4,0.3229166666666667
FOUR_BAND_SHARED,4,20260926,1test,288,4,0.3680555555555555
FOUR_BAND_SHARED,5,20260924,0train,288,4,0.2708333333333333
FOUR_BAND_SHARED,5,20260924,1test,288,4,0.2569444444444444
FOUR_BAND_SHARED,5,20260925,0train,288,4,0.2361111111111111
FOUR_BAND_SHARED,5,20260925,1test,288,4,0.2847222222222222
FOUR_BAND_SHARED,5,20260926,0train,288,4,0.25
FOUR_BAND_SHARED,5,20260926,1test,288,4,0.25
FOUR_BAND_SHARED,6,20260924,0train,288,4,0.3020833333333333
FOUR_BAND_SHARED,6,20260924,1test,288,4,0.3194444444444444
FOUR_BAND_SHARED,6,20260925,0train,288,4,0.2986111111111111
FOUR_BAND_SHARED,6,20260925,1test,288,4,0.28125
FOUR_BAND_SHARED,6,20260926,0train,288,4,0.2881944444444444
FOUR_BAND_SHARED,6,20260926,1test,288,4,0.2569444444444444
FOUR_BAND_SHARED,7,20260924,0train,288,4,0.3472222222222222
FOUR_BAND_SHARED,7,20260924,1test,288,4,0.3506944444444444
FOUR_BAND_SHARED,7,20260925,0train,288,4,0.3194444444444444
FOUR_BAND_SHARED,7,20260925,1test,288,4,0.3333333333333333
FOUR_BAND_SHARED,7,20260926,0train,288,4,0.2881944444444444
FOUR_BAND_SHARED,7,20260926,1test,288,4,0.3055555555555556
FOUR_BAND_SHARED,8,20260924,0train,288,4,0.5173611111111112
FOUR_BAND_SHARED,8,20260924,1test,288,4,0.5069444444444444
FOUR_BAND_SHARED,8,20260925,0train,288,4,0.5451388888888888
FOUR_BAND_SHARED,8,20260925,1test,288,4,0.5347222222222222
FOUR_BAND_SHARED,8,20260926,0train,288,4,0.5659722222222222
FOUR_BAND_SHARED,8,20260926,1test,288,4,0.59375
FOUR_BAND_SHARED,9,20260924,0train,288,4,0.5520833333333334
FOUR_BAND_SHARED,9,20260924,1test,288,4,0.44791666666666663
FOUR_BAND_SHARED,9,20260925,0train,288,4,0.5763888888888888
FOUR_BAND_SHARED,9,20260925,1test,288,4,0.4340277777777778
FOUR_BAND_SHARED,9,20260926,0train,288,4,0.5659722222222222
FOUR_BAND_SHARED,9,20260926,1test,288,4,0.4236111111111111
TWO_BAND_INDEPENDENT,1,20260924,0train,288,4,0.545138888888889
TWO_BAND_INDEPENDENT,1,20260924,1test,288,4,0.59375
TWO_BAND_INDEPENDENT,1,20260925,0train,288,4,0.5555555555555555
TWO_BAND_INDEPENDENT,1,20260925,1test,288,4,0.6041666666666665
TWO_BAND_INDEPENDENT,1,20260926,0train,288,4,0.6180555555555556
TWO_BAND_INDEPENDENT,1,20260926,1test,288,4,0.638888888888889
TWO_BAND_INDEPENDENT,2,20260924,0train,288,4,0.2638888888888889
TWO_BAND_INDEPENDENT,2,20260924,1test,288,4,0.2673611111111111
TWO_BAND_INDEPENDENT,2,20260925,0train,288,4,0.3125
TWO_BAND_INDEPENDENT,2,20260925,1test,288,4,0.31249999999999994
TWO_BAND_INDEPENDENT,2,20260926,0train,288,4,0.28125
TWO_BAND_INDEPENDENT,2,20260926,1test,288,4,0.3194444444444444
TWO_BAND_INDEPENDENT,3,20260924,0train,288,4,0.6631944444444443
TWO_BAND_INDEPENDENT,3,20260924,1test,288,4,0.7361111111111112
TWO_BAND_INDEPENDENT,3,20260925,0train,288,4,0.6388888888888888
TWO_BAND_INDEPENDENT,3,20260925,1test,288,4,0.6631944444444444
TWO_BAND_INDEPENDENT,3,20260926,0train,288,4,0.6493055555555555
TWO_BAND_INDEPENDENT,3,20260926,1test,288,4,0.5694444444444444
TWO_BAND_INDEPENDENT,4,20260924,0train,288,4,0.3055555555555555
TWO_BAND_INDEPENDENT,4,20260924,1test,288,4,0.3125
TWO_BAND_INDEPENDENT,4,20260925,0train,288,4,0.37152777777777773
TWO_BAND_INDEPENDENT,4,20260925,1test,288,4,0.3368055555555556
TWO_BAND_INDEPENDENT,4,20260926,0train,288,4,0.31597222222222227
TWO_BAND_INDEPENDENT,4,20260926,1test,288,4,0.32986111111111105
TWO_BAND_INDEPENDENT,5,20260924,0train,288,4,0.24652777777777776
TWO_BAND_INDEPENDENT,5,20260924,1test,288,4,0.25
TWO_BAND_INDEPENDENT,5,20260925,0train,288,4,0.23958333333333334
TWO_BAND_INDEPENDENT,5,20260925,1test,288,4,0.25
TWO_BAND_INDEPENDENT,5,20260926,0train,288,4,0.2534722222222222
TWO_BAND_INDEPENDENT,5,20260926,1test,288,4,0.2465277777777778
TWO_BAND_INDEPENDENT,6,20260924,0train,288,4,0.2951388888888889
TWO_BAND_INDEPENDENT,6,20260924,1test,288,4,0.2604166666666667
TWO_BAND_INDEPENDENT,6,20260925,0train,288,4,0.2777777777777778
TWO_BAND_INDEPENDENT,6,20260925,1test,288,4,0.26736111111111116
TWO_BAND_INDEPENDENT,6,20260926,0train,288,4,0.2916666666666667
TWO_BAND_INDEPENDENT,6,20260926,1test,288,4,0.2604166666666667
TWO_BAND_INDEPENDENT,7,20260924,0train,288,4,0.2326388888888889
TWO_BAND_INDEPENDENT,7,20260924,1test,288,4,0.21875
TWO_BAND_INDEPENDENT,7,20260925,0train,288,4,0.37499999999999994
TWO_BAND_INDEPENDENT,7,20260925,1test,288,4,0.3194444444444444
TWO_BAND_INDEPENDENT,7,20260926,0train,288,4,0.2708333333333333
TWO_BAND_INDEPENDENT,7,20260926,1test,288,4,0.2708333333333333
TWO_BAND_INDEPENDENT,8,20260924,0train,288,4,0.6701388888888888
TWO_BAND_INDEPENDENT,8,20260924,1test,288,4,0.6597222222222222
TWO_BAND_INDEPENDENT,8,20260925,0train,288,4,0.6076388888888888
TWO_BAND_INDEPENDENT,8,20260925,1test,288,4,0.5625
TWO_BAND_INDEPENDENT,8,20260926,0train,288,4,0.5625
TWO_BAND_INDEPENDENT,8,20260926,1test,288,4,0.5590277777777778
TWO_BAND_INDEPENDENT,9,20260924,0train,288,4,0.6631944444444445
TWO_BAND_INDEPENDENT,9,20260924,1test,288,4,0.5451388888888888
TWO_BAND_INDEPENDENT,9,20260925,0train,288,4,0.6354166666666666
TWO_BAND_INDEPENDENT,9,20260925,1test,288,4,0.5486111111111112
TWO_BAND_INDEPENDENT,9,20260926,0train,288,4,0.6284722222222222
TWO_BAND_INDEPENDENT,9,20260926,1test,288,4,0.5416666666666667
TWO_BAND_EARLY_STACK,1,20260924,0train,288,4,0.5972222222222222
TWO_BAND_EARLY_STACK,1,20260924,1test,288,4,0.607638888888889
TWO_BAND_EARLY_STACK,1,20260925,0train,288,4,0.5243055555555556
TWO_BAND_EARLY_STACK,1,20260925,1test,288,4,0.5659722222222222
TWO_BAND_EARLY_STACK,1,20260926,0train,288,4,0.5798611111111112
TWO_BAND_EARLY_STACK,1,20260926,1test,288,4,0.59375
TWO_BAND_EARLY_STACK,2,20260924,0train,288,4,0.29861111111111105
TWO_BAND_EARLY_STACK,2,20260924,1test,288,4,0.2673611111111111
TWO_BAND_EARLY_STACK,2,20260925,0train,288,4,0.28125
TWO_BAND_EARLY_STACK,2,20260925,1test,288,4,0.2743055555555555
TWO_BAND_EARLY_STACK,2,20260926,0train,288,4,0.3472222222222222
TWO_BAND_EARLY_STACK,2,20260926,1test,288,4,0.2986111111111111
TWO_BAND_EARLY_STACK,3,20260924,0train,288,4,0.6666666666666666
TWO_BAND_EARLY_STACK,3,20260924,1test,288,4,0.5451388888888888
TWO_BAND_EARLY_STACK,3,20260925,0train,288,4,0.6215277777777777
TWO_BAND_EARLY_STACK,3,20260925,1test,288,4,0.5138888888888888
TWO_BAND_EARLY_STACK,3,20260926,0train,288,4,0.6215277777777777
TWO_BAND_EARLY_STACK,3,20260926,1test,288,4,0.6458333333333334
TWO_BAND_EARLY_STACK,4,20260924,0train,288,4,0.2743055555555556
TWO_BAND_EARLY_STACK,4,20260924,1test,288,4,0.23611111111111113
TWO_BAND_EARLY_STACK,4,20260925,0train,288,4,0.3368055555555555
TWO_BAND_EARLY_STACK,4,20260925,1test,288,4,0.35763888888888884
TWO_BAND_EARLY_STACK,4,20260926,0train,288,4,0.34375
TWO_BAND_EARLY_STACK,4,20260926,1test,288,4,0.39236111111111116
TWO_BAND_EARLY_STACK,5,20260924,0train,288,4,0.2708333333333333
TWO_BAND_EARLY_STACK,5,20260924,1test,288,4,0.25
TWO_BAND_EARLY_STACK,5,20260925,0train,288,4,0.2708333333333333
TWO_BAND_EARLY_STACK,5,20260925,1test,288,4,0.2638888888888889
TWO_BAND_EARLY_STACK,5,20260926,0train,288,4,0.21875
TWO_BAND_EARLY_STACK,5,20260926,1test,288,4,0.24652777777777776
TWO_BAND_EARLY_STACK,6,20260924,0train,288,4,0.2986111111111111
TWO_BAND_EARLY_STACK,6,20260924,1test,288,4,0.25
TWO_BAND_EARLY_STACK,6,20260925,0train,288,4,0.2777777777777778
TWO_BAND_EARLY_STACK,6,20260925,1test,288,4,0.29166666666666663
TWO_BAND_EARLY_STACK,6,20260926,0train,288,4,0.28125
TWO_BAND_EARLY_STACK,6,20260926,1test,288,4,0.2847222222222222
TWO_BAND_EARLY_STACK,7,20260924,0train,288,4,0.2673611111111111
TWO_BAND_EARLY_STACK,7,20260924,1test,288,4,0.2951388888888889
TWO_BAND_EARLY_STACK,7,20260925,0train,288,4,0.3402777777777778
TWO_BAND_EARLY_STACK,7,20260925,1test,288,4,0.3229166666666667
TWO_BAND_EARLY_STACK,7,20260926,0train,288,4,0.27777777777777785
TWO_BAND_EARLY_STACK,7,20260926,1test,288,4,0.3055555555555556
TWO_BAND_EARLY_STACK,8,20260924,0train,288,4,0.638888888888889
TWO_BAND_EARLY_STACK,8,20260924,1test,288,4,0.6354166666666666
TWO_BAND_EARLY_STACK,8,20260925,0train,288,4,0.6597222222222222
TWO_BAND_EARLY_STACK,8,20260925,1test,288,4,0.6527777777777778
TWO_BAND_EARLY_STACK,8,20260926,0train,288,4,0.5243055555555556
TWO_BAND_EARLY_STACK,8,20260926,1test,288,4,0.5347222222222222
TWO_BAND_EARLY_STACK,9,20260924,0train,288,4,0.6527777777777778
TWO_BAND_EARLY_STACK,9,20260924,1test,288,4,0.5208333333333333
TWO_BAND_EARLY_STACK,9,20260925,0train,288,4,0.6701388888888888
TWO_BAND_EARLY_STACK,9,20260925,1test,288,4,0.4965277777777778
TWO_BAND_EARLY_STACK,9,20260926,0train,288,4,0.6875
TWO_BAND_EARLY_STACK,9,20260926,1test,288,4,0.5555555555555555
BROAD_CAPACITY_MATCHED,1,20260924,0train,288,4,0.6041666666666667
BROAD_CAPACITY_MATCHED,1,20260924,1test,288,4,0.6041666666666666
BROAD_CAPACITY_MATCHED,1,20260925,0train,288,4,0.48958333333333337
BROAD_CAPACITY_MATCHED,1,20260925,1test,288,4,0.5555555555555556
BROAD_CAPACITY_MATCHED,1,20260926,0train,288,4,0.5347222222222222
BROAD_CAPACITY_MATCHED,1,20260926,1test,288,4,0.579861111111111
BROAD_CAPACITY_MATCHED,2,20260924,0train,288,4,0.28125
BROAD_CAPACITY_MATCHED,2,20260924,1test,288,4,0.3298611111111111
BROAD_CAPACITY_MATCHED,2,20260925,0train,288,4,0.2986111111111111
BROAD_CAPACITY_MATCHED,2,20260925,1test,288,4,0.2847222222222222
BROAD_CAPACITY_MATCHED,2,20260926,0train,288,4,0.3020833333333333
BROAD_CAPACITY_MATCHED,2,20260926,1test,288,4,0.30208333333333337
BROAD_CAPACITY_MATCHED,3,20260924,0train,288,4,0.5833333333333334
BROAD_CAPACITY_MATCHED,3,20260924,1test,288,4,0.4930555555555556
BROAD_CAPACITY_MATCHED,3,20260925,0train,288,4,0.6493055555555556
BROAD_CAPACITY_MATCHED,3,20260925,1test,288,4,0.5729166666666667
BROAD_CAPACITY_MATCHED,3,20260926,0train,288,4,0.5972222222222222
BROAD_CAPACITY_MATCHED,3,20260926,1test,288,4,0.513888888888889
BROAD_CAPACITY_MATCHED,4,20260924,0train,288,4,0.40625
BROAD_CAPACITY_MATCHED,4,20260924,1test,288,4,0.38888888888888895
BROAD_CAPACITY_MATCHED,4,20260925,0train,288,4,0.3402777777777778
BROAD_CAPACITY_MATCHED,4,20260925,1test,288,4,0.31597222222222227
BROAD_CAPACITY_MATCHED,4,20260926,0train,288,4,0.28125
BROAD_CAPACITY_MATCHED,4,20260926,1test,288,4,0.35416666666666663
BROAD_CAPACITY_MATCHED,5,20260924,0train,288,4,0.2638888888888889
BROAD_CAPACITY_MATCHED,5,20260924,1test,288,4,0.2638888888888889
BROAD_CAPACITY_MATCHED,5,20260925,0train,288,4,0.21180555555555558
BROAD_CAPACITY_MATCHED,5,20260925,1test,288,4,0.2569444444444445
BROAD_CAPACITY_MATCHED,5,20260926,0train,288,4,0.22569444444444442
BROAD_CAPACITY_MATCHED,5,20260926,1test,288,4,0.2951388888888889
BROAD_CAPACITY_MATCHED,6,20260924,0train,288,4,0.2881944444444444
