condition,subject,seed,balanced_accuracy,selected_epochs,zero_recall_classes,dominant_prediction_share,recall_class_1,recall_class_2,recall_class_3,recall_class_4
FOUR_BAND_SHARED,1,20260924,0.5069444444444445,7,0,0.390625,0.1388888888888889,0.9722222222222222,0.6458333333333334,0.2708333333333333
FOUR_BAND_SHARED,1,20260925,0.5607638888888888,7,0,0.4704861111111111,0.3125,0.8541666666666666,0.7361111111111112,0.3402777777777778
FOUR_BAND_SHARED,1,20260926,0.4930555555555555,7,0,0.3871527777777778,0.06944444444444445,0.9166666666666666,0.4861111111111111,0.5
FOUR_BAND_SHARED,2,20260924,0.3038194444444444,8,0,0.5607638888888888,0.10416666666666667,0.4930555555555556,0.5555555555555556,0.0625
FOUR_BAND_SHARED,2,20260925,0.265625,8,1,0.78125,0.0,0.2638888888888889,0.7569444444444444,0.041666666666666664
FOUR_BAND_SHARED,2,20260926,0.3125,8,0,0.5121527777777778,0.3819444444444444,0.6736111111111112,0.1597222222222222,0.034722222222222224
FOUR_BAND_SHARED,3,20260924,0.5,5,0,0.6041666666666666,0.75,0.1597222222222222,0.09722222222222222,0.9930555555555556
FOUR_BAND_SHARED,3,20260925,0.5381944444444444,5,0,0.5208333333333334,0.6319444444444444,0.25,0.375,0.8958333333333334
FOUR_BAND_SHARED,3,20260926,0.46875,5,0,0.6649305555555556,0.3888888888888889,1.0,0.11805555555555555,0.3680555555555556
FOUR_BAND_SHARED,4,20260924,0.3211805555555555,6,0,0.7673611111111112,0.020833333333333332,0.3125,0.7638888888888888,0.1875
FOUR_BAND_SHARED,4,20260925,0.3784722222222222,6,0,0.4270833333333333,0.1527777777777778,0.6944444444444444,0.4791666666666667,0.1875
FOUR_BAND_SHARED,4,20260926,0.3454861111111111,6,1,0.734375,0.0,0.9444444444444444,0.3611111111111111,0.0763888888888889
FOUR_BAND_SHARED,5,20260924,0.2638888888888889,15,2,0.8767361111111112,0.9236111111111112,0.13194444444444445,0.0,0.0
FOUR_BAND_SHARED,5,20260925,0.2604166666666667,15,1,0.8072916666666666,0.1388888888888889,0.8611111111111112,0.041666666666666664,0.0
FOUR_BAND_SHARED,5,20260926,0.25,15,3,0.9913194444444444,1.0,0.0,0.0,0.0
FOUR_BAND_SHARED,6,20260924,0.31076388888888884,10,0,0.7604166666666666,0.05555555555555555,0.2013888888888889,0.13194444444444445,0.8541666666666666
FOUR_BAND_SHARED,6,20260925,0.2899305555555556,10,0,0.8732638888888888,0.04861111111111111,0.1388888888888889,0.04861111111111111,0.9236111111111112
FOUR_BAND_SHARED,6,20260926,0.2725694444444444,10,1,0.4895833333333333,0.0,0.1597222222222222,0.4375,0.4930555555555556
FOUR_BAND_SHARED,7,20260924,0.34895833333333337,6,0,0.484375,0.4791666666666667,0.1736111111111111,0.5833333333333334,0.1597222222222222
FOUR_BAND_SHARED,7,20260925,0.32638888888888884,6,1,0.7881944444444444,0.8680555555555556,0.1597222222222222,0.0,0.2777777777777778
