experiment_id,condition,subject,balanced_accuracy_mean,balanced_accuracy_seed_sd,zero_recall_classes_mean,dominant_prediction_share_mean
Q12-E001,SOURCE_BALANCED_ERM,1,0.560763888888889,0.05415442347389656,0.0,0.41377314814814814
Q12-E001,SOURCE_BALANCED_ERM,2,0.2916666666666667,0.01971843175625093,0.3333333333333333,0.734375
Q12-E001,SOURCE_BALANCED_ERM,3,0.6168981481481481,0.054964667265742145,0.0,0.42939814814814814
Q12-E001,SOURCE_BALANCED_ERM,4,0.3744212962962963,0.01640908203559933,0.0,0.42534722222222227
Q12-E001,SOURCE_BALANCED_ERM,5,0.24826388888888887,0.0030070326520293,2.0,0.8090277777777778
Q12-E001,SOURCE_BALANCED_ERM,6,0.2824074074074074,0.0072280069425907445,0.0,0.46585648148148145
Q12-E001,SOURCE_BALANCED_ERM,7,0.3234953703703704,0.034952937200327605,0.0,0.478587962962963
Q12-E001,SOURCE_BALANCED_ERM,8,0.6255787037037037,0.0627006168091753,0.0,0.3744212962962963
Q12-E001,SOURCE_BALANCED_ERM,9,0.5630787037037036,0.0678935619262151,0.0,0.3744212962962963
Q12-E001,SOURCE_GROUP_DRO,1,0.45486111111111116,0.02672709083045255,0.0,0.4664351851851852
Q12-E001,SOURCE_GROUP_DRO,2,0.2986111111111111,0.007567532888091448,0.0,0.5879629629629629
Q12-E001,SOURCE_GROUP_DRO,3,0.5231481481481481,0.027687207671077962,0.0,0.3952546296296296
Q12-E001,SOURCE_GROUP_DRO,4,0.3119212962962963,0.017818060553635013,0.0,0.5011574074074074
Q12-E001,SOURCE_GROUP_DRO,5,0.2523148148148148,0.010607814108694076,1.0,0.7951388888888888
Q12-E001,SOURCE_GROUP_DRO,6,0.32465277777777773,0.018042195912175808,0.0,0.4837962962962963
Q12-E001,SOURCE_GROUP_DRO,7,0.2991898148148148,0.040949165672070575,0.0,0.3663194444444445
Q12-E001,SOURCE_GROUP_DRO,8,0.42766203703703703,0.03902711875020225,0.0,0.48726851851851855
Q12-E001,SOURCE_GROUP_DRO,9,0.4137731481481482,0.05023734818104331,0.0,0.4826388888888889
Q12-E001,SOURCE_POOLED_WHITEN,1,0.5873842592592593,0.038443527037598096,0.0,0.4375
Q12-E001,SOURCE_POOLED_WHITEN,2,0.3020833333333333,0.013888888888888895,0.6666666666666666,0.4571759259259259
Q12-E001,SOURCE_POOLED_WHITEN,3,0.6493055555555556,0.04795565040601777,0.0,0.417824074074074
Q12-E001,SOURCE_POOLED_WHITEN,4,0.3923611111111111,0.0292059094466332,0.0,0.43923611111111116
Q12-E001,SOURCE_POOLED_WHITEN,5,0.25,0.0,3.0,0.9994212962962963
Q12-E001,SOURCE_POOLED_WHITEN,6,0.27777777777777773,0.0030070326520293305,0.0,0.5978009259259259
Q12-E001,SOURCE_POOLED_WHITEN,7,0.32696759259259256,0.008909030276817534,0.0,0.6591435185185185
Q12-E001,SOURCE_POOLED_WHITEN,8,0.6099537037037037,0.03808908025903774,0.0,0.5237268518518519
Q12-E001,SOURCE_POOLED_WHITEN,9,0.5943287037037037,0.022658300868578587,0.0,0.3859953703703704
Q12-E002,CHANNEL_AND_GAIN,1,0.5584490740740741,0.009561754422371685,0.0,0.38425925925925924
Q12-E002,CHANNEL_AND_GAIN,2,0.29050925925925924,0.0060970218477157095,0.6666666666666666,0.7766203703703703
Q12-E002,CHANNEL_AND_GAIN,3,0.5381944444444445,0.022768883764937478,0.0,0.4861111111111111
Q12-E002,CHANNEL_AND_GAIN,4,0.36689814814814814,0.01781806055363504,0.0,0.5347222222222222
Q12-E002,CHANNEL_AND_GAIN,5,0.24305555555555558,0.007567532888091455,2.0,0.7627314814814815
Q12-E002,CHANNEL_AND_GAIN,6,0.328125,0.016561444469044225,0.0,0.4913194444444445
Q12-E002,CHANNEL_AND_GAIN,7,0.29340277777777773,0.007955860581520553,0.0,0.49884259259259256
Q12-E002,CHANNEL_AND_GAIN,8,0.5341435185185185,0.04481498818645682,0.0,0.3663194444444445
Q12-E002,CHANNEL_AND_GAIN,9,0.5300925925925927,0.02121562821738821,0.0,0.44733796296296297
Q12-E002,CHANNEL_DROPOUT,1,0.5607638888888888,0.024118826370572576,0.0,0.30844907407407407
Q12-E002,CHANNEL_DROPOUT,2,0.29050925925925924,0.01840059386063035,1.3333333333333333,0.7135416666666666
Q12-E002,CHANNEL_DROPOUT,3,0.5792824074074074,0.005580816412611664,0.0,0.375
Q12-E002,CHANNEL_DROPOUT,4,0.35300925925925924,0.03322888245360093,0.0,0.5150462962962963
Q12-E002,CHANNEL_DROPOUT,5,0.24826388888888892,0.0069444444444444545,2.0,0.7141203703703703
Q12-E002,CHANNEL_DROPOUT,6,0.3292824074074074,0.014139805234803968,0.0,0.5300925925925926
Q12-E002,CHANNEL_DROPOUT,7,0.2766203703703704,0.015753075912981702,0.0,0.6030092592592592
Q12-E002,CHANNEL_DROPOUT,8,0.5434027777777778,0.02755990949025619,0.0,0.34085648148148145
Q12-E002,CHANNEL_DROPOUT,9,0.5092592592592592,0.03212196547772661,0.0,0.47222222222222227
Q12-E002,GAIN_PERTURB,1,0.5659722222222222,0.045405197328548655,0.0,0.3796296296296296
Q12-E002,GAIN_PERTURB,2,0.2980324074074074,0.020566383847126044,0.0,0.6354166666666666
Q12-E002,GAIN_PERTURB,3,0.6278935185185185,0.008018753738744758,0.0,0.36053240740740744
Q12-E002,GAIN_PERTURB,4,0.3721064814814814,0.031072670737636098,0.0,0.5665509259259259
Q12-E002,GAIN_PERTURB,5,0.2378472222222222,0.00625963763101385,2.0,0.7430555555555555
Q12-E002,GAIN_PERTURB,6,0.2962962962962963,0.006572810585416956,0.0,0.532986111111111
Q12-E002,GAIN_PERTURB,7,0.31597222222222215,0.013779954745128078,0.0,0.6550925925925926
Q12-E002,GAIN_PERTURB,8,0.6354166666666666,0.010560351615101026,0.0,0.3703703703703704
Q12-E002,GAIN_PERTURB,9,0.5584490740740741,0.0607969486785431,0.0,0.47222222222222215
