fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s7,7,20260926,all,1,1,80,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,1,2,63,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,1,3,0,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,1,4,1,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,2,1,75,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,2,2,68,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,2,3,1,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,2,4,0,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,3,1,67,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,3,2,71,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,3,3,4,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,3,4,2,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,4,1,85,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,4,2,45,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,4,3,1,SOURCE_BALANCED_ERM
loso_s7,7,20260926,all,4,4,13,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,1,1,76,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,1,2,61,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,1,3,0,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,1,4,1,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,2,1,72,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,2,2,62,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,2,3,1,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,2,4,0,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,3,1,65,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,3,2,67,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,3,3,4,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,3,4,2,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,4,1,81,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,4,2,43,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,4,3,1,SOURCE_BALANCED_ERM
loso_s7,7,20260926,unflagged,4,4,12,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,1,1,4,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,1,2,2,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,1,3,0,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,1,4,0,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,2,1,3,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,2,2,6,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,2,3,0,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,2,4,0,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,3,1,2,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,3,2,4,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,3,3,0,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,3,4,0,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,4,1,4,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,4,2,2,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,4,3,0,SOURCE_BALANCED_ERM
loso_s7,7,20260926,flagged,4,4,1,SOURCE_BALANCED_ERM
