fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,39.0,1.0,4.0,18.0,15.5,False
loso_s1,1,2,40.0,2.0,5.0,16.0,15.75,False
loso_s1,1,3,38.0,5.0,6.0,11.0,15.0,False
loso_s1,1,4,37.0,9.0,1.0,5.0,13.0,False
loso_s1,1,5,34.0,7.0,2.0,4.0,11.75,False
loso_s1,1,6,32.0,8.0,3.0,1.0,11.0,False
loso_s1,1,7,30.0,13.0,7.0,2.0,13.0,False
loso_s1,1,8,35.0,26.0,8.0,3.0,18.0,False
loso_s1,1,9,31.0,20.0,9.0,6.0,16.5,False
loso_s1,1,10,33.0,27.0,10.0,10.0,20.0,False
loso_s1,1,11,6.0,10.0,11.0,32.0,14.75,False
loso_s1,1,12,20.0,3.0,12.0,8.0,10.75,True
loso_s1,1,13,28.0,18.0,25.0,14.0,21.25,False
loso_s1,1,14,9.0,12.0,13.0,12.0,11.5,False
loso_s1,1,15,29.0,14.0,16.0,34.0,23.25,False
loso_s1,1,16,3.0,30.0,15.0,7.0,13.75,False
loso_s1,1,17,14.0,17.0,34.0,17.0,20.5,False
loso_s1,1,18,24.0,31.0,35.0,22.0,28.0,False
loso_s1,1,19,22.0,33.0,22.0,9.0,21.5,False
loso_s1,1,20,10.0,32.0,14.0,23.0,19.75,False
loso_s1,1,21,8.0,25.0,30.0,13.0,19.0,False
loso_s1,1,22,2.0,39.0,39.0,25.0,26.25,False
loso_s1,1,23,4.0,6.0,37.0,37.0,21.0,False
loso_s1,1,24,17.0,37.0,17.0,24.0,23.75,False
loso_s1,1,25,18.0,4.0,32.0,28.0,20.5,False
loso_s1,1,26,25.0,36.0,24.0,15.0,25.0,False
loso_s1,1,27,7.0,23.0,28.0,38.0,24.0,False
loso_s1,1,28,16.0,24.0,27.0,26.0,23.25,False
loso_s1,1,29,1.0,11.0,31.0,31.0,18.5,False
loso_s1,1,30,5.0,16.0,18.0,19.0,14.5,False
loso_s1,1,31,36.0,19.0,20.0,29.0,26.0,False
loso_s1,1,32,27.0,40.0,23.0,21.0,27.75,False
loso_s1,1,33,21.0,15.0,40.0,35.0,27.75,False
loso_s1,1,34,19.0,21.0,36.0,20.0,24.0,False
loso_s1,1,35,15.0,22.0,29.0,30.0,24.0,False
loso_s1,1,36,11.0,29.0,26.0,27.0,23.25,False
loso_s1,1,37,26.0,35.0,33.0,36.0,32.5,False
loso_s1,1,38,12.0,38.0,38.0,39.0,31.75,False
loso_s1,1,39,23.0,28.0,21.0,33.0,26.25,False
loso_s1,1,40,13.0,34.0,19.0,40.0,26.5,False
loso_s2,2,1,40.0,1.0,2.0,39.0,20.5,False
loso_s2,2,2,39.0,2.0,4.0,38.0,20.75,False
loso_s2,2,3,38.0,3.0,5.0,37.0,20.75,False
loso_s2,2,4,37.0,4.0,3.0,27.0,17.75,False
loso_s2,2,5,36.0,5.0,1.0,22.0,16.0,False
loso_s2,2,6,35.0,6.0,6.0,2.0,12.25,True
loso_s2,2,7,34.0,20.0,7.0,7.0,17.0,False
loso_s2,2,8,33.0,22.0,9.0,9.0,18.25,False
loso_s2,2,9,30.0,10.0,8.0,11.0,14.75,False
loso_s2,2,10,32.0,18.0,10.0,21.0,20.25,False
loso_s2,2,11,24.0,23.0,12.0,36.0,23.75,False
loso_s2,2,12,28.0,8.0,11.0,12.0,14.75,False
loso_s2,2,13,20.0,12.0,14.0,29.0,18.75,False
loso_s2,2,14,21.0,19.0,13.0,19.0,18.0,False
loso_s2,2,15,31.0,27.0,15.0,28.0,25.25,False
loso_s2,2,16,3.0,16.0,16.0,26.0,15.25,False
loso_s2,2,17,10.0,32.0,18.0,20.0,20.0,False
loso_s2,2,18,23.0,15.0,17.0,14.0,17.25,False
loso_s2,2,19,25.0,24.0,20.0,18.0,21.75,False
loso_s2,2,20,4.0,31.0,19.0,5.0,14.75,False
loso_s2,2,21,22.0,21.0,22.0,16.0,20.25,False
loso_s2,2,22,2.0,17.0,21.0,25.0,16.25,False
loso_s2,2,23,16.0,7.0,24.0,4.0,12.75,False
loso_s2,2,24,9.0,33.0,23.0,10.0,18.75,False
loso_s2,2,25,12.0,14.0,29.0,13.0,17.0,False
loso_s2,2,26,19.0,38.0,25.0,3.0,21.25,False
loso_s2,2,27,15.0,13.0,26.0,1.0,13.75,False
loso_s2,2,28,6.0,11.0,28.0,8.0,13.25,False
loso_s2,2,29,1.0,26.0,31.0,6.0,16.0,False
loso_s2,2,30,17.0,28.0,27.0,31.0,25.75,False
loso_s2,2,31,27.0,37.0,39.0,30.0,33.25,False
loso_s2,2,32,26.0,35.0,34.0,32.0,31.75,False
loso_s2,2,33,14.0,29.0,38.0,17.0,24.5,False
loso_s2,2,34,5.0,30.0,32.0,40.0,26.75,False
loso_s2,2,35,7.0,40.0,33.0,23.0,25.75,False
loso_s2,2,36,13.0,34.0,35.0,33.0,28.75,False
loso_s2,2,37,29.0,25.0,37.0,15.0,26.5,False
loso_s2,2,38,18.0,36.0,40.0,34.0,32.0,False
loso_s2,2,39,11.0,9.0,30.0,24.0,18.5,False
loso_s2,2,40,8.0,39.0,36.0,35.0,29.5,False
loso_s3,3,1,38.0,1.0,3.0,29.0,17.75,False
loso_s3,3,2,39.0,2.0,4.0,25.0,17.5,False
loso_s3,3,3,37.0,3.0,6.0,20.0,16.5,False
loso_s3,3,4,35.0,7.0,5.0,17.0,16.0,False
loso_s3,3,5,27.0,5.0,7.0,15.0,13.5,False
loso_s3,3,6,32.0,8.0,8.0,23.0,17.75,False
loso_s3,3,7,19.0,15.0,1.0,10.0,11.25,False
loso_s3,3,8,36.0,9.0,2.0,7.0,13.5,False
loso_s3,3,9,24.0,12.0,9.0,3.0,12.0,False
loso_s3,3,10,28.0,11.0,11.0,26.0,19.0,False
loso_s3,3,11,8.0,14.0,10.0,9.0,10.25,True
loso_s3,3,12,14.0,6.0,17.0,13.0,12.5,False
loso_s3,3,13,22.0,26.0,24.0,38.0,27.5,False
loso_s3,3,14,9.0,29.0,16.0,24.0,19.5,False
loso_s3,3,15,25.0,19.0,22.0,36.0,25.5,False
loso_s3,3,16,2.0,22.0,12.0,28.0,16.0,False
loso_s3,3,17,12.0,32.0,14.0,40.0,24.5,False
loso_s3,3,18,21.0,17.0,19.0,12.0,17.25,False
loso_s3,3,19,23.0,23.0,18.0,4.0,17.0,False
loso_s3,3,20,7.0,30.0,15.0,6.0,14.5,False
loso_s3,3,21,15.0,20.0,13.0,8.0,14.0,False
loso_s3,3,22,1.0,24.0,32.0,16.0,18.25,False
loso_s3,3,23,5.0,10.0,23.0,14.0,13.0,False
loso_s3,3,24,13.0,16.0,21.0,31.0,20.25,False
loso_s3,3,25,11.0,28.0,20.0,18.0,19.25,False
loso_s3,3,26,29.0,33.0,27.0,5.0,23.5,False
loso_s3,3,27,6.0,31.0,25.0,34.0,24.0,False
loso_s3,3,28,20.0,27.0,34.0,30.0,27.75,False
loso_s3,3,29,3.0,38.0,33.0,19.0,23.25,False
loso_s3,3,30,17.0,18.0,39.0,1.0,18.75,False
loso_s3,3,31,40.0,37.0,38.0,2.0,29.25,False
loso_s3,3,32,34.0,40.0,30.0,11.0,28.75,False
loso_s3,3,33,30.0,35.0,28.0,33.0,31.5,False
loso_s3,3,34,31.0,21.0,29.0,21.0,25.5,False
loso_s3,3,35,18.0,25.0,26.0,37.0,26.5,False
loso_s3,3,36,4.0,39.0,40.0,27.0,27.5,False
loso_s3,3,37,33.0,13.0,37.0,32.0,28.75,False
loso_s3,3,38,16.0,34.0,35.0,22.0,26.75,False
loso_s3,3,39,10.0,4.0,31.0,35.0,20.0,False
loso_s3,3,40,26.0,36.0,36.0,39.0,34.25,False
loso_s4,4,1,36.0,25.0,3.0,36.0,25.0,False
loso_s4,4,2,38.0,27.0,4.0,33.0,25.5,False
loso_s4,4,3,37.0,31.0,5.0,29.0,25.5,False
loso_s4,4,4,35.0,39.0,6.0,17.0,24.25,False
loso_s4,4,5,28.0,26.0,1.0,14.0,17.25,False
loso_s4,4,6,30.0,28.0,2.0,4.0,16.0,False
loso_s4,4,7,22.0,32.0,7.0,34.0,23.75,False
loso_s4,4,8,40.0,10.0,8.0,16.0,18.5,False
loso_s4,4,9,20.0,23.0,9.0,10.0,15.5,False
loso_s4,4,10,3.0,12.0,11.0,22.0,12.0,False
loso_s4,4,11,2.0,19.0,10.0,26.0,14.25,False
loso_s4,4,12,9.0,6.0,12.0,39.0,16.5,False
loso_s4,4,13,7.0,20.0,19.0,31.0,19.25,False
loso_s4,4,14,6.0,29.0,15.0,38.0,22.0,False
loso_s4,4,15,14.0,13.0,20.0,40.0,21.75,False
loso_s4,4,16,5.0,7.0,14.0,19.0,11.25,True
loso_s4,4,17,4.0,21.0,13.0,30.0,17.0,False
loso_s4,4,18,1.0,9.0,17.0,37.0,16.0,False
loso_s4,4,19,33.0,17.0,18.0,20.0,22.0,False
loso_s4,4,20,13.0,14.0,22.0,24.0,18.25,False
loso_s4,4,21,21.0,3.0,16.0,28.0,17.0,False
loso_s4,4,22,11.0,24.0,25.0,25.0,21.25,False
loso_s4,4,23,8.0,5.0,26.0,35.0,18.5,False
loso_s4,4,24,19.0,4.0,21.0,27.0,17.75,False
loso_s4,4,25,10.0,8.0,29.0,21.0,17.0,False
loso_s4,4,26,39.0,35.0,32.0,23.0,32.25,False
loso_s4,4,27,12.0,18.0,27.0,32.0,22.25,False
loso_s4,4,28,16.0,22.0,23.0,9.0,17.5,False
loso_s4,4,29,27.0,37.0,24.0,11.0,24.75,False
loso_s4,4,30,23.0,11.0,30.0,6.0,17.5,False
loso_s4,4,31,32.0,33.0,33.0,1.0,24.75,False
loso_s4,4,32,31.0,40.0,38.0,3.0,28.0,False
loso_s4,4,33,24.0,34.0,39.0,2.0,24.75,False
loso_s4,4,34,18.0,16.0,34.0,13.0,20.25,False
loso_s4,4,35,29.0,15.0,36.0,5.0,21.25,False
loso_s4,4,36,17.0,38.0,40.0,18.0,28.25,False
loso_s4,4,37,26.0,2.0,31.0,12.0,17.75,False
loso_s4,4,38,25.0,30.0,35.0,7.0,24.25,False
loso_s4,4,39,15.0,1.0,28.0,15.0,14.75,False
loso_s4,4,40,34.0,36.0,37.0,8.0,28.75,False
loso_s5,5,1,11.0,37.0,1.0,21.0,17.5,False
loso_s5,5,2,13.0,38.0,4.0,15.0,17.5,False
loso_s5,5,3,19.0,39.0,5.0,12.0,18.75,False
loso_s5,5,4,32.0,40.0,6.0,5.0,20.75,False
loso_s5,5,5,30.0,36.0,2.0,4.0,18.0,False
loso_s5,5,6,29.0,35.0,3.0,2.0,17.25,False
loso_s5,5,7,25.0,34.0,7.0,7.0,18.25,False
loso_s5,5,8,16.0,32.0,9.0,1.0,14.5,False
loso_s5,5,9,2.0,33.0,8.0,8.0,12.75,False
loso_s5,5,10,22.0,30.0,10.0,6.0,17.0,False
loso_s5,5,11,7.0,28.0,11.0,3.0,12.25,False
loso_s5,5,12,5.0,23.0,12.0,13.0,13.25,False
loso_s5,5,13,21.0,29.0,14.0,24.0,22.0,False
loso_s5,5,14,6.0,13.0,15.0,22.0,14.0,False
loso_s5,5,15,3.0,22.0,23.0,14.0,15.5,False
loso_s5,5,16,17.0,17.0,16.0,17.0,16.75,False
loso_s5,5,17,26.0,16.0,13.0,11.0,16.5,False
loso_s5,5,18,24.0,24.0,17.0,9.0,18.5,False
loso_s5,5,19,33.0,12.0,18.0,16.0,19.75,False
loso_s5,5,20,12.0,20.0,26.0,23.0,20.25,False
loso_s5,5,21,4.0,10.0,22.0,10.0,11.5,False
loso_s5,5,22,1.0,1.0,25.0,18.0,11.25,True
loso_s5,5,23,18.0,11.0,34.0,26.0,22.25,False
loso_s5,5,24,31.0,18.0,21.0,34.0,26.0,False
loso_s5,5,25,15.0,19.0,19.0,36.0,22.25,False
loso_s5,5,26,20.0,6.0,27.0,19.0,18.0,False
loso_s5,5,27,9.0,7.0,29.0,32.0,19.25,False
loso_s5,5,28,36.0,4.0,20.0,38.0,24.5,False
loso_s5,5,29,27.0,21.0,24.0,30.0,25.5,False
loso_s5,5,30,8.0,5.0,36.0,29.0,19.5,False
loso_s5,5,31,38.0,9.0,39.0,28.0,28.5,False
loso_s5,5,32,34.0,27.0,28.0,27.0,29.0,False
loso_s5,5,33,10.0,15.0,40.0,31.0,24.0,False
loso_s5,5,34,28.0,2.0,32.0,33.0,23.75,False
loso_s5,5,35,37.0,3.0,31.0,25.0,24.0,False
loso_s5,5,36,23.0,25.0,35.0,35.0,29.5,False
loso_s5,5,37,39.0,8.0,30.0,37.0,28.5,False
loso_s5,5,38,35.0,14.0,37.0,40.0,31.5,False
loso_s5,5,39,14.0,31.0,38.0,39.0,30.5,False
loso_s5,5,40,40.0,26.0,33.0,20.0,29.75,False
loso_s6,6,1,36.0,39.0,1.0,6.0,20.5,False
loso_s6,6,2,37.0,40.0,2.0,3.0,20.5,False
loso_s6,6,3,35.0,38.0,3.0,4.0,20.0,False
loso_s6,6,4,34.0,37.0,5.0,1.0,19.25,False
loso_s6,6,5,32.0,36.0,6.0,2.0,19.0,False
loso_s6,6,6,27.0,35.0,8.0,8.0,19.5,False
loso_s6,6,7,21.0,29.0,23.0,7.0,20.0,False
loso_s6,6,8,25.0,18.0,26.0,5.0,18.5,False
loso_s6,6,9,13.0,27.0,25.0,16.0,20.25,False
loso_s6,6,10,26.0,26.0,14.0,15.0,20.25,False
loso_s6,6,11,2.0,25.0,16.0,26.0,17.25,False
loso_s6,6,12,14.0,23.0,21.0,9.0,16.75,False
loso_s6,6,13,9.0,32.0,7.0,25.0,18.25,False
loso_s6,6,14,8.0,6.0,27.0,27.0,17.0,False
loso_s6,6,15,6.0,28.0,17.0,11.0,15.5,False
loso_s6,6,16,24.0,21.0,22.0,14.0,20.25,False
loso_s6,6,17,20.0,19.0,9.0,18.0,16.5,False
loso_s6,6,18,17.0,14.0,13.0,10.0,13.5,False
loso_s6,6,19,23.0,13.0,28.0,13.0,19.25,False
loso_s6,6,20,3.0,24.0,29.0,28.0,21.0,False
loso_s6,6,21,5.0,11.0,15.0,19.0,12.5,False
loso_s6,6,22,7.0,8.0,19.0,24.0,14.5,False
loso_s6,6,23,12.0,20.0,12.0,33.0,19.25,False
loso_s6,6,24,16.0,17.0,33.0,29.0,23.75,False
loso_s6,6,25,28.0,16.0,30.0,21.0,23.75,False
