fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.59375,0.59375,0.5310124172041595,0.5883218963985968,0.59375,0.4583333333333333,SOURCE_BALANCED_ERM,12
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5946454746254228,0.5956678700361011,0.5308240877712032,0.580864698247891,0.5946454746254228,0.460789766407119,SOURCE_BALANCED_ERM,12
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.5988095238095238,0.5454545454545454,0.5296703296703297,0.675,0.5988095238095238,0.4070080862533692,SOURCE_BALANCED_ERM,12
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.5902777777777778,0.5902777777777778,0.5844241677116717,0.6218111044917733,0.5902777777777778,0.4537037037037037,SOURCE_BALANCED_ERM,12
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.5937746398066748,0.5938628158844765,0.5871620190082925,0.6271853146853147,0.5937746398066748,0.4588598939860298,SOURCE_BALANCED_ERM,12
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.5011904761904762,0.5,0.5065359477124183,0.5541666666666666,0.5011904761904762,0.3202247191011237,SOURCE_BALANCED_ERM,12
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.4982638888888889,0.4982638888888889,0.440161845207637,0.6043089128193379,0.4982638888888889,0.3310185185185185,SOURCE_BALANCED_ERM,12
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.5017375762535458,0.5018050541516246,0.4437617536613219,0.6079893206472629,0.5017375762535458,0.3360602349998697,SOURCE_BALANCED_ERM,12
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.4160714285714285,0.4090909090909091,0.3446969696969696,0.4532967032967033,0.4160714285714285,0.192090395480226,SOURCE_BALANCED_ERM,12
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.2829861111111111,0.2829861111111111,0.1961223807498132,0.236031975109645,0.2829861111111111,0.0439814814814815,SOURCE_BALANCED_ERM,6
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.2798337934207499,0.2802893309222423,0.1947824956845704,0.2338362068965517,0.2798337934207499,0.0399096155607804,SOURCE_BALANCED_ERM,6
