fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s8,8,20260926,all,1,1,69,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,1,2,14,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,1,3,34,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,1,4,27,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,2,1,18,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,2,2,98,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,2,3,26,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,2,4,2,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,3,1,32,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,3,2,46,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,3,3,48,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,3,4,18,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,4,1,17,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,4,2,14,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,4,3,57,SOURCE_GROUP_DRO
loso_s8,8,20260926,all,4,4,56,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,1,1,65,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,1,2,11,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,1,3,31,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,1,4,25,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,2,1,16,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,2,2,92,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,2,3,24,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,2,4,2,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,3,1,29,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,3,2,44,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,3,3,44,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,3,4,16,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,4,1,16,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,4,2,14,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,4,3,52,SOURCE_GROUP_DRO
loso_s8,8,20260926,unflagged,4,4,54,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,1,1,4,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,1,2,3,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,1,3,3,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,1,4,2,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,2,1,2,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,2,2,6,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,2,3,2,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,2,4,0,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,3,1,3,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,3,2,2,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,3,3,4,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,3,4,2,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,4,1,1,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,4,2,0,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,4,3,5,SOURCE_GROUP_DRO
loso_s8,8,20260926,flagged,4,4,2,SOURCE_GROUP_DRO
