fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,26.0,1.0,5.0,24.0,14.0,False
loso_s1,1,2,27.0,3.0,7.0,21.0,14.5,False
loso_s1,1,3,25.0,10.0,4.0,14.0,13.25,False
loso_s1,1,4,16.0,11.0,2.0,7.0,9.0,False
loso_s1,1,5,9.0,2.0,3.0,10.0,6.0,False
loso_s1,1,6,14.0,15.0,1.0,1.0,7.75,False
loso_s1,1,7,6.0,12.0,6.0,5.0,7.25,False
loso_s1,1,8,5.0,5.0,8.0,2.0,5.0,True
loso_s1,1,9,28.0,4.0,9.0,6.0,11.75,False
loso_s1,1,10,10.0,7.0,10.0,4.0,7.75,False
loso_s1,1,11,21.0,9.0,12.0,8.0,12.5,False
loso_s1,1,12,33.0,6.0,11.0,28.0,19.5,False
loso_s1,1,13,13.0,19.0,15.0,9.0,14.0,False
loso_s1,1,14,31.0,31.0,13.0,35.0,27.5,False
loso_s1,1,15,35.0,26.0,32.0,20.0,28.25,False
loso_s1,1,16,22.0,32.0,25.0,13.0,23.0,False
loso_s1,1,17,18.0,33.0,35.0,3.0,22.25,False
loso_s1,1,18,38.0,29.0,36.0,16.0,29.75,False
loso_s1,1,19,11.0,23.0,21.0,38.0,23.25,False
loso_s1,1,20,12.0,36.0,29.0,29.0,26.5,False
loso_s1,1,21,4.0,24.0,37.0,27.0,23.0,False
loso_s1,1,22,2.0,13.0,19.0,17.0,12.75,False
loso_s1,1,23,32.0,8.0,20.0,30.0,22.5,False
loso_s1,1,24,37.0,38.0,39.0,18.0,33.0,False
loso_s1,1,25,20.0,14.0,17.0,22.0,18.25,False
loso_s1,1,26,7.0,35.0,33.0,11.0,21.5,False
loso_s1,1,27,1.0,16.0,22.0,32.0,17.75,False
loso_s1,1,28,39.0,17.0,14.0,19.0,22.25,False
loso_s1,1,29,40.0,18.0,16.0,15.0,22.25,False
loso_s1,1,30,36.0,27.0,23.0,34.0,30.0,False
loso_s1,1,31,8.0,21.0,28.0,25.0,20.5,False
loso_s1,1,32,17.0,39.0,18.0,26.0,25.0,False
loso_s1,1,33,19.0,22.0,26.0,40.0,26.75,False
loso_s1,1,34,23.0,28.0,24.0,31.0,26.5,False
loso_s1,1,35,29.0,20.0,34.0,36.0,29.75,False
loso_s1,1,36,30.0,30.0,31.0,33.0,31.0,False
loso_s1,1,37,34.0,37.0,38.0,37.0,36.5,False
loso_s1,1,38,3.0,34.0,30.0,23.0,22.5,False
loso_s1,1,39,15.0,40.0,27.0,39.0,30.25,False
loso_s1,1,40,24.0,25.0,40.0,12.0,25.25,False
loso_s2,2,1,39.0,1.0,5.0,13.0,14.5,False
loso_s2,2,2,38.0,2.0,7.0,9.0,14.0,False
loso_s2,2,3,37.0,3.0,6.0,6.0,13.0,False
loso_s2,2,4,34.0,4.0,3.0,2.0,10.75,False
loso_s2,2,5,28.0,5.0,1.0,3.0,9.25,True
loso_s2,2,6,32.0,25.0,2.0,1.0,15.0,False
loso_s2,2,7,22.0,24.0,4.0,7.0,14.25,False
loso_s2,2,8,23.0,8.0,8.0,4.0,10.75,False
loso_s2,2,9,20.0,21.0,11.0,35.0,21.75,False
loso_s2,2,10,29.0,18.0,9.0,5.0,15.25,False
