fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,40.0,1.0,4.0,27.0,18.0,False
loso_s1,1,2,39.0,2.0,3.0,22.0,16.5,False
loso_s1,1,3,38.0,3.0,1.0,16.0,14.5,False
loso_s1,1,4,37.0,4.0,2.0,11.0,13.5,False
loso_s1,1,5,32.0,5.0,5.0,1.0,10.75,False
loso_s1,1,6,19.0,6.0,6.0,8.0,9.75,True
loso_s1,1,7,9.0,17.0,7.0,23.0,14.0,False
loso_s1,1,8,3.0,24.0,8.0,29.0,16.0,False
loso_s1,1,9,5.0,27.0,9.0,5.0,11.5,False
loso_s1,1,10,6.0,29.0,10.0,36.0,20.25,False
loso_s1,1,11,12.0,40.0,12.0,37.0,25.25,False
loso_s1,1,12,2.0,26.0,11.0,33.0,18.0,False
loso_s1,1,13,4.0,20.0,13.0,25.0,15.5,False
loso_s1,1,14,1.0,12.0,15.0,38.0,16.5,False
loso_s1,1,15,10.0,16.0,14.0,39.0,19.75,False
loso_s1,1,16,8.0,8.0,19.0,4.0,9.75,False
loso_s1,1,17,7.0,23.0,16.0,34.0,20.0,False
loso_s1,1,18,20.0,38.0,20.0,10.0,22.0,False
loso_s1,1,19,14.0,19.0,21.0,40.0,23.5,False
loso_s1,1,20,11.0,9.0,18.0,21.0,14.75,False
loso_s1,1,21,13.0,11.0,24.0,35.0,20.75,False
loso_s1,1,22,21.0,13.0,17.0,3.0,13.5,False
loso_s1,1,23,15.0,31.0,28.0,6.0,20.0,False
loso_s1,1,24,18.0,34.0,36.0,31.0,29.75,False
loso_s1,1,25,30.0,32.0,34.0,14.0,27.5,False
loso_s1,1,26,23.0,18.0,22.0,2.0,16.25,False
loso_s1,1,27,22.0,15.0,23.0,26.0,21.5,False
loso_s1,1,28,35.0,36.0,27.0,18.0,29.0,False
loso_s1,1,29,33.0,37.0,30.0,7.0,26.75,False
loso_s1,1,30,16.0,33.0,33.0,13.0,23.75,False
loso_s1,1,31,17.0,35.0,32.0,12.0,24.0,False
loso_s1,1,32,27.0,28.0,31.0,19.0,26.25,False
loso_s1,1,33,31.0,22.0,26.0,17.0,24.0,False
loso_s1,1,34,24.0,7.0,25.0,9.0,16.25,False
loso_s1,1,35,34.0,21.0,39.0,20.0,28.5,False
loso_s1,1,36,36.0,10.0,29.0,15.0,22.5,False
loso_s1,1,37,28.0,14.0,35.0,30.0,26.75,False
loso_s1,1,38,25.0,30.0,37.0,28.0,30.0,False
loso_s1,1,39,26.0,25.0,38.0,32.0,30.25,False
loso_s1,1,40,29.0,39.0,40.0,24.0,33.0,False
loso_s2,2,1,40.0,1.0,3.0,9.0,13.25,False
loso_s2,2,2,39.0,2.0,2.0,6.0,12.25,False
loso_s2,2,3,38.0,3.0,1.0,5.0,11.75,False
loso_s2,2,4,37.0,4.0,4.0,4.0,12.25,False
loso_s2,2,5,30.0,5.0,5.0,3.0,10.75,False
loso_s2,2,6,13.0,6.0,6.0,1.0,6.5,True
loso_s2,2,7,4.0,13.0,7.0,2.0,6.5,False
loso_s2,2,8,2.0,24.0,8.0,8.0,10.5,False
loso_s2,2,9,6.0,31.0,9.0,11.0,14.25,False
loso_s2,2,10,7.0,10.0,10.0,7.0,8.5,False
loso_s2,2,11,26.0,20.0,11.0,19.0,19.0,False
loso_s2,2,12,19.0,12.0,14.0,17.0,15.5,False
loso_s2,2,13,8.0,18.0,12.0,27.0,16.25,False
loso_s2,2,14,9.0,17.0,15.0,20.0,15.25,False
loso_s2,2,15,16.0,15.0,13.0,14.0,14.5,False
loso_s2,2,16,14.0,9.0,16.0,12.0,12.75,False
loso_s2,2,17,10.0,8.0,17.0,15.0,12.5,False
loso_s2,2,18,20.0,11.0,19.0,13.0,15.75,False
loso_s2,2,19,5.0,7.0,20.0,10.0,10.5,False
loso_s2,2,20,18.0,14.0,18.0,23.0,18.25,False
loso_s2,2,21,17.0,16.0,22.0,28.0,20.75,False
loso_s2,2,22,25.0,25.0,21.0,22.0,23.25,False
loso_s2,2,23,3.0,27.0,25.0,36.0,22.75,False
loso_s2,2,24,1.0,37.0,26.0,16.0,20.0,False
loso_s2,2,25,31.0,33.0,32.0,37.0,33.25,False
loso_s2,2,26,28.0,23.0,31.0,30.0,28.0,False
loso_s2,2,27,22.0,26.0,27.0,25.0,25.0,False
loso_s2,2,28,36.0,38.0,34.0,35.0,35.75,False
loso_s2,2,29,32.0,28.0,36.0,40.0,34.0,False
loso_s2,2,30,11.0,34.0,29.0,38.0,28.0,False
loso_s2,2,31,23.0,22.0,33.0,39.0,29.25,False
loso_s2,2,32,27.0,36.0,28.0,32.0,30.75,False
loso_s2,2,33,24.0,35.0,30.0,26.0,28.75,False
loso_s2,2,34,12.0,32.0,24.0,29.0,24.25,False
loso_s2,2,35,34.0,29.0,38.0,34.0,33.75,False
loso_s2,2,36,35.0,21.0,40.0,24.0,30.0,False
loso_s2,2,37,15.0,30.0,23.0,31.0,24.75,False
loso_s2,2,38,21.0,39.0,37.0,21.0,29.5,False
loso_s2,2,39,33.0,19.0,35.0,18.0,26.25,False
loso_s2,2,40,29.0,40.0,39.0,33.0,35.25,False
loso_s3,3,1,15.0,1.0,4.0,4.0,6.0,False
loso_s3,3,2,14.0,2.0,1.0,1.0,4.5,False
loso_s3,3,3,10.0,3.0,3.0,2.0,4.5,False
loso_s3,3,4,6.0,4.0,2.0,5.0,4.25,False
loso_s3,3,5,3.0,5.0,5.0,3.0,4.0,True
loso_s3,3,6,2.0,6.0,6.0,6.0,5.0,False
loso_s3,3,7,4.0,7.0,7.0,18.0,9.0,False
loso_s3,3,8,1.0,13.0,8.0,15.0,9.25,False
loso_s3,3,9,5.0,8.0,9.0,29.0,12.75,False
loso_s3,3,10,9.0,11.0,11.0,8.0,9.75,False
loso_s3,3,11,27.0,17.0,14.0,9.0,16.75,False
loso_s3,3,12,20.0,15.0,10.0,13.0,14.5,False
loso_s3,3,13,12.0,24.0,12.0,19.0,16.75,False
loso_s3,3,14,11.0,12.0,13.0,7.0,10.75,False
loso_s3,3,15,31.0,19.0,16.0,20.0,21.5,False
loso_s3,3,16,17.0,10.0,19.0,25.0,17.75,False
loso_s3,3,17,8.0,18.0,15.0,10.0,12.75,False
loso_s3,3,18,29.0,34.0,24.0,17.0,26.0,False
loso_s3,3,19,7.0,27.0,18.0,11.0,15.75,False
loso_s3,3,20,22.0,9.0,17.0,12.0,15.0,False
loso_s3,3,21,18.0,30.0,27.0,14.0,22.25,False
loso_s3,3,22,33.0,33.0,20.0,23.0,27.25,False
loso_s3,3,23,13.0,21.0,22.0,24.0,20.0,False
loso_s3,3,24,16.0,29.0,30.0,16.0,22.75,False
loso_s3,3,25,38.0,22.0,28.0,21.0,27.25,False
loso_s3,3,26,35.0,36.0,23.0,26.0,30.0,False
loso_s3,3,27,28.0,16.0,33.0,37.0,28.5,False
loso_s3,3,28,40.0,39.0,29.0,32.0,35.0,False
loso_s3,3,29,39.0,32.0,35.0,40.0,36.5,False
loso_s3,3,30,25.0,28.0,25.0,38.0,29.0,False
loso_s3,3,31,19.0,26.0,26.0,30.0,25.25,False
loso_s3,3,32,34.0,35.0,34.0,35.0,34.5,False
loso_s3,3,33,23.0,38.0,31.0,22.0,28.5,False
loso_s3,3,34,24.0,14.0,21.0,27.0,21.5,False
loso_s3,3,35,37.0,23.0,37.0,39.0,34.0,False
loso_s3,3,36,36.0,40.0,40.0,33.0,37.25,False
loso_s3,3,37,26.0,20.0,39.0,36.0,30.25,False
loso_s3,3,38,21.0,25.0,36.0,31.0,28.25,False
loso_s3,3,39,30.0,31.0,38.0,28.0,31.75,False
loso_s3,3,40,32.0,37.0,32.0,34.0,33.75,False
loso_s4,4,1,34.0,6.0,3.0,10.0,13.25,False
loso_s4,4,2,30.0,3.0,2.0,8.0,10.75,False
loso_s4,4,3,27.0,4.0,1.0,7.0,9.75,False
loso_s4,4,4,14.0,2.0,4.0,1.0,5.25,False
loso_s4,4,5,6.0,5.0,5.0,3.0,4.75,False
loso_s4,4,6,5.0,1.0,6.0,2.0,3.5,True
loso_s4,4,7,3.0,7.0,7.0,12.0,7.25,False
loso_s4,4,8,10.0,14.0,8.0,16.0,12.0,False
loso_s4,4,9,12.0,10.0,9.0,9.0,10.0,False
loso_s4,4,10,26.0,11.0,10.0,14.0,15.25,False
loso_s4,4,11,24.0,23.0,11.0,17.0,18.75,False
loso_s4,4,12,16.0,12.0,13.0,6.0,11.75,False
loso_s4,4,13,36.0,21.0,18.0,15.0,22.5,False
loso_s4,4,14,19.0,15.0,19.0,11.0,16.0,False
loso_s4,4,15,28.0,16.0,14.0,5.0,15.75,False
loso_s4,4,16,9.0,9.0,12.0,13.0,10.75,False
loso_s4,4,17,1.0,19.0,16.0,4.0,10.0,False
loso_s4,4,18,35.0,33.0,17.0,26.0,27.75,False
loso_s4,4,19,8.0,29.0,15.0,18.0,17.5,False
loso_s4,4,20,22.0,8.0,20.0,19.0,17.25,False
loso_s4,4,21,7.0,34.0,21.0,21.0,20.75,False
loso_s4,4,22,11.0,32.0,22.0,20.0,21.25,False
loso_s4,4,23,2.0,22.0,25.0,23.0,18.0,False
loso_s4,4,24,4.0,26.0,24.0,22.0,19.0,False
loso_s4,4,25,31.0,24.0,32.0,24.0,27.75,False
loso_s4,4,26,25.0,27.0,26.0,27.0,26.25,False
loso_s4,4,27,17.0,18.0,29.0,25.0,22.25,False
loso_s4,4,28,39.0,36.0,23.0,32.0,32.5,False
loso_s4,4,29,37.0,28.0,27.0,35.0,31.75,False
loso_s4,4,30,38.0,20.0,30.0,34.0,30.5,False
loso_s4,4,31,15.0,17.0,33.0,30.0,23.75,False
loso_s4,4,32,29.0,35.0,34.0,36.0,33.5,False
loso_s4,4,33,13.0,38.0,39.0,37.0,31.75,False
loso_s4,4,34,21.0,13.0,36.0,31.0,25.25,False
loso_s4,4,35,18.0,25.0,37.0,40.0,30.0,False
loso_s4,4,36,23.0,40.0,40.0,28.0,32.75,False
loso_s4,4,37,20.0,30.0,35.0,33.0,29.5,False
loso_s4,4,38,33.0,31.0,38.0,39.0,35.25,False
loso_s4,4,39,32.0,37.0,31.0,29.0,32.25,False
loso_s4,4,40,40.0,39.0,28.0,38.0,36.25,False
loso_s5,5,1,4.0,40.0,3.0,5.0,13.0,False
loso_s5,5,2,2.0,39.0,2.0,2.0,11.25,True
loso_s5,5,3,5.0,38.0,1.0,3.0,11.75,False
loso_s5,5,4,6.0,37.0,4.0,1.0,12.0,False
loso_s5,5,5,18.0,36.0,5.0,9.0,17.0,False
loso_s5,5,6,10.0,33.0,6.0,6.0,13.75,False
loso_s5,5,7,36.0,31.0,7.0,8.0,20.5,False
loso_s5,5,8,38.0,34.0,8.0,23.0,25.75,False
loso_s5,5,9,34.0,26.0,9.0,18.0,21.75,False
loso_s5,5,10,39.0,28.0,10.0,7.0,21.0,False
loso_s5,5,11,27.0,32.0,11.0,29.0,24.75,False
loso_s5,5,12,14.0,4.0,12.0,17.0,11.75,False
loso_s5,5,13,3.0,18.0,13.0,14.0,12.0,False
loso_s5,5,14,9.0,10.0,18.0,22.0,14.75,False
loso_s5,5,15,26.0,6.0,17.0,30.0,19.75,False
loso_s5,5,16,7.0,7.0,14.0,19.0,11.75,False
loso_s5,5,17,11.0,8.0,19.0,11.0,12.25,False
loso_s5,5,18,17.0,17.0,33.0,25.0,23.0,False
loso_s5,5,19,1.0,13.0,21.0,21.0,14.0,False
loso_s5,5,20,13.0,22.0,15.0,4.0,13.5,False
loso_s5,5,21,8.0,25.0,36.0,26.0,23.75,False
loso_s5,5,22,28.0,15.0,30.0,16.0,22.25,False
loso_s5,5,23,19.0,1.0,28.0,10.0,14.5,False
loso_s5,5,24,16.0,2.0,29.0,12.0,14.75,False
loso_s5,5,25,31.0,5.0,25.0,13.0,18.5,False
loso_s5,5,26,32.0,12.0,20.0,27.0,22.75,False
loso_s5,5,27,25.0,24.0,22.0,38.0,27.25,False
loso_s5,5,28,40.0,21.0,16.0,34.0,27.75,False
loso_s5,5,29,20.0,20.0,38.0,40.0,29.5,False
loso_s5,5,30,29.0,3.0,23.0,39.0,23.5,False
loso_s5,5,31,30.0,11.0,31.0,37.0,27.25,False
loso_s5,5,32,21.0,9.0,34.0,28.0,23.0,False
loso_s5,5,33,12.0,16.0,40.0,31.0,24.75,False
loso_s5,5,34,33.0,27.0,24.0,32.0,29.0,False
loso_s5,5,35,24.0,30.0,27.0,15.0,24.0,False
loso_s5,5,36,23.0,14.0,35.0,24.0,24.0,False
loso_s5,5,37,15.0,23.0,32.0,33.0,25.75,False
loso_s5,5,38,35.0,19.0,39.0,36.0,32.25,False
loso_s5,5,39,37.0,29.0,26.0,35.0,31.75,False
loso_s5,5,40,22.0,35.0,37.0,20.0,28.5,False
loso_s6,6,1,29.0,40.0,1.0,1.0,17.75,False
loso_s6,6,2,22.0,39.0,2.0,2.0,16.25,False
loso_s6,6,3,18.0,38.0,3.0,4.0,15.75,False
loso_s6,6,4,11.0,30.0,4.0,3.0,12.0,False
loso_s6,6,5,3.0,23.0,5.0,6.0,9.25,False
loso_s6,6,6,2.0,14.0,6.0,5.0,6.75,False
loso_s6,6,7,1.0,2.0,7.0,7.0,4.25,True
loso_s6,6,8,5.0,4.0,9.0,11.0,7.25,False
loso_s6,6,9,7.0,7.0,8.0,8.0,7.5,False
loso_s6,6,10,17.0,3.0,10.0,10.0,10.0,False
loso_s6,6,11,15.0,11.0,11.0,9.0,11.5,False
loso_s6,6,12,21.0,1.0,15.0,12.0,12.25,False
loso_s6,6,13,14.0,5.0,12.0,14.0,11.25,False
loso_s6,6,14,32.0,9.0,22.0,13.0,19.0,False
loso_s6,6,15,19.0,6.0,17.0,20.0,15.5,False
loso_s6,6,16,26.0,13.0,13.0,15.0,16.75,False
loso_s6,6,17,6.0,10.0,28.0,16.0,15.0,False
loso_s6,6,18,27.0,19.0,31.0,28.0,26.25,False
loso_s6,6,19,20.0,17.0,21.0,24.0,20.5,False
loso_s6,6,20,34.0,12.0,16.0,19.0,20.25,False
loso_s6,6,21,4.0,16.0,37.0,22.0,19.75,False
loso_s6,6,22,16.0,8.0,20.0,38.0,20.5,False
loso_s6,6,23,10.0,21.0,29.0,29.0,22.25,False
loso_s6,6,24,24.0,20.0,36.0,26.0,26.5,False
loso_s6,6,25,12.0,18.0,32.0,25.0,21.75,False
loso_s6,6,26,30.0,15.0,14.0,23.0,20.5,False
loso_s6,6,27,31.0,37.0,27.0,31.0,31.5,False
loso_s6,6,28,38.0,22.0,19.0,40.0,29.75,False
loso_s6,6,29,28.0,28.0,26.0,39.0,30.25,False
loso_s6,6,30,36.0,26.0,30.0,34.0,31.5,False
