fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.6041666666666667,0.6041666666666666,0.5909259787279724,0.6549226036272455,0.6041666666666667,0.4722222222222222,SOURCE_POOLED_WHITEN,6
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.6034820047122297,0.6046931407942239,0.590026955322583,0.6528835868264949,0.6034820047122297,0.4725139995130603,SOURCE_POOLED_WHITEN,6
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.6464285714285715,0.5909090909090909,0.6,0.7075757575757575,0.6464285714285715,0.4734042553191488,SOURCE_POOLED_WHITEN,6
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.6145833333333334,0.6145833333333334,0.5879543182286068,0.626446154530066,0.6145833333333334,0.4861111111111111,SOURCE_POOLED_WHITEN,6
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.6179623164595676,0.6191335740072202,0.5898336915000252,0.6282196384638337,0.6179623164595676,0.4919463495623299,SOURCE_POOLED_WHITEN,6
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.5339285714285714,0.5,0.5071428571428571,0.5791666666666666,0.5339285714285714,0.3529411764705882,SOURCE_POOLED_WHITEN,6
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.5434027777777778,0.5434027777777778,0.520251255914481,0.5933342738360956,0.5434027777777778,0.3912037037037037,SOURCE_POOLED_WHITEN,6
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.5472007491708043,0.5487364620938628,0.525214682246107,0.5980488388862388,0.5472007491708043,0.3976218021763902,SOURCE_POOLED_WHITEN,6
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.4773809523809524,0.4090909090909091,0.396813725490196,0.4727564102564102,0.4773809523809524,0.2453825857519789,SOURCE_POOLED_WHITEN,6
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.2881944444444444,0.2881944444444444,0.2198304999074635,0.2309895436134695,0.2881944444444444,0.0509259259259259,SOURCE_POOLED_WHITEN,6
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.2826604554865424,0.2839059674502712,0.2124794941900205,0.2170645446507515,0.2826604554865424,0.0439751856492375,SOURCE_POOLED_WHITEN,6
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.3749999999999999,0.391304347826087,0.3174048174048174,0.3422619047619047,0.3749999999999999,0.1806615776081426,SOURCE_POOLED_WHITEN,6
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.3159722222222222,0.3159722222222222,0.2797833281740821,0.290117088982516,0.3159722222222222,0.0879629629629629,SOURCE_POOLED_WHITEN,6
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.317943409247757,0.3164556962025316,0.2807670666223297,0.2936789423199096,0.317943409247757,0.0901002468082513,SOURCE_POOLED_WHITEN,6
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.2569444444444444,0.3043478260869565,0.2428571428571428,0.2367424242424242,0.2569444444444444,-0.0054644808743169,SOURCE_POOLED_WHITEN,6
