fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,125,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,1,2,9,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,1,3,10,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,1,4,0,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,2,1,65,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,2,2,65,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,2,3,14,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,2,4,0,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,3,1,35,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,3,2,7,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,3,3,72,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,3,4,30,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,4,1,27,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,4,2,0,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,4,3,60,CHANNEL_AND_GAIN
loso_s1,1,20260924,all,4,4,57,CHANNEL_AND_GAIN
loso_s1,1,20260924,unflagged,1,1,121,CHANNEL_AND_GAIN
loso_s1,1,20260924,unflagged,1,2,9,CHANNEL_AND_GAIN
loso_s1,1,20260924,unflagged,1,3,10,CHANNEL_AND_GAIN
loso_s1,1,20260924,unflagged,1,4,0,CHANNEL_AND_GAIN
loso_s1,1,20260924,unflagged,2,1,63,CHANNEL_AND_GAIN
loso_s1,1,20260924,unflagged,2,2,65,CHANNEL_AND_GAIN
loso_s1,1,20260924,unflagged,2,3,11,CHANNEL_AND_GAIN
loso_s1,1,20260924,unflagged,2,4,0,CHANNEL_AND_GAIN
loso_s1,1,20260924,unflagged,3,1,31,CHANNEL_AND_GAIN
loso_s1,1,20260924,unflagged,3,2,6,CHANNEL_AND_GAIN
loso_s1,1,20260924,unflagged,3,3,70,CHANNEL_AND_GAIN
loso_s1,1,20260924,unflagged,3,4,30,CHANNEL_AND_GAIN
loso_s1,1,20260924,unflagged,4,1,25,CHANNEL_AND_GAIN
