fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s9,9,20260926,all,1,1,70,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,1,2,52,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,1,3,7,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,1,4,15,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,2,1,5,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,2,2,70,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,2,3,9,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,2,4,60,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,3,1,7,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,3,2,25,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,3,3,32,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,3,4,80,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,4,1,5,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,4,2,14,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,4,3,5,CHANNEL_AND_GAIN
loso_s9,9,20260926,all,4,4,120,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,1,1,61,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,1,2,40,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,1,3,6,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,1,4,11,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,2,1,5,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,2,2,58,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,2,3,9,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,2,4,56,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,3,1,6,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,3,2,21,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,3,3,31,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,3,4,72,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,4,1,5,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,4,2,13,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,4,3,5,CHANNEL_AND_GAIN
loso_s9,9,20260926,unflagged,4,4,102,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,1,1,9,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,1,2,12,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,1,3,1,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,1,4,4,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,2,1,0,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,2,2,12,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,2,3,0,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,2,4,4,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,3,1,1,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,3,2,4,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,3,3,1,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,3,4,8,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,4,1,0,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,4,2,1,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,4,3,0,CHANNEL_AND_GAIN
loso_s9,9,20260926,flagged,4,4,18,CHANNEL_AND_GAIN
