fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,37.0,1.0,13.0,40.0,22.75,False
loso_s1,1,2,38.0,2.0,16.0,39.0,23.75,False
loso_s1,1,3,40.0,3.0,14.0,38.0,23.75,False
loso_s1,1,4,36.0,8.0,8.0,37.0,22.25,False
loso_s1,1,5,35.0,22.0,3.0,35.0,23.75,False
loso_s1,1,6,39.0,21.0,4.0,31.0,23.75,False
loso_s1,1,7,34.0,16.0,1.0,30.0,20.25,False
loso_s1,1,8,31.0,17.0,2.0,27.0,19.25,False
loso_s1,1,9,29.0,31.0,12.0,32.0,26.0,False
loso_s1,1,10,30.0,34.0,7.0,28.0,24.75,False
loso_s1,1,11,33.0,29.0,15.0,29.0,26.5,False
loso_s1,1,12,25.0,36.0,11.0,18.0,22.5,False
loso_s1,1,13,32.0,37.0,19.0,24.0,28.0,False
loso_s1,1,14,28.0,15.0,9.0,23.0,18.75,False
loso_s1,1,15,27.0,38.0,24.0,19.0,27.0,False
loso_s1,1,16,24.0,23.0,21.0,7.0,18.75,False
loso_s1,1,17,19.0,25.0,10.0,9.0,15.75,False
loso_s1,1,18,23.0,11.0,17.0,26.0,19.25,False
loso_s1,1,19,22.0,5.0,6.0,3.0,9.0,True
loso_s1,1,20,26.0,20.0,5.0,17.0,17.0,False
loso_s1,1,21,21.0,19.0,18.0,10.0,17.0,False
loso_s1,1,22,17.0,32.0,30.0,6.0,21.25,False
loso_s1,1,23,15.0,4.0,20.0,14.0,13.25,False
loso_s1,1,24,18.0,10.0,23.0,8.0,14.75,False
loso_s1,1,25,13.0,9.0,22.0,21.0,16.25,False
loso_s1,1,26,2.0,28.0,25.0,12.0,16.75,False
loso_s1,1,27,20.0,35.0,28.0,2.0,21.25,False
loso_s1,1,28,5.0,33.0,27.0,36.0,25.25,False
loso_s1,1,29,1.0,30.0,31.0,13.0,18.75,False
loso_s1,1,30,16.0,40.0,26.0,20.0,25.5,False
loso_s1,1,31,6.0,26.0,32.0,1.0,16.25,False
