fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.5538194444444444,0.5538194444444444,0.5456493506493506,0.603802939291445,0.5538194444444444,0.4050925925925925,CHANNEL_AND_GAIN,19
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5585412166254665,0.5595667870036101,0.5511851939336244,0.606547619047619,0.5585412166254665,0.4124162153233588,CHANNEL_AND_GAIN,19
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.4464285714285714,0.4090909090909091,0.3685897435897436,0.4166666666666666,0.4464285714285714,0.22911051212938,CHANNEL_AND_GAIN,19
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.5694444444444444,0.5694444444444444,0.5563878067544434,0.5698473810445756,0.5694444444444444,0.4259259259259259,CHANNEL_AND_GAIN,19
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.5737386696708735,0.5740072202166066,0.560094198629188,0.5751561438356941,0.5737386696708735,0.4320861096873398,CHANNEL_AND_GAIN,19
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.4714285714285714,0.4545454545454545,0.4607614607614607,0.4583333333333333,0.4714285714285714,0.2707182320441988,CHANNEL_AND_GAIN,19
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.5520833333333334,0.5520833333333334,0.5371435596919842,0.5401847265344656,0.5520833333333334,0.4027777777777778,CHANNEL_AND_GAIN,19
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.5552726848760825,0.555956678700361,0.5399049101351234,0.5440718638342262,0.5552726848760825,0.4079113717823395,CHANNEL_AND_GAIN,19
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.4982142857142857,0.4545454545454545,0.4608391608391609,0.4833333333333333,0.4982142857142857,0.2884097035040429,CHANNEL_AND_GAIN,19
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.2847222222222222,0.2847222222222222,0.1949254033972359,0.2864864215066172,0.2847222222222222,0.0462962962962962,CHANNEL_AND_GAIN,14
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.2824965493443754,0.2820976491862568,0.1937634658258249,0.2897095888876442,0.2824965493443754,0.0429481283212652,CHANNEL_AND_GAIN,14
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.375,0.3478260869565217,0.2628571428571428,0.2456140350877192,0.375,0.1243654822335025,CHANNEL_AND_GAIN,14
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.296875,0.296875,0.2254894065687208,0.2911378205128205,0.296875,0.0625,CHANNEL_AND_GAIN,14
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.2929664136185875,0.2929475587703435,0.2190288926888429,0.2805402993667242,0.2929664136185875,0.0571986692305344,CHANNEL_AND_GAIN,14
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.3749999999999999,0.391304347826087,0.3264957264957265,0.3589285714285714,0.3749999999999999,0.1722365038560411,CHANNEL_AND_GAIN,14
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.2899305555555556,0.2899305555555556,0.189288884155217,0.2470650680654427,0.2899305555555556,0.0532407407407407,CHANNEL_AND_GAIN,14
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.2876121463077984,0.2875226039783002,0.1853244670816827,0.2351049954349811,0.2876121463077984,0.05010986328125,CHANNEL_AND_GAIN,14
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.3055555555555556,0.3478260869565217,0.1987179487179487,0.2416666666666666,0.3055555555555556,0.0968586387434555,CHANNEL_AND_GAIN,14
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.5625,0.5625,0.5350863362443393,0.575082843675521,0.5625,0.4166666666666666,CHANNEL_AND_GAIN,26
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.5590233685225479,0.5598526703499079,0.5313882940387816,0.5685412303059363,0.5590233685225479,0.4131614408580757,CHANNEL_AND_GAIN,26
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.6166666666666667,0.6060606060606061,0.5884615384615384,0.6918767507002801,0.6166666666666667,0.472972972972973,CHANNEL_AND_GAIN,26
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.5173611111111112,0.5173611111111112,0.5124355891446238,0.5983962480318519,0.5173611111111112,0.3564814814814815,CHANNEL_AND_GAIN,26
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.5139126670568726,0.5138121546961326,0.5093473981157107,0.5960080329153605,0.5139126670568726,0.3522950619682545,CHANNEL_AND_GAIN,26
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.5763888888888888,0.5757575757575758,0.5619739057239057,0.6527777777777777,0.5763888888888888,0.4275092936802973,CHANNEL_AND_GAIN,26
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.5347222222222222,0.5347222222222222,0.5089319810409506,0.5732137971046805,0.5347222222222222,0.3796296296296296,CHANNEL_AND_GAIN,26
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.5348931051618859,0.5359116022099447,0.5091217489796851,0.5734444425058738,0.5348931051618859,0.3811629989417414,CHANNEL_AND_GAIN,26
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.5340277777777778,0.5151515151515151,0.4801470588235295,0.5234126984126984,0.5340277777777778,0.3513513513513514,CHANNEL_AND_GAIN,26
loso_s4,4,20260924,EEGNet,all,4608,576,4,0.3472222222222222,0.3472222222222222,0.2942407234738877,0.3613869921790423,0.3472222222222222,0.1296296296296296,CHANNEL_AND_GAIN,23
