fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,78,CHANNEL_DROPOUT
loso_s1,1,20260924,all,1,2,30,CHANNEL_DROPOUT
loso_s1,1,20260924,all,1,3,15,CHANNEL_DROPOUT
loso_s1,1,20260924,all,1,4,21,CHANNEL_DROPOUT
loso_s1,1,20260924,all,2,1,18,CHANNEL_DROPOUT
loso_s1,1,20260924,all,2,2,105,CHANNEL_DROPOUT
loso_s1,1,20260924,all,2,3,10,CHANNEL_DROPOUT
loso_s1,1,20260924,all,2,4,11,CHANNEL_DROPOUT
loso_s1,1,20260924,all,3,1,18,CHANNEL_DROPOUT
loso_s1,1,20260924,all,3,2,8,CHANNEL_DROPOUT
loso_s1,1,20260924,all,3,3,64,CHANNEL_DROPOUT
loso_s1,1,20260924,all,3,4,54,CHANNEL_DROPOUT
loso_s1,1,20260924,all,4,1,17,CHANNEL_DROPOUT
loso_s1,1,20260924,all,4,2,1,CHANNEL_DROPOUT
loso_s1,1,20260924,all,4,3,59,CHANNEL_DROPOUT
loso_s1,1,20260924,all,4,4,67,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,1,1,75,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,1,2,30,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,1,3,14,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,1,4,21,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,2,1,16,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,2,2,104,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,2,3,9,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,2,4,10,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,3,1,16,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,3,2,8,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,3,3,60,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,3,4,53,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,4,1,15,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,4,2,1,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,4,3,57,CHANNEL_DROPOUT
loso_s1,1,20260924,unflagged,4,4,65,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,1,1,3,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,1,2,0,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,1,3,1,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,1,4,0,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,2,1,2,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,2,2,1,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,2,3,1,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,2,4,1,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,3,1,2,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,3,2,0,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,3,3,4,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,3,4,1,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,4,1,2,CHANNEL_DROPOUT
loso_s1,1,20260924,flagged,4,2,0,CHANNEL_DROPOUT
