fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s2,2,20260926,all,1,1,119,CHANNEL_DROPOUT
loso_s2,2,20260926,all,1,2,23,CHANNEL_DROPOUT
loso_s2,2,20260926,all,1,3,1,CHANNEL_DROPOUT
loso_s2,2,20260926,all,1,4,1,CHANNEL_DROPOUT
loso_s2,2,20260926,all,2,1,95,CHANNEL_DROPOUT
loso_s2,2,20260926,all,2,2,46,CHANNEL_DROPOUT
loso_s2,2,20260926,all,2,3,3,CHANNEL_DROPOUT
loso_s2,2,20260926,all,2,4,0,CHANNEL_DROPOUT
loso_s2,2,20260926,all,3,1,99,CHANNEL_DROPOUT
loso_s2,2,20260926,all,3,2,37,CHANNEL_DROPOUT
loso_s2,2,20260926,all,3,3,4,CHANNEL_DROPOUT
loso_s2,2,20260926,all,3,4,4,CHANNEL_DROPOUT
loso_s2,2,20260926,all,4,1,105,CHANNEL_DROPOUT
loso_s2,2,20260926,all,4,2,39,CHANNEL_DROPOUT
loso_s2,2,20260926,all,4,3,0,CHANNEL_DROPOUT
loso_s2,2,20260926,all,4,4,0,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,1,1,114,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,1,2,22,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,1,3,1,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,1,4,1,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,2,1,92,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,2,2,46,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,2,3,2,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,2,4,0,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,3,1,92,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,3,2,35,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,3,3,4,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,3,4,4,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,4,1,103,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,4,2,37,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,4,3,0,CHANNEL_DROPOUT
loso_s2,2,20260926,unflagged,4,4,0,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,1,1,5,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,1,2,1,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,1,3,0,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,1,4,0,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,2,1,3,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,2,2,0,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,2,3,1,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,2,4,0,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,3,1,7,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,3,2,2,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,3,3,0,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,3,4,0,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,4,1,2,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,4,2,2,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,4,3,0,CHANNEL_DROPOUT
loso_s2,2,20260926,flagged,4,4,0,CHANNEL_DROPOUT
