fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,39.0,3.0,10.0,40.0,23.0,False
loso_s1,1,2,40.0,6.0,11.0,38.0,23.75,False
loso_s1,1,3,38.0,12.0,9.0,37.0,24.0,False
loso_s1,1,4,37.0,19.0,5.0,36.0,24.25,False
loso_s1,1,5,35.0,30.0,3.0,34.0,25.5,False
loso_s1,1,6,36.0,37.0,2.0,32.0,26.75,False
loso_s1,1,7,30.0,24.0,1.0,33.0,22.0,False
loso_s1,1,8,31.0,28.0,4.0,31.0,23.5,False
loso_s1,1,9,32.0,26.0,6.0,35.0,24.75,False
loso_s1,1,10,28.0,23.0,13.0,13.0,19.25,False
loso_s1,1,11,14.0,21.0,14.0,29.0,19.5,False
loso_s1,1,12,21.0,10.0,7.0,30.0,17.0,False
loso_s1,1,13,10.0,18.0,8.0,25.0,15.25,False
loso_s1,1,14,25.0,14.0,12.0,27.0,19.5,False
loso_s1,1,15,13.0,11.0,18.0,23.0,16.25,False
loso_s1,1,16,2.0,9.0,16.0,26.0,13.25,False
loso_s1,1,17,3.0,16.0,29.0,10.0,14.5,False
loso_s1,1,18,17.0,1.0,19.0,16.0,13.25,False
loso_s1,1,19,29.0,4.0,20.0,21.0,18.5,False
loso_s1,1,20,19.0,7.0,24.0,15.0,16.25,False
loso_s1,1,21,16.0,31.0,28.0,8.0,20.75,False
loso_s1,1,22,22.0,8.0,17.0,19.0,16.5,False
loso_s1,1,23,33.0,29.0,15.0,3.0,20.0,False
loso_s1,1,24,7.0,17.0,22.0,18.0,16.0,False
loso_s1,1,25,11.0,35.0,21.0,17.0,21.0,False
loso_s1,1,26,34.0,38.0,25.0,28.0,31.25,False
loso_s1,1,27,1.0,32.0,32.0,6.0,17.75,False
loso_s1,1,28,26.0,15.0,23.0,20.0,21.0,False
loso_s1,1,29,15.0,20.0,26.0,14.0,18.75,False
loso_s1,1,30,23.0,34.0,36.0,11.0,26.0,False
loso_s1,1,31,4.0,5.0,31.0,1.0,10.25,True
loso_s1,1,32,24.0,13.0,34.0,9.0,20.0,False
loso_s1,1,33,8.0,27.0,35.0,5.0,18.75,False
loso_s1,1,34,18.0,22.0,30.0,22.0,23.0,False
loso_s1,1,35,5.0,39.0,37.0,2.0,20.75,False
loso_s1,1,36,6.0,25.0,40.0,39.0,27.5,False
loso_s1,1,37,20.0,40.0,33.0,24.0,29.25,False
loso_s1,1,38,27.0,33.0,38.0,4.0,25.5,False
loso_s1,1,39,9.0,2.0,27.0,7.0,11.25,False
loso_s1,1,40,12.0,36.0,39.0,12.0,24.75,False
loso_s2,2,1,40.0,1.0,4.0,40.0,21.25,False
loso_s2,2,2,39.0,2.0,6.0,39.0,21.5,False
loso_s2,2,3,38.0,3.0,9.0,38.0,22.0,False
loso_s2,2,4,37.0,5.0,3.0,33.0,19.5,False
loso_s2,2,5,36.0,10.0,8.0,31.0,21.25,False
loso_s2,2,6,35.0,15.0,7.0,22.0,19.75,False
loso_s2,2,7,34.0,7.0,1.0,17.0,14.75,False
loso_s2,2,8,33.0,9.0,2.0,32.0,19.0,False
loso_s2,2,9,32.0,6.0,5.0,20.0,15.75,False
loso_s2,2,10,31.0,4.0,10.0,4.0,12.25,False
loso_s2,2,11,29.0,11.0,13.0,19.0,18.0,False
loso_s2,2,12,30.0,13.0,11.0,25.0,19.75,False
loso_s2,2,13,16.0,16.0,12.0,2.0,11.5,True
loso_s2,2,14,17.0,17.0,15.0,10.0,14.75,False
loso_s2,2,15,25.0,34.0,25.0,6.0,22.5,False
loso_s2,2,16,3.0,30.0,21.0,23.0,19.25,False
loso_s2,2,17,4.0,23.0,14.0,13.0,13.5,False
loso_s2,2,18,28.0,8.0,24.0,21.0,20.25,False
loso_s2,2,19,27.0,12.0,16.0,1.0,14.0,False
loso_s2,2,20,13.0,14.0,22.0,8.0,14.25,False
loso_s2,2,21,5.0,32.0,23.0,29.0,22.25,False
loso_s2,2,22,6.0,19.0,18.0,24.0,16.75,False
loso_s2,2,23,11.0,25.0,17.0,5.0,14.5,False
loso_s2,2,24,20.0,18.0,19.0,3.0,15.0,False
loso_s2,2,25,12.0,31.0,27.0,16.0,21.5,False
loso_s2,2,26,23.0,39.0,26.0,30.0,29.5,False
loso_s2,2,27,1.0,28.0,30.0,35.0,23.5,False
loso_s2,2,28,22.0,27.0,34.0,9.0,23.0,False
loso_s2,2,29,26.0,29.0,20.0,11.0,21.5,False
loso_s2,2,30,8.0,38.0,31.0,36.0,28.25,False
loso_s2,2,31,7.0,21.0,29.0,7.0,16.0,False
loso_s2,2,32,14.0,26.0,39.0,15.0,23.5,False
loso_s2,2,33,9.0,35.0,38.0,26.0,27.0,False
loso_s2,2,34,19.0,22.0,36.0,37.0,28.5,False
loso_s2,2,35,2.0,36.0,37.0,14.0,22.25,False
loso_s2,2,36,24.0,24.0,35.0,34.0,29.25,False
loso_s2,2,37,18.0,40.0,32.0,27.0,29.25,False
loso_s2,2,38,10.0,37.0,33.0,12.0,23.0,False
loso_s2,2,39,15.0,20.0,28.0,28.0,22.75,False
loso_s2,2,40,21.0,33.0,40.0,18.0,28.0,False
loso_s3,3,1,39.0,1.0,3.0,35.0,19.5,False
loso_s3,3,2,40.0,2.0,5.0,31.0,19.5,False
loso_s3,3,3,38.0,5.0,2.0,19.0,16.0,False
loso_s3,3,4,37.0,14.0,9.0,16.0,19.0,False
loso_s3,3,5,36.0,21.0,10.0,15.0,20.5,False
loso_s3,3,6,35.0,36.0,15.0,26.0,28.0,False
loso_s3,3,7,26.0,18.0,1.0,25.0,17.5,False
loso_s3,3,8,27.0,31.0,6.0,28.0,23.0,False
loso_s3,3,9,31.0,28.0,16.0,38.0,28.25,False
loso_s3,3,10,21.0,19.0,7.0,27.0,18.5,False
loso_s3,3,11,8.0,25.0,22.0,39.0,23.5,False
loso_s3,3,12,14.0,11.0,14.0,30.0,17.25,False
loso_s3,3,13,5.0,15.0,20.0,40.0,20.0,False
loso_s3,3,14,6.0,17.0,24.0,32.0,19.75,False
loso_s3,3,15,12.0,29.0,17.0,34.0,23.0,False
loso_s3,3,16,3.0,13.0,8.0,29.0,13.25,False
loso_s3,3,17,1.0,9.0,4.0,37.0,12.75,True
loso_s3,3,18,9.0,3.0,21.0,36.0,17.25,False
loso_s3,3,19,28.0,6.0,27.0,17.0,19.5,False
loso_s3,3,20,15.0,4.0,19.0,13.0,12.75,False
loso_s3,3,21,18.0,30.0,23.0,23.0,23.5,False
loso_s3,3,22,19.0,8.0,11.0,33.0,17.75,False
loso_s3,3,23,29.0,27.0,12.0,22.0,22.5,False
loso_s3,3,24,7.0,10.0,18.0,18.0,13.25,False
loso_s3,3,25,4.0,32.0,13.0,10.0,14.75,False
loso_s3,3,26,22.0,35.0,30.0,20.0,26.75,False
loso_s3,3,27,2.0,20.0,28.0,14.0,16.0,False
loso_s3,3,28,33.0,26.0,33.0,4.0,24.0,False
loso_s3,3,29,25.0,22.0,35.0,2.0,21.0,False
loso_s3,3,30,30.0,40.0,38.0,5.0,28.25,False
loso_s3,3,31,11.0,16.0,26.0,6.0,14.75,False
loso_s3,3,32,32.0,34.0,29.0,7.0,25.5,False
loso_s3,3,33,13.0,24.0,32.0,21.0,22.5,False
loso_s3,3,34,20.0,33.0,25.0,8.0,21.5,False
loso_s3,3,35,10.0,38.0,36.0,1.0,21.25,False
loso_s3,3,36,16.0,7.0,40.0,9.0,18.0,False
loso_s3,3,37,24.0,39.0,34.0,24.0,30.25,False
loso_s3,3,38,34.0,37.0,39.0,3.0,28.25,False
loso_s3,3,39,17.0,12.0,31.0,12.0,18.0,False
loso_s3,3,40,23.0,23.0,37.0,11.0,23.5,False
loso_s4,4,1,39.0,37.0,6.0,40.0,30.5,False
loso_s4,4,2,40.0,38.0,8.0,38.0,31.0,False
loso_s4,4,3,38.0,40.0,7.0,37.0,30.5,False
loso_s4,4,4,37.0,39.0,3.0,36.0,28.75,False
loso_s4,4,5,36.0,35.0,1.0,32.0,26.0,False
loso_s4,4,6,35.0,36.0,2.0,27.0,25.0,False
loso_s4,4,7,31.0,26.0,5.0,28.0,22.5,False
loso_s4,4,8,33.0,33.0,16.0,19.0,25.25,False
loso_s4,4,9,34.0,29.0,4.0,26.0,23.25,False
loso_s4,4,10,25.0,21.0,12.0,8.0,16.5,False
loso_s4,4,11,4.0,24.0,10.0,24.0,15.5,False
loso_s4,4,12,18.0,13.0,9.0,7.0,11.75,False
loso_s4,4,13,16.0,11.0,14.0,23.0,16.0,False
loso_s4,4,14,12.0,12.0,11.0,29.0,16.0,False
loso_s4,4,15,21.0,22.0,22.0,30.0,23.75,False
loso_s4,4,16,7.0,8.0,26.0,22.0,15.75,False
loso_s4,4,17,5.0,1.0,23.0,14.0,10.75,False
loso_s4,4,18,22.0,2.0,21.0,21.0,16.5,False
loso_s4,4,19,24.0,15.0,18.0,16.0,18.25,False
loso_s4,4,20,19.0,3.0,24.0,4.0,12.5,False
loso_s4,4,21,6.0,23.0,20.0,6.0,13.75,False
loso_s4,4,22,15.0,4.0,17.0,17.0,13.25,False
loso_s4,4,23,8.0,17.0,13.0,3.0,10.25,False
loso_s4,4,24,10.0,6.0,15.0,1.0,8.0,True
loso_s4,4,25,23.0,19.0,25.0,20.0,21.75,False
loso_s4,4,26,9.0,28.0,19.0,12.0,17.0,False
loso_s4,4,27,1.0,14.0,30.0,15.0,15.0,False
loso_s4,4,28,29.0,20.0,33.0,9.0,22.75,False
loso_s4,4,29,26.0,16.0,27.0,13.0,20.5,False
loso_s4,4,30,14.0,34.0,34.0,5.0,21.75,False
loso_s4,4,31,27.0,10.0,31.0,2.0,17.5,False
loso_s4,4,32,28.0,25.0,37.0,11.0,25.25,False
loso_s4,4,33,2.0,18.0,32.0,18.0,17.5,False
loso_s4,4,34,30.0,31.0,29.0,34.0,31.0,False
loso_s4,4,35,17.0,27.0,40.0,10.0,23.5,False
loso_s4,4,36,20.0,9.0,36.0,39.0,26.0,False
loso_s4,4,37,11.0,32.0,35.0,25.0,25.75,False
loso_s4,4,38,32.0,30.0,38.0,31.0,32.75,False
loso_s4,4,39,3.0,7.0,28.0,33.0,17.75,False
loso_s4,4,40,13.0,5.0,39.0,35.0,23.0,False
loso_s5,5,1,13.0,39.0,1.0,39.0,23.0,False
loso_s5,5,2,16.0,40.0,2.0,35.0,23.25,False
loso_s5,5,3,18.0,38.0,8.0,29.0,23.25,False
loso_s5,5,4,15.0,37.0,3.0,23.0,19.5,False
loso_s5,5,5,35.0,36.0,5.0,9.0,21.25,False
loso_s5,5,6,22.0,35.0,6.0,7.0,17.5,False
loso_s5,5,7,2.0,31.0,4.0,31.0,17.0,False
loso_s5,5,8,4.0,34.0,7.0,28.0,18.25,False
loso_s5,5,9,14.0,33.0,9.0,16.0,18.0,False
loso_s5,5,10,32.0,30.0,11.0,32.0,26.25,False
loso_s5,5,11,31.0,32.0,14.0,38.0,28.75,False
loso_s5,5,12,9.0,29.0,10.0,40.0,22.0,False
loso_s5,5,13,28.0,24.0,12.0,37.0,25.25,False
loso_s5,5,14,40.0,26.0,16.0,12.0,23.5,False
loso_s5,5,15,36.0,28.0,21.0,27.0,28.0,False
loso_s5,5,16,30.0,15.0,25.0,33.0,25.75,False
loso_s5,5,17,20.0,5.0,18.0,36.0,19.75,False
loso_s5,5,18,23.0,20.0,15.0,19.0,19.25,False
loso_s5,5,19,8.0,16.0,13.0,20.0,14.25,False
loso_s5,5,20,19.0,11.0,20.0,26.0,19.0,False
loso_s5,5,21,27.0,13.0,17.0,21.0,19.5,False
loso_s5,5,22,24.0,7.0,22.0,13.0,16.5,False
loso_s5,5,23,34.0,12.0,24.0,24.0,23.5,False
loso_s5,5,24,25.0,18.0,19.0,25.0,21.75,False
loso_s5,5,25,5.0,25.0,23.0,18.0,17.75,False
loso_s5,5,26,26.0,17.0,26.0,30.0,24.75,False
loso_s5,5,27,12.0,3.0,29.0,8.0,13.0,True
loso_s5,5,28,21.0,21.0,36.0,14.0,23.0,False
loso_s5,5,29,39.0,14.0,27.0,1.0,20.25,False
loso_s5,5,30,6.0,22.0,32.0,10.0,17.5,False
loso_s5,5,31,17.0,1.0,33.0,6.0,14.25,False
loso_s5,5,32,3.0,10.0,40.0,34.0,21.75,False
loso_s5,5,33,10.0,6.0,34.0,22.0,18.0,False
loso_s5,5,34,37.0,27.0,39.0,3.0,26.5,False
loso_s5,5,35,29.0,2.0,28.0,11.0,17.5,False
loso_s5,5,36,33.0,9.0,30.0,4.0,19.0,False
loso_s5,5,37,38.0,23.0,35.0,15.0,27.75,False
loso_s5,5,38,11.0,4.0,37.0,2.0,13.5,False
loso_s5,5,39,1.0,8.0,38.0,5.0,13.0,False
