fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.5451388888888888,0.5451388888888888,0.5464935023753517,0.5487318607898424,0.5451388888888888,0.3935185185185185,CHANNEL_DROPOUT,31
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5482216054240979,0.5487364620938628,0.5490706013288735,0.5517099662357667,0.5482216054240979,0.3983936894321445,CHANNEL_DROPOUT,31
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.4636904761904761,0.4545454545454545,0.432051282051282,0.5833333333333333,0.4636904761904761,0.2727272727272727,CHANNEL_DROPOUT,31
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.5486111111111112,0.5486111111111112,0.5509402706516734,0.5850026736263011,0.5486111111111112,0.3981481481481481,CHANNEL_DROPOUT,31
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.5500666003897249,0.5505415162454874,0.552636335098067,0.5851959806203825,0.5500666003897249,0.4008105255385042,CHANNEL_DROPOUT,31
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.5136904761904761,0.5,0.5026862026862027,0.625,0.5136904761904761,0.3351648351648352,CHANNEL_DROPOUT,31
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.5885416666666666,0.5885416666666666,0.5809788723664839,0.590107636958827,0.5885416666666666,0.4513888888888888,CHANNEL_DROPOUT,31
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.5952482689008607,0.5956678700361011,0.5872799037236179,0.5953944979751431,0.5952482689008607,0.4608717563287703,CHANNEL_DROPOUT,31
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.4363095238095238,0.4090909090909091,0.4055631868131868,0.5833333333333333,0.4363095238095238,0.2142857142857143,CHANNEL_DROPOUT,31
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.2708333333333333,0.2708333333333333,0.15221168571092,0.1449226424361493,0.2708333333333333,0.0277777777777777,CHANNEL_DROPOUT,13
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.2712215320910973,0.2712477396021699,0.1532610837438423,0.1461001923014243,0.2712215320910973,0.0284203367367403,CHANNEL_DROPOUT,13
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.25,0.2608695652173913,0.1071428571428571,0.0681818181818181,0.25,0.0050890585241729,CHANNEL_DROPOUT,13
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.3072916666666666,0.3072916666666667,0.2342834051724138,0.2596200980392157,0.3072916666666666,0.0763888888888888,CHANNEL_DROPOUT,13
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.3029416839199447,0.3037974683544304,0.2314427055761678,0.2537100714983139,0.3029416839199447,0.070803219161342,CHANNEL_DROPOUT,13
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.4444444444444444,0.391304347826087,0.3009803921568627,0.438034188034188,0.4444444444444444,0.2222222222222222,CHANNEL_DROPOUT,13
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.2934027777777777,0.2934027777777778,0.1986145559443437,0.275482593631414,0.2934027777777777,0.0578703703703703,CHANNEL_DROPOUT,13
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.2960720036806993,0.2965641952983725,0.2019787556507878,0.296072319201995,0.2960720036806993,0.0615506094422098,CHANNEL_DROPOUT,13
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.2083333333333333,0.217391304347826,0.108695652173913,0.0735294117647058,0.2083333333333333,-0.0402010050251258,CHANNEL_DROPOUT,13
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.5729166666666667,0.5729166666666666,0.5595138643047668,0.6074373956635721,0.5729166666666667,0.4305555555555556,CHANNEL_DROPOUT,17
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.5743543312847528,0.574585635359116,0.5611265051279208,0.612567952202677,0.5743543312847528,0.4330122453407585,CHANNEL_DROPOUT,17
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.5375,0.5454545454545454,0.5097278041651443,0.5119047619047619,0.5375,0.388133498145859,CHANNEL_DROPOUT,17
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.5833333333333334,0.5833333333333334,0.578405587123586,0.5990514068684272,0.5833333333333334,0.4444444444444444,CHANNEL_DROPOUT,17
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.5938758272434361,0.5948434622467772,0.5893094165893218,0.608942494049643,0.5938758272434361,0.4597112670960273,CHANNEL_DROPOUT,17
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.4180555555555555,0.3939393939393939,0.397488038277512,0.4416666666666666,0.4180555555555555,0.1901840490797545,CHANNEL_DROPOUT,17
