fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,115,GAIN_PERTURB
loso_s1,1,20260924,all,1,2,22,GAIN_PERTURB
loso_s1,1,20260924,all,1,3,7,GAIN_PERTURB
loso_s1,1,20260924,all,1,4,0,GAIN_PERTURB
loso_s1,1,20260924,all,2,1,29,GAIN_PERTURB
loso_s1,1,20260924,all,2,2,113,GAIN_PERTURB
loso_s1,1,20260924,all,2,3,2,GAIN_PERTURB
loso_s1,1,20260924,all,2,4,0,GAIN_PERTURB
loso_s1,1,20260924,all,3,1,24,GAIN_PERTURB
loso_s1,1,20260924,all,3,2,11,GAIN_PERTURB
loso_s1,1,20260924,all,3,3,96,GAIN_PERTURB
loso_s1,1,20260924,all,3,4,13,GAIN_PERTURB
loso_s1,1,20260924,all,4,1,25,GAIN_PERTURB
loso_s1,1,20260924,all,4,2,1,GAIN_PERTURB
loso_s1,1,20260924,all,4,3,98,GAIN_PERTURB
loso_s1,1,20260924,all,4,4,20,GAIN_PERTURB
loso_s1,1,20260924,unflagged,1,1,112,GAIN_PERTURB
loso_s1,1,20260924,unflagged,1,2,22,GAIN_PERTURB
loso_s1,1,20260924,unflagged,1,3,6,GAIN_PERTURB
loso_s1,1,20260924,unflagged,1,4,0,GAIN_PERTURB
loso_s1,1,20260924,unflagged,2,1,28,GAIN_PERTURB
loso_s1,1,20260924,unflagged,2,2,110,GAIN_PERTURB
loso_s1,1,20260924,unflagged,2,3,1,GAIN_PERTURB
loso_s1,1,20260924,unflagged,2,4,0,GAIN_PERTURB
loso_s1,1,20260924,unflagged,3,1,20,GAIN_PERTURB
loso_s1,1,20260924,unflagged,3,2,11,GAIN_PERTURB
loso_s1,1,20260924,unflagged,3,3,93,GAIN_PERTURB
loso_s1,1,20260924,unflagged,3,4,13,GAIN_PERTURB
loso_s1,1,20260924,unflagged,4,1,23,GAIN_PERTURB
loso_s1,1,20260924,unflagged,4,2,1,GAIN_PERTURB
loso_s1,1,20260924,unflagged,4,3,95,GAIN_PERTURB
loso_s1,1,20260924,unflagged,4,4,19,GAIN_PERTURB
loso_s1,1,20260924,flagged,1,1,3,GAIN_PERTURB
loso_s1,1,20260924,flagged,1,2,0,GAIN_PERTURB
loso_s1,1,20260924,flagged,1,3,1,GAIN_PERTURB
loso_s1,1,20260924,flagged,1,4,0,GAIN_PERTURB
loso_s1,1,20260924,flagged,2,1,1,GAIN_PERTURB
loso_s1,1,20260924,flagged,2,2,3,GAIN_PERTURB
loso_s1,1,20260924,flagged,2,3,1,GAIN_PERTURB
loso_s1,1,20260924,flagged,2,4,0,GAIN_PERTURB
loso_s1,1,20260924,flagged,3,1,4,GAIN_PERTURB
loso_s1,1,20260924,flagged,3,2,0,GAIN_PERTURB
loso_s1,1,20260924,flagged,3,3,3,GAIN_PERTURB
loso_s1,1,20260924,flagged,3,4,0,GAIN_PERTURB
loso_s1,1,20260924,flagged,4,1,2,GAIN_PERTURB
loso_s1,1,20260924,flagged,4,2,0,GAIN_PERTURB
loso_s1,1,20260924,flagged,4,3,3,GAIN_PERTURB
loso_s1,1,20260924,flagged,4,4,1,GAIN_PERTURB
loso_s1,1,20260925,all,1,1,123,GAIN_PERTURB
loso_s1,1,20260925,all,1,2,12,GAIN_PERTURB
loso_s1,1,20260925,all,1,3,6,GAIN_PERTURB
loso_s1,1,20260925,all,1,4,3,GAIN_PERTURB
loso_s1,1,20260925,all,2,1,58,GAIN_PERTURB
loso_s1,1,20260925,all,2,2,82,GAIN_PERTURB
