fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s8,8,20260924,all,1,1,65,GAIN_PERTURB
loso_s8,8,20260924,all,1,2,11,GAIN_PERTURB
loso_s8,8,20260924,all,1,3,22,GAIN_PERTURB
loso_s8,8,20260924,all,1,4,46,GAIN_PERTURB
loso_s8,8,20260924,all,2,1,2,GAIN_PERTURB
loso_s8,8,20260924,all,2,2,108,GAIN_PERTURB
loso_s8,8,20260924,all,2,3,7,GAIN_PERTURB
loso_s8,8,20260924,all,2,4,27,GAIN_PERTURB
loso_s8,8,20260924,all,3,1,6,GAIN_PERTURB
loso_s8,8,20260924,all,3,2,33,GAIN_PERTURB
loso_s8,8,20260924,all,3,3,75,GAIN_PERTURB
loso_s8,8,20260924,all,3,4,30,GAIN_PERTURB
loso_s8,8,20260924,all,4,1,1,GAIN_PERTURB
loso_s8,8,20260924,all,4,2,20,GAIN_PERTURB
loso_s8,8,20260924,all,4,3,12,GAIN_PERTURB
loso_s8,8,20260924,all,4,4,111,GAIN_PERTURB
loso_s8,8,20260924,unflagged,1,1,63,GAIN_PERTURB
loso_s8,8,20260924,unflagged,1,2,8,GAIN_PERTURB
loso_s8,8,20260924,unflagged,1,3,20,GAIN_PERTURB
loso_s8,8,20260924,unflagged,1,4,41,GAIN_PERTURB
loso_s8,8,20260924,unflagged,2,1,2,GAIN_PERTURB
loso_s8,8,20260924,unflagged,2,2,102,GAIN_PERTURB
loso_s8,8,20260924,unflagged,2,3,6,GAIN_PERTURB
loso_s8,8,20260924,unflagged,2,4,24,GAIN_PERTURB
loso_s8,8,20260924,unflagged,3,1,5,GAIN_PERTURB
loso_s8,8,20260924,unflagged,3,2,30,GAIN_PERTURB
loso_s8,8,20260924,unflagged,3,3,70,GAIN_PERTURB
loso_s8,8,20260924,unflagged,3,4,28,GAIN_PERTURB
loso_s8,8,20260924,unflagged,4,1,1,GAIN_PERTURB
loso_s8,8,20260924,unflagged,4,2,20,GAIN_PERTURB
loso_s8,8,20260924,unflagged,4,3,11,GAIN_PERTURB
loso_s8,8,20260924,unflagged,4,4,104,GAIN_PERTURB
loso_s8,8,20260924,flagged,1,1,2,GAIN_PERTURB
loso_s8,8,20260924,flagged,1,2,3,GAIN_PERTURB
loso_s8,8,20260924,flagged,1,3,2,GAIN_PERTURB
loso_s8,8,20260924,flagged,1,4,5,GAIN_PERTURB
loso_s8,8,20260924,flagged,2,1,0,GAIN_PERTURB
loso_s8,8,20260924,flagged,2,2,6,GAIN_PERTURB
loso_s8,8,20260924,flagged,2,3,1,GAIN_PERTURB
loso_s8,8,20260924,flagged,2,4,3,GAIN_PERTURB
loso_s8,8,20260924,flagged,3,1,1,GAIN_PERTURB
loso_s8,8,20260924,flagged,3,2,3,GAIN_PERTURB
loso_s8,8,20260924,flagged,3,3,5,GAIN_PERTURB
loso_s8,8,20260924,flagged,3,4,2,GAIN_PERTURB
loso_s8,8,20260924,flagged,4,1,0,GAIN_PERTURB
loso_s8,8,20260924,flagged,4,2,0,GAIN_PERTURB
loso_s8,8,20260924,flagged,4,3,1,GAIN_PERTURB
loso_s8,8,20260924,flagged,4,4,7,GAIN_PERTURB
