fold,stage,inner_fold,seed,subject,role,n_trials,n_used_for_fit,n_excluded_from_fit,n_used_for_validation,epochs_trained
loso_s1,inner,1.0,20260923,1,outer_test_excluded,576,0,0,0,40
loso_s1,inner,1.0,20260923,2,validation,576,0,0,576,40
loso_s1,inner,1.0,20260923,3,validation,576,0,0,576,40
loso_s1,inner,1.0,20260923,4,train,576,576,0,0,40
loso_s1,inner,1.0,20260923,5,train,576,576,0,0,40
loso_s1,inner,1.0,20260923,6,train,576,576,0,0,40
loso_s1,inner,1.0,20260923,7,train,576,576,0,0,40
loso_s1,inner,1.0,20260923,8,train,576,576,0,0,40
loso_s1,inner,1.0,20260923,9,train,576,576,0,0,40
loso_s1,inner,2.0,20260923,1,outer_test_excluded,576,0,0,0,40
loso_s1,inner,2.0,20260923,2,train,576,576,0,0,40
loso_s1,inner,2.0,20260923,3,train,576,576,0,0,40
loso_s1,inner,2.0,20260923,4,validation,576,0,0,576,40
loso_s1,inner,2.0,20260923,5,validation,576,0,0,576,40
loso_s1,inner,2.0,20260923,6,train,576,576,0,0,40
loso_s1,inner,2.0,20260923,7,train,576,576,0,0,40
loso_s1,inner,2.0,20260923,8,train,576,576,0,0,40
loso_s1,inner,2.0,20260923,9,train,576,576,0,0,40
loso_s1,inner,3.0,20260923,1,outer_test_excluded,576,0,0,0,40
loso_s1,inner,3.0,20260923,2,train,576,576,0,0,40
loso_s1,inner,3.0,20260923,3,train,576,576,0,0,40
loso_s1,inner,3.0,20260923,4,train,576,576,0,0,40
loso_s1,inner,3.0,20260923,5,train,576,576,0,0,40
loso_s1,inner,3.0,20260923,6,validation,576,0,0,576,40
loso_s1,inner,3.0,20260923,7,validation,576,0,0,576,40
loso_s1,inner,3.0,20260923,8,train,576,576,0,0,40
loso_s1,inner,3.0,20260923,9,train,576,576,0,0,40
loso_s1,inner,4.0,20260923,1,outer_test_excluded,576,0,0,0,40
loso_s1,inner,4.0,20260923,2,train,576,576,0,0,40
loso_s1,inner,4.0,20260923,3,train,576,576,0,0,40
loso_s1,inner,4.0,20260923,4,train,576,576,0,0,40
loso_s1,inner,4.0,20260923,5,train,576,576,0,0,40
loso_s1,inner,4.0,20260923,6,train,576,576,0,0,40
loso_s1,inner,4.0,20260923,7,train,576,576,0,0,40
loso_s1,inner,4.0,20260923,8,validation,576,0,0,576,40
loso_s1,inner,4.0,20260923,9,validation,576,0,0,576,40
loso_s2,inner,1.0,20260923,1,validation,576,0,0,576,40
loso_s2,inner,1.0,20260923,2,outer_test_excluded,576,0,0,0,40
loso_s2,inner,1.0,20260923,3,validation,576,0,0,576,40
loso_s2,inner,1.0,20260923,4,train,576,576,0,0,40
loso_s2,inner,1.0,20260923,5,train,576,576,0,0,40
loso_s2,inner,1.0,20260923,6,train,576,576,0,0,40
loso_s2,inner,1.0,20260923,7,train,576,576,0,0,40
loso_s2,inner,1.0,20260923,8,train,576,576,0,0,40
loso_s2,inner,1.0,20260923,9,train,576,576,0,0,40
loso_s2,inner,2.0,20260923,1,train,576,576,0,0,40
loso_s2,inner,2.0,20260923,2,outer_test_excluded,576,0,0,0,40
loso_s2,inner,2.0,20260923,3,train,576,576,0,0,40
loso_s2,inner,2.0,20260923,4,validation,576,0,0,576,40
loso_s2,inner,2.0,20260923,5,validation,576,0,0,576,40
loso_s2,inner,2.0,20260923,6,train,576,576,0,0,40
loso_s2,inner,2.0,20260923,7,train,576,576,0,0,40
loso_s2,inner,2.0,20260923,8,train,576,576,0,0,40
loso_s2,inner,2.0,20260923,9,train,576,576,0,0,40
loso_s2,inner,3.0,20260923,1,train,576,576,0,0,40
loso_s2,inner,3.0,20260923,2,outer_test_excluded,576,0,0,0,40
loso_s2,inner,3.0,20260923,3,train,576,576,0,0,40
loso_s2,inner,3.0,20260923,4,train,576,576,0,0,40
loso_s2,inner,3.0,20260923,5,train,576,576,0,0,40
loso_s2,inner,3.0,20260923,6,validation,576,0,0,576,40
loso_s2,inner,3.0,20260923,7,validation,576,0,0,576,40
loso_s2,inner,3.0,20260923,8,train,576,576,0,0,40
loso_s2,inner,3.0,20260923,9,train,576,576,0,0,40
loso_s2,inner,4.0,20260923,1,train,576,576,0,0,40
loso_s2,inner,4.0,20260923,2,outer_test_excluded,576,0,0,0,40
loso_s2,inner,4.0,20260923,3,train,576,576,0,0,40
loso_s2,inner,4.0,20260923,4,train,576,576,0,0,40
loso_s2,inner,4.0,20260923,5,train,576,576,0,0,40
loso_s2,inner,4.0,20260923,6,train,576,576,0,0,40
loso_s2,inner,4.0,20260923,7,train,576,576,0,0,40
loso_s2,inner,4.0,20260923,8,validation,576,0,0,576,40
loso_s2,inner,4.0,20260923,9,validation,576,0,0,576,40
loso_s3,inner,1.0,20260923,1,validation,576,0,0,576,40
loso_s3,inner,1.0,20260923,2,validation,576,0,0,576,40
loso_s3,inner,1.0,20260923,3,outer_test_excluded,576,0,0,0,40
loso_s3,inner,1.0,20260923,4,train,576,576,0,0,40
loso_s3,inner,1.0,20260923,5,train,576,576,0,0,40
loso_s3,inner,1.0,20260923,6,train,576,576,0,0,40
loso_s3,inner,1.0,20260923,7,train,576,576,0,0,40
loso_s3,inner,1.0,20260923,8,train,576,576,0,0,40
loso_s3,inner,1.0,20260923,9,train,576,576,0,0,40
loso_s3,inner,2.0,20260923,1,train,576,576,0,0,40
loso_s3,inner,2.0,20260923,2,train,576,576,0,0,40
loso_s3,inner,2.0,20260923,3,outer_test_excluded,576,0,0,0,40
loso_s3,inner,2.0,20260923,4,validation,576,0,0,576,40
loso_s3,inner,2.0,20260923,5,validation,576,0,0,576,40
loso_s3,inner,2.0,20260923,6,train,576,576,0,0,40
loso_s3,inner,2.0,20260923,7,train,576,576,0,0,40
loso_s3,inner,2.0,20260923,8,train,576,576,0,0,40
loso_s3,inner,2.0,20260923,9,train,576,576,0,0,40
loso_s3,inner,3.0,20260923,1,train,576,576,0,0,40
