fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,37.0,1.0,4.0,38.0,20.0,False
loso_s1,1,2,39.0,4.0,6.0,33.0,20.5,False
loso_s1,1,3,38.0,13.0,5.0,31.0,21.75,False
loso_s1,1,4,36.0,17.0,3.0,27.0,20.75,False
loso_s1,1,5,35.0,25.0,1.0,23.0,21.0,False
loso_s1,1,6,40.0,32.0,2.0,15.0,22.25,False
loso_s1,1,7,33.0,15.0,7.0,16.0,17.75,False
loso_s1,1,8,34.0,20.0,9.0,26.0,22.25,False
loso_s1,1,9,31.0,14.0,14.0,39.0,24.5,False
loso_s1,1,10,27.0,7.0,13.0,11.0,14.5,False
loso_s1,1,11,29.0,9.0,35.0,35.0,27.0,False
loso_s1,1,12,15.0,2.0,38.0,28.0,20.75,False
loso_s1,1,13,18.0,16.0,18.0,13.0,16.25,False
loso_s1,1,14,24.0,11.0,16.0,32.0,20.75,False
loso_s1,1,15,19.0,6.0,22.0,21.0,17.0,False
loso_s1,1,16,1.0,12.0,39.0,17.0,17.25,False
loso_s1,1,17,4.0,24.0,27.0,37.0,23.0,False
loso_s1,1,18,21.0,3.0,17.0,24.0,16.25,False
loso_s1,1,19,10.0,10.0,21.0,36.0,19.25,False
loso_s1,1,20,20.0,23.0,11.0,5.0,14.75,False
loso_s1,1,21,6.0,21.0,29.0,10.0,16.5,False
loso_s1,1,22,26.0,8.0,25.0,9.0,17.0,False
loso_s1,1,23,32.0,37.0,8.0,7.0,21.0,False
loso_s1,1,24,3.0,22.0,24.0,29.0,19.5,False
loso_s1,1,25,5.0,18.0,12.0,14.0,12.25,True
loso_s1,1,26,9.0,35.0,20.0,6.0,17.5,False
loso_s1,1,27,11.0,39.0,28.0,3.0,20.25,False
loso_s1,1,28,2.0,30.0,26.0,19.0,19.25,False
loso_s1,1,29,17.0,28.0,15.0,34.0,23.5,False
loso_s1,1,30,14.0,34.0,23.0,18.0,22.25,False
loso_s1,1,31,22.0,19.0,33.0,20.0,23.5,False
loso_s1,1,32,25.0,31.0,32.0,8.0,24.0,False
loso_s1,1,33,7.0,27.0,36.0,2.0,18.0,False
loso_s1,1,34,13.0,29.0,31.0,22.0,23.75,False
loso_s1,1,35,23.0,40.0,30.0,4.0,24.25,False
loso_s1,1,36,16.0,26.0,34.0,40.0,29.0,False
loso_s1,1,37,12.0,38.0,10.0,30.0,22.5,False
loso_s1,1,38,30.0,36.0,37.0,1.0,26.0,False
loso_s1,1,39,8.0,5.0,19.0,25.0,14.25,False
loso_s1,1,40,28.0,33.0,40.0,12.0,28.25,False
loso_s2,2,1,40.0,1.0,5.0,39.0,21.25,False
loso_s2,2,2,39.0,2.0,6.0,38.0,21.25,False
loso_s2,2,3,38.0,3.0,7.0,36.0,21.0,False
loso_s2,2,4,37.0,5.0,4.0,33.0,19.75,False
loso_s2,2,5,36.0,8.0,1.0,23.0,17.0,False
loso_s2,2,6,35.0,16.0,2.0,7.0,15.0,False
loso_s2,2,7,34.0,10.0,3.0,32.0,19.75,False
loso_s2,2,8,33.0,22.0,8.0,26.0,22.25,False
loso_s2,2,9,32.0,7.0,9.0,18.0,16.5,False
loso_s2,2,10,31.0,4.0,10.0,31.0,19.0,False
loso_s2,2,11,30.0,9.0,12.0,27.0,19.5,False
loso_s2,2,12,27.0,11.0,17.0,37.0,23.0,False
loso_s2,2,13,28.0,19.0,11.0,25.0,20.75,False
loso_s2,2,14,24.0,6.0,15.0,20.0,16.25,False
loso_s2,2,15,13.0,24.0,18.0,24.0,19.75,False
loso_s2,2,16,2.0,20.0,27.0,35.0,21.0,False
loso_s2,2,17,4.0,14.0,14.0,9.0,10.25,True
loso_s2,2,18,23.0,15.0,37.0,40.0,28.75,False
loso_s2,2,19,18.0,13.0,19.0,1.0,12.75,False
loso_s2,2,20,11.0,29.0,22.0,10.0,18.0,False
loso_s2,2,21,1.0,17.0,20.0,29.0,16.75,False
loso_s2,2,22,6.0,21.0,24.0,13.0,16.0,False
loso_s2,2,23,14.0,30.0,21.0,11.0,19.0,False
loso_s2,2,24,15.0,12.0,16.0,3.0,11.5,False
loso_s2,2,25,7.0,18.0,13.0,5.0,10.75,False
loso_s2,2,26,5.0,28.0,25.0,17.0,18.75,False
loso_s2,2,27,9.0,25.0,28.0,28.0,22.5,False
loso_s2,2,28,3.0,37.0,31.0,4.0,18.75,False
loso_s2,2,29,21.0,36.0,23.0,8.0,22.0,False
loso_s2,2,30,16.0,23.0,26.0,22.0,21.75,False
loso_s2,2,31,10.0,27.0,35.0,6.0,19.5,False
loso_s2,2,32,19.0,26.0,36.0,12.0,23.25,False
loso_s2,2,33,17.0,31.0,32.0,14.0,23.5,False
loso_s2,2,34,22.0,35.0,39.0,21.0,29.25,False
loso_s2,2,35,20.0,40.0,34.0,19.0,28.25,False
loso_s2,2,36,25.0,34.0,30.0,34.0,30.75,False
loso_s2,2,37,8.0,32.0,29.0,15.0,21.0,False
loso_s2,2,38,26.0,39.0,38.0,16.0,29.75,False
loso_s2,2,39,12.0,33.0,33.0,2.0,20.0,False
loso_s2,2,40,29.0,38.0,40.0,30.0,34.25,False
loso_s3,3,1,37.0,1.0,2.0,33.0,18.25,False
loso_s3,3,2,39.0,2.0,4.0,28.0,18.25,False
loso_s3,3,3,38.0,4.0,5.0,21.0,17.0,False
loso_s3,3,4,36.0,13.0,1.0,15.0,16.25,False
loso_s3,3,5,35.0,26.0,3.0,10.0,18.5,False
loso_s3,3,6,40.0,30.0,6.0,23.0,24.75,False
loso_s3,3,7,30.0,16.0,7.0,31.0,21.0,False
loso_s3,3,8,32.0,34.0,9.0,40.0,28.75,False
loso_s3,3,9,29.0,25.0,13.0,27.0,23.5,False
loso_s3,3,10,15.0,5.0,8.0,30.0,14.5,False
loso_s3,3,11,16.0,23.0,16.0,39.0,23.5,False
loso_s3,3,12,14.0,7.0,15.0,29.0,16.25,False
loso_s3,3,13,13.0,9.0,30.0,18.0,17.5,False
loso_s3,3,14,8.0,15.0,19.0,8.0,12.5,False
loso_s3,3,15,19.0,10.0,23.0,37.0,22.25,False
loso_s3,3,16,1.0,11.0,21.0,11.0,11.0,False
loso_s3,3,17,2.0,19.0,12.0,7.0,10.0,True
loso_s3,3,18,10.0,18.0,26.0,38.0,23.0,False
loso_s3,3,19,9.0,20.0,10.0,13.0,13.0,False
loso_s3,3,20,7.0,28.0,18.0,22.0,18.75,False
loso_s3,3,21,12.0,14.0,22.0,12.0,15.0,False
loso_s3,3,22,26.0,6.0,11.0,35.0,19.5,False
loso_s3,3,23,28.0,33.0,20.0,14.0,23.75,False
loso_s3,3,24,4.0,3.0,29.0,24.0,15.0,False
loso_s3,3,25,3.0,21.0,14.0,6.0,11.0,False
loso_s3,3,26,5.0,35.0,33.0,26.0,24.75,False
loso_s3,3,27,17.0,27.0,38.0,20.0,25.5,False
loso_s3,3,28,6.0,29.0,34.0,3.0,18.0,False
loso_s3,3,29,21.0,36.0,31.0,1.0,22.25,False
loso_s3,3,30,20.0,37.0,24.0,2.0,20.75,False
loso_s3,3,31,27.0,32.0,17.0,19.0,23.75,False
loso_s3,3,32,31.0,31.0,27.0,4.0,23.25,False
loso_s3,3,33,18.0,24.0,32.0,36.0,27.5,False
loso_s3,3,34,23.0,17.0,25.0,5.0,17.5,False
loso_s3,3,35,25.0,39.0,40.0,17.0,30.25,False
loso_s3,3,36,22.0,12.0,39.0,16.0,22.25,False
loso_s3,3,37,24.0,38.0,37.0,34.0,33.25,False
loso_s3,3,38,34.0,40.0,28.0,25.0,31.75,False
loso_s3,3,39,11.0,8.0,35.0,9.0,15.75,False
loso_s3,3,40,33.0,22.0,36.0,32.0,30.75,False
loso_s4,4,1,39.0,30.0,4.0,40.0,28.25,False
loso_s4,4,2,40.0,35.0,5.0,39.0,29.75,False
loso_s4,4,3,38.0,40.0,6.0,38.0,30.5,False
loso_s4,4,4,37.0,39.0,3.0,36.0,28.75,False
loso_s4,4,5,36.0,37.0,1.0,21.0,23.75,False
loso_s4,4,6,35.0,36.0,2.0,4.0,19.25,False
loso_s4,4,7,29.0,23.0,7.0,31.0,22.5,False
loso_s4,4,8,23.0,33.0,9.0,14.0,19.75,False
loso_s4,4,9,27.0,25.0,8.0,12.0,18.0,False
loso_s4,4,10,4.0,6.0,10.0,16.0,9.0,False
loso_s4,4,11,7.0,22.0,19.0,24.0,18.0,False
loso_s4,4,12,9.0,14.0,16.0,33.0,18.0,False
loso_s4,4,13,5.0,7.0,23.0,25.0,15.0,False
loso_s4,4,14,11.0,8.0,24.0,26.0,17.25,False
loso_s4,4,15,10.0,9.0,21.0,7.0,11.75,False
loso_s4,4,16,1.0,3.0,12.0,6.0,5.5,True
loso_s4,4,17,12.0,12.0,22.0,35.0,20.25,False
loso_s4,4,18,28.0,19.0,25.0,20.0,23.0,False
loso_s4,4,19,17.0,17.0,17.0,29.0,20.0,False
loso_s4,4,20,22.0,24.0,13.0,8.0,16.75,False
