subject,model,seed,n_trials,balanced_accuracy,tn_fp_fn_tp,prediction_sha256
1,BROAD_EEGNET,20260924,288,0.7326388888888888,"[139, 5, 72, 72]",c7152e3aa085bd9586c4fbcb335cf2a4d056970629aa9bc3b0ba93ba8a21022c
1,BROAD_EEGNET,20260925,288,0.7986111111111112,"[107, 37, 21, 123]",de7bbd5db2a042f1cf9c1a938431e0eeb49ca299dd6cde9486f6f5f15efe095b
1,BROAD_EEGNET,20260926,288,0.7604166666666666,"[128, 16, 53, 91]",446e17acc54790153ce1b1461a3825669fea6b756d72b1400afeda007d1a837d
2,BROAD_EEGNET,20260924,288,0.5277777777777778,"[111, 33, 103, 41]",8d7fd44187ba53480ee3cf36f66f52a73ceb7601171590dc6b9102c47a3632cb
2,BROAD_EEGNET,20260925,288,0.6041666666666667,"[62, 82, 32, 112]",252d15b476da0f9e8b0054688e6f317a29cdba3b5096c11138a94d9209c46d4c
2,BROAD_EEGNET,20260926,288,0.5972222222222222,"[60, 84, 32, 112]",a8b23070e49f75fb82b9d6852953e24f659b40df32c17815ac92413549abb2c9
3,BROAD_EEGNET,20260924,288,0.7951388888888888,"[143, 1, 58, 86]",de4983ec9537343a2e3f5a3d9fe7ad09e11ac0f75e74cd8acac926774af45002
3,BROAD_EEGNET,20260925,288,0.7465277777777778,"[144, 0, 73, 71]",ee6d1989dddd86a59e86a01ccdafdfce9b8654176b588c83a099cff0ea1e2b6a
3,BROAD_EEGNET,20260926,288,0.9236111111111112,"[141, 3, 19, 125]",1fae5a3c98d44d383fb3cd054e54755220e45c45d7747a36daea2f2a339e32e7
4,BROAD_EEGNET,20260924,288,0.5451388888888888,"[17, 127, 4, 140]",bb38df56f22734c7a93a943f6cb473458ca0eae5a77e4b1296baeb32f6134bf5
4,BROAD_EEGNET,20260925,288,0.5868055555555556,"[31, 113, 6, 138]",ddb91551fba226c924d843946cdbd76fbcf8d8de2c1bf49b29cdbace0cb9d794
4,BROAD_EEGNET,20260926,288,0.59375,"[33, 111, 6, 138]",f37916338b6eeb5a95311aef5069dbb8ea28b635110f0e782dfc08f0d41ee029
5,BROAD_EEGNET,20260924,288,0.4895833333333333,"[49, 95, 52, 92]",17ebad4657a993bebfab5ee6ed9aa1d9c09283db8c0490934b1113c4cedbb65c
5,BROAD_EEGNET,20260925,288,0.5243055555555556,"[47, 97, 40, 104]",e8c2b8542a642344b803fa5a8e8d68c3e1ec4ea794434413cf8433c97649c8bd
5,BROAD_EEGNET,20260926,288,0.5138888888888888,"[135, 9, 131, 13]",86f3a05a2bfd7e1d3717ab01b38f2eb9b3e4bb0f37e43d637ff3e461ccc43b4d
6,BROAD_EEGNET,20260924,288,0.6423611111111112,"[59, 85, 18, 126]",e4eb57b463128e377222770f6b9b66e40333e8c532d861ee4c0c3c9acad7a363
6,BROAD_EEGNET,20260925,288,0.6909722222222223,"[79, 65, 24, 120]",0678ca71dc601e8f92fb74bd61a9f4d87e6802f5baf75edf0385933028fab46f
6,BROAD_EEGNET,20260926,288,0.6875,"[117, 27, 63, 81]",3c67d2d4d3102f91a8d98464587c2a35712e16316e883882579109c7c611a189
7,BROAD_EEGNET,20260924,288,0.5381944444444444,"[56, 88, 45, 99]",b2c063c9fa3718515811d3365c02a639a6a91577db61b66cbb94e586b316c3e7
7,BROAD_EEGNET,20260925,288,0.5416666666666667,"[89, 55, 77, 67]",5efc2e8236534df72f2f86a9702a77b4878da27507fce0690fcb3fd0ace3b733
7,BROAD_EEGNET,20260926,288,0.5590277777777778,"[100, 44, 83, 61]",ae8a1d9575915d4cdf2cd66f2219f2092dce6c6aa014b5a768977c8f15794e53
8,BROAD_EEGNET,20260924,288,0.9375,"[129, 15, 3, 141]",3b6397a50c75a81808dd635a0a1cdb499e551c6966140291b2f613c275a81b01
8,BROAD_EEGNET,20260925,288,0.9166666666666667,"[126, 18, 6, 138]",4fd1de72d045a7e263a8015e15eaef05e61e35d9b69481d680a7fca63c707db8
8,BROAD_EEGNET,20260926,288,0.9305555555555556,"[130, 14, 6, 138]",828bdcb5a5d0ab5ca5c977f00aa8cf16edb011b1c0ad89e538184ccc1cf4a2b1
9,BROAD_EEGNET,20260924,288,0.7048611111111112,"[81, 63, 22, 122]",03cbe7e171bccdb211863eb3816a36f0c6ff2c0449871dfc655627413c9215ea
9,BROAD_EEGNET,20260925,288,0.7604166666666667,"[112, 32, 37, 107]",b3a6ab0df4ab1b2194b00a720b22344b949db65f4258a5049f6b86104f02cea5
9,BROAD_EEGNET,20260926,288,0.7673611111111112,"[103, 41, 26, 118]",25cbb29bbff554be1ec578df421132593c9e8d2ba47418d9c695614477992f29
1,MU_BETA_SHARED,20260924,288,0.6666666666666666,"[137, 7, 89, 55]",24b13862665425c81198b2665ab7c67d8b9740124b5c30bc375ce5727ea4f03e
1,MU_BETA_SHARED,20260925,288,0.8055555555555556,"[114, 30, 26, 118]",82807206d67166622ac7abe0c14f8c818fb47c840e74ac9ec218688408a45679
1,MU_BETA_SHARED,20260926,288,0.7361111111111112,"[138, 6, 70, 74]",792b3a5cfa9125e6c8c27349a6ac15dc733523d6a1056524f28de7bb65c10d1d
2,MU_BETA_SHARED,20260924,288,0.517361111111111,"[114, 30, 109, 35]",b8e0094539ff7f319c4e8a544220737bc871ce2746a94f039af74342f0ea2266
2,MU_BETA_SHARED,20260925,288,0.5451388888888888,"[130, 14, 117, 27]",6b4d847bf894e2344775360206da004b23c3ac83e492225344d49a53d2e0c24e
2,MU_BETA_SHARED,20260926,288,0.5486111111111112,"[131, 13, 117, 27]",0648d28951fce91aadbf962cb3426dc69a3f09c26e3167ee4dae77bb83c4e2f2
3,MU_BETA_SHARED,20260924,288,0.8680555555555556,"[141, 3, 35, 109]",07e2ae2648af245a6e2c937285bea32c3b32e107635044e385731e4fa8c77912
3,MU_BETA_SHARED,20260925,288,0.8125,"[144, 0, 54, 90]",0bee00e2b072b91fec85addaa4818480262e0cd3db462ad4069bd9212643a30c
3,MU_BETA_SHARED,20260926,288,0.84375,"[143, 1, 44, 100]",85e5be601d84df6d7870a5a08838b6628a2ac27c734833542a5ff816ec92200d
4,MU_BETA_SHARED,20260924,288,0.5625,"[21, 123, 3, 141]",1ff5850beba4473fa98fdde27cb993791397701540bec62a6d96753d533ac3fc
4,MU_BETA_SHARED,20260925,288,0.5243055555555556,"[9, 135, 2, 142]",aae5555e7fa2d5c04ed9c4e31a19d4133d6453b1b9ed523899b100d8aa875ab4
4,MU_BETA_SHARED,20260926,288,0.625,"[45, 99, 9, 135]",90ed95f6bcf2962891f2c82e5c6e07cfd4495fbadc2435aabed1404f756aa228
