subject,model,balanced_accuracy
1,BROAD_EEGNET,0.6963109354413701
1,CSP4_LDA,0.4654150197628458
1,MU_BETA_SHARED,0.6884057971014492
2,BROAD_EEGNET,0.9173254281949935
2,CSP4_LDA,0.591897233201581
2,MU_BETA_SHARED,0.9183135704874835
3,BROAD_EEGNET,0.4433465085638999
3,CSP4_LDA,0.48122529644268774
3,MU_BETA_SHARED,0.45750988142292487
4,BROAD_EEGNET,0.5507246376811593
4,CSP4_LDA,0.48616600790513836
4,MU_BETA_SHARED,0.5434782608695652
5,BROAD_EEGNET,0.4871031746031746
5,CSP4_LDA,0.5
5,MU_BETA_SHARED,0.4930555555555556
6,BROAD_EEGNET,0.5079365079365079
6,CSP4_LDA,0.46130952380952384
6,MU_BETA_SHARED,0.45436507936507936
7,BROAD_EEGNET,0.849802371541502
7,CSP4_LDA,0.5474308300395256
7,MU_BETA_SHARED,0.8939393939393939
8,BROAD_EEGNET,0.6030961791831357
8,CSP4_LDA,0.5
8,MU_BETA_SHARED,0.6027667984189723
9,BROAD_EEGNET,0.45337301587301587
9,CSP4_LDA,0.5267857142857143
9,MU_BETA_SHARED,0.5109126984126984
10,BROAD_EEGNET,0.6220238095238095
10,CSP4_LDA,0.6369047619047619
10,MU_BETA_SHARED,0.6220238095238094
11,BROAD_EEGNET,0.4845191040843215
11,CSP4_LDA,0.4772727272727273
11,MU_BETA_SHARED,0.4917654808959157
12,BROAD_EEGNET,0.677579365079365
12,CSP4_LDA,0.5297619047619048
12,MU_BETA_SHARED,0.7003968253968255
13,BROAD_EEGNET,0.6212121212121212
13,CSP4_LDA,0.45849802371541504
13,MU_BETA_SHARED,0.6228590250329381
14,BROAD_EEGNET,0.5662055335968379
14,CSP4_LDA,0.44664031620553357
14,MU_BETA_SHARED,0.6110013175230566
15,BROAD_EEGNET,0.746376811594203
15,CSP4_LDA,0.5385375494071146
15,MU_BETA_SHARED,0.810935441370224
16,BROAD_EEGNET,0.6258234519104083
16,CSP4_LDA,0.6254940711462451
16,MU_BETA_SHARED,0.7091567852437418
17,BROAD_EEGNET,0.5592885375494071
17,CSP4_LDA,0.5
17,MU_BETA_SHARED,0.5734519104084321
18,BROAD_EEGNET,0.4654150197628459
18,CSP4_LDA,0.5
18,MU_BETA_SHARED,0.49670619235836627
19,BROAD_EEGNET,0.6584321475625824
19,CSP4_LDA,0.4199604743083004
19,MU_BETA_SHARED,0.6228590250329381
20,BROAD_EEGNET,0.48188405797101447
20,CSP4_LDA,0.5345849802371542
20,MU_BETA_SHARED,0.47134387351778656
21,BROAD_EEGNET,0.6458333333333334
21,CSP4_LDA,0.6041666666666666
21,MU_BETA_SHARED,0.7053571428571429
22,BROAD_EEGNET,0.5487483530961792
22,CSP4_LDA,0.5207509881422925
22,MU_BETA_SHARED,0.5105401844532279
23,BROAD_EEGNET,0.5813570487483531
23,CSP4_LDA,0.6660079051383399
23,MU_BETA_SHARED,0.6554677206851119
24,BROAD_EEGNET,0.5
24,CSP4_LDA,0.5
24,MU_BETA_SHARED,0.5
25,BROAD_EEGNET,0.5530303030303031
25,CSP4_LDA,0.516798418972332
25,MU_BETA_SHARED,0.5533596837944664
26,BROAD_EEGNET,0.6706349206349206
26,CSP4_LDA,0.5
26,MU_BETA_SHARED,0.7529761904761904
27,BROAD_EEGNET,0.4785902503293808
27,CSP4_LDA,0.5602766798418972
27,MU_BETA_SHARED,0.4640974967061924
28,BROAD_EEGNET,0.5691699604743082
28,CSP4_LDA,0.43675889328063244
28,MU_BETA_SHARED,0.5757575757575758
29,BROAD_EEGNET,0.9413702239789196
29,CSP4_LDA,0.8191699604743083
29,MU_BETA_SHARED,0.9637681159420289
30,BROAD_EEGNET,0.5833333333333334
30,CSP4_LDA,0.5714285714285714
30,MU_BETA_SHARED,0.5317460317460317
31,BROAD_EEGNET,0.8089591567852438
31,CSP4_LDA,0.7361660079051384
31,MU_BETA_SHARED,0.8168642951251647
32,BROAD_EEGNET,0.558531746031746
32,CSP4_LDA,0.5803571428571428
32,MU_BETA_SHARED,0.5684523809523809
33,BROAD_EEGNET,0.7631752305665348
33,CSP4_LDA,0.6067193675889329
33,MU_BETA_SHARED,0.7611989459815547
34,BROAD_EEGNET,0.8690476190476191
34,CSP4_LDA,0.5982142857142857
34,MU_BETA_SHARED,0.8621031746031745
35,BROAD_EEGNET,0.6218708827404479
35,CSP4_LDA,0.5207509881422925
35,MU_BETA_SHARED,0.6301054018445322
36,BROAD_EEGNET,0.4334650856389987
36,CSP4_LDA,0.47529644268774707
36,MU_BETA_SHARED,0.3932806324110672
37,BROAD_EEGNET,0.5227272727272727
37,CSP4_LDA,0.46047430830039526
37,MU_BETA_SHARED,0.5
38,BROAD_EEGNET,0.5645586297760211
38,CSP4_LDA,0.4150197628458498
38,MU_BETA_SHARED,0.558300395256917
39,BROAD_EEGNET,0.5154808959156786
39,CSP4_LDA,0.5553359683794465
39,MU_BETA_SHARED,0.5171277997364955
40,BROAD_EEGNET,0.4662698412698412
