subject,model,seed,n_trials,balanced_accuracy,true_left_pred_left,true_left_pred_right,true_right_pred_left,true_right_pred_right,predicted_left_share
1,BROAD_EEGNET,20260924,45,0.7124505928853755,15,8,5,17,0.4444444444444444
1,BROAD_EEGNET,20260925,45,0.6660079051383399,16,7,8,14,0.5333333333333333
1,BROAD_EEGNET,20260926,45,0.7104743083003953,17,6,7,15,0.5333333333333333
1,CSP4_LDA,deterministic,45,0.4654150197628458,12,11,13,9,0.5555555555555556
1,MU_BETA_SHARED,20260924,45,0.6877470355731226,17,6,8,14,0.5555555555555556
1,MU_BETA_SHARED,20260925,45,0.6679841897233202,14,9,6,16,0.4444444444444444
1,MU_BETA_SHARED,20260926,45,0.7094861660079052,18,5,8,14,0.5777777777777777
10,BROAD_EEGNET,20260924,45,0.6547619047619048,12,12,4,17,0.35555555555555557
10,BROAD_EEGNET,20260925,45,0.5863095238095238,11,13,6,15,0.37777777777777777
10,BROAD_EEGNET,20260926,45,0.625,14,10,7,14,0.4666666666666667
10,CSP4_LDA,deterministic,45,0.6369047619047619,18,6,10,11,0.6222222222222222
10,MU_BETA_SHARED,20260924,45,0.6577380952380952,11,13,3,18,0.3111111111111111
10,MU_BETA_SHARED,20260925,45,0.5625,11,13,7,14,0.4
10,MU_BETA_SHARED,20260926,45,0.6458333333333333,15,9,7,14,0.4888888888888889
100,BROAD_EEGNET,20260924,36,0.611111111111111,6,12,2,16,0.2222222222222222
100,BROAD_EEGNET,20260925,36,0.5833333333333334,7,11,4,14,0.3055555555555556
100,BROAD_EEGNET,20260926,36,0.6388888888888888,10,8,5,13,0.4166666666666667
100,CSP4_LDA,deterministic,36,0.5,18,0,18,0,1.0
100,MU_BETA_SHARED,20260924,36,0.6388888888888888,7,11,2,16,0.25
100,MU_BETA_SHARED,20260925,36,0.6111111111111112,8,10,4,14,0.3333333333333333
100,MU_BETA_SHARED,20260926,36,0.6111111111111112,8,10,4,14,0.3333333333333333
101,BROAD_EEGNET,20260924,45,0.541501976284585,20,2,19,4,0.8666666666666667
101,BROAD_EEGNET,20260925,45,0.5405138339920948,19,3,18,5,0.8222222222222222
101,BROAD_EEGNET,20260926,45,0.5405138339920948,19,3,18,5,0.8222222222222222
101,CSP4_LDA,deterministic,45,0.5,22,0,23,0,1.0
101,MU_BETA_SHARED,20260924,45,0.5869565217391304,22,0,19,4,0.9111111111111111
101,MU_BETA_SHARED,20260925,45,0.5424901185770751,21,1,20,3,0.9111111111111111
101,MU_BETA_SHARED,20260926,45,0.6294466403162056,21,1,16,7,0.8222222222222222
102,BROAD_EEGNET,20260924,45,0.7134387351778657,18,4,9,14,0.6
102,BROAD_EEGNET,20260925,45,0.6699604743083004,18,4,11,12,0.6444444444444445
102,BROAD_EEGNET,20260926,45,0.616600790513834,8,14,3,20,0.24444444444444444
102,CSP4_LDA,deterministic,45,0.6235177865612648,15,7,10,13,0.5555555555555556
102,MU_BETA_SHARED,20260924,45,0.7164031620553359,21,1,12,11,0.7333333333333333
102,MU_BETA_SHARED,20260925,45,0.6452569169960474,15,7,9,14,0.5333333333333333
102,MU_BETA_SHARED,20260926,45,0.7154150197628458,20,2,11,12,0.6888888888888889
103,BROAD_EEGNET,20260924,45,0.6689723320158103,17,5,10,13,0.6
103,BROAD_EEGNET,20260925,45,0.6709486166007905,19,3,12,11,0.6888888888888889
103,BROAD_EEGNET,20260926,45,0.5800395256916996,15,7,12,11,0.6
103,CSP4_LDA,deterministic,45,0.49209486166007904,14,8,15,8,0.6444444444444445
103,MU_BETA_SHARED,20260924,45,0.5800395256916996,15,7,12,11,0.6
103,MU_BETA_SHARED,20260925,45,0.6462450592885376,16,6,10,13,0.5777777777777777
103,MU_BETA_SHARED,20260926,45,0.6907114624505929,17,5,9,14,0.5777777777777777
