fold,subject,seed,model,stratum,true_label,predicted_label,count
loso_s1,1,20260924,EEGNet,all,1,1,129
loso_s1,1,20260924,EEGNet,all,1,2,10
loso_s1,1,20260924,EEGNet,all,1,3,4
loso_s1,1,20260924,EEGNet,all,1,4,1
loso_s1,1,20260924,EEGNet,all,2,1,60
loso_s1,1,20260924,EEGNet,all,2,2,80
loso_s1,1,20260924,EEGNet,all,2,3,4
loso_s1,1,20260924,EEGNet,all,2,4,0
loso_s1,1,20260924,EEGNet,all,3,1,36
loso_s1,1,20260924,EEGNet,all,3,2,8
loso_s1,1,20260924,EEGNet,all,3,3,93
loso_s1,1,20260924,EEGNet,all,3,4,7
loso_s1,1,20260924,EEGNet,all,4,1,43
loso_s1,1,20260924,EEGNet,all,4,2,3
loso_s1,1,20260924,EEGNet,all,4,3,90
loso_s1,1,20260924,EEGNet,all,4,4,8
loso_s1,1,20260924,EEGNet,unflagged,1,1,126
loso_s1,1,20260924,EEGNet,unflagged,1,2,10
loso_s1,1,20260924,EEGNet,unflagged,1,3,3
loso_s1,1,20260924,EEGNet,unflagged,1,4,1
loso_s1,1,20260924,EEGNet,unflagged,2,1,57
loso_s1,1,20260924,EEGNet,unflagged,2,2,79
loso_s1,1,20260924,EEGNet,unflagged,2,3,3
loso_s1,1,20260924,EEGNet,unflagged,2,4,0
loso_s1,1,20260924,EEGNet,unflagged,3,1,33
loso_s1,1,20260924,EEGNet,unflagged,3,2,8
loso_s1,1,20260924,EEGNet,unflagged,3,3,89
loso_s1,1,20260924,EEGNet,unflagged,3,4,7
loso_s1,1,20260924,EEGNet,unflagged,4,1,40
loso_s1,1,20260924,EEGNet,unflagged,4,2,3
loso_s1,1,20260924,EEGNet,unflagged,4,3,88
loso_s1,1,20260924,EEGNet,unflagged,4,4,7
loso_s1,1,20260924,EEGNet,flagged,1,1,3
loso_s1,1,20260924,EEGNet,flagged,1,2,0
loso_s1,1,20260924,EEGNet,flagged,1,3,1
loso_s1,1,20260924,EEGNet,flagged,1,4,0
loso_s1,1,20260924,EEGNet,flagged,2,1,3
loso_s1,1,20260924,EEGNet,flagged,2,2,1
loso_s1,1,20260924,EEGNet,flagged,2,3,1
loso_s1,1,20260924,EEGNet,flagged,2,4,0
loso_s1,1,20260924,EEGNet,flagged,3,1,3
loso_s1,1,20260924,EEGNet,flagged,3,2,0
loso_s1,1,20260924,EEGNet,flagged,3,3,4
loso_s1,1,20260924,EEGNet,flagged,3,4,0
loso_s1,1,20260924,EEGNet,flagged,4,1,3
loso_s1,1,20260924,EEGNet,flagged,4,2,0
loso_s1,1,20260924,EEGNet,flagged,4,3,2
loso_s1,1,20260924,EEGNet,flagged,4,4,1
loso_s1,1,20260925,EEGNet,all,1,1,117
loso_s1,1,20260925,EEGNet,all,1,2,21
loso_s1,1,20260925,EEGNet,all,1,3,2
loso_s1,1,20260925,EEGNet,all,1,4,4
loso_s1,1,20260925,EEGNet,all,2,1,32
loso_s1,1,20260925,EEGNet,all,2,2,108
loso_s1,1,20260925,EEGNet,all,2,3,3
loso_s1,1,20260925,EEGNet,all,2,4,1
loso_s1,1,20260925,EEGNet,all,3,1,38
loso_s1,1,20260925,EEGNet,all,3,2,8
loso_s1,1,20260925,EEGNet,all,3,3,61
loso_s1,1,20260925,EEGNet,all,3,4,37
loso_s1,1,20260925,EEGNet,all,4,1,41
loso_s1,1,20260925,EEGNet,all,4,2,2
loso_s1,1,20260925,EEGNet,all,4,3,61
loso_s1,1,20260925,EEGNet,all,4,4,40
loso_s1,1,20260925,EEGNet,unflagged,1,1,114
loso_s1,1,20260925,EEGNet,unflagged,1,2,21
loso_s1,1,20260925,EEGNet,unflagged,1,3,1
loso_s1,1,20260925,EEGNet,unflagged,1,4,4
loso_s1,1,20260925,EEGNet,unflagged,2,1,30
loso_s1,1,20260925,EEGNet,unflagged,2,2,106
loso_s1,1,20260925,EEGNet,unflagged,2,3,3
loso_s1,1,20260925,EEGNet,unflagged,2,4,0
loso_s1,1,20260925,EEGNet,unflagged,3,1,35
loso_s1,1,20260925,EEGNet,unflagged,3,2,7
loso_s1,1,20260925,EEGNet,unflagged,3,3,60
loso_s1,1,20260925,EEGNet,unflagged,3,4,35
loso_s1,1,20260925,EEGNet,unflagged,4,1,38
loso_s1,1,20260925,EEGNet,unflagged,4,2,2
loso_s1,1,20260925,EEGNet,unflagged,4,3,60
loso_s1,1,20260925,EEGNet,unflagged,4,4,38
loso_s1,1,20260925,EEGNet,flagged,1,1,3
