subject,model,stratum,true_label,predicted_label,count
1,PSD44_LDA,all,1,1,100
1,PSD44_LDA,all,1,2,18
1,PSD44_LDA,all,1,3,19
1,PSD44_LDA,all,1,4,7
1,PSD44_LDA,all,2,1,91
1,PSD44_LDA,all,2,2,42
1,PSD44_LDA,all,2,3,6
1,PSD44_LDA,all,2,4,5
1,PSD44_LDA,all,3,1,19
1,PSD44_LDA,all,3,2,12
1,PSD44_LDA,all,3,3,95
1,PSD44_LDA,all,3,4,18
1,PSD44_LDA,all,4,1,20
1,PSD44_LDA,all,4,2,5
1,PSD44_LDA,all,4,3,111
1,PSD44_LDA,all,4,4,8
1,PSD44_LDA,unflagged,1,1,97
1,PSD44_LDA,unflagged,1,2,18
1,PSD44_LDA,unflagged,1,3,18
1,PSD44_LDA,unflagged,1,4,7
1,PSD44_LDA,unflagged,2,1,88
1,PSD44_LDA,unflagged,2,2,40
1,PSD44_LDA,unflagged,2,3,6
1,PSD44_LDA,unflagged,2,4,5
1,PSD44_LDA,unflagged,3,1,17
1,PSD44_LDA,unflagged,3,2,11
1,PSD44_LDA,unflagged,3,3,91
1,PSD44_LDA,unflagged,3,4,18
1,PSD44_LDA,unflagged,4,1,18
1,PSD44_LDA,unflagged,4,2,5
1,PSD44_LDA,unflagged,4,3,108
1,PSD44_LDA,unflagged,4,4,7
1,PSD44_LDA,flagged,1,1,3
1,PSD44_LDA,flagged,1,2,0
1,PSD44_LDA,flagged,1,3,1
1,PSD44_LDA,flagged,1,4,0
1,PSD44_LDA,flagged,2,1,3
1,PSD44_LDA,flagged,2,2,2
1,PSD44_LDA,flagged,2,3,0
1,PSD44_LDA,flagged,2,4,0
1,PSD44_LDA,flagged,3,1,2
1,PSD44_LDA,flagged,3,2,1
1,PSD44_LDA,flagged,3,3,4
1,PSD44_LDA,flagged,3,4,0
1,PSD44_LDA,flagged,4,1,2
1,PSD44_LDA,flagged,4,2,0
1,PSD44_LDA,flagged,4,3,3
1,PSD44_LDA,flagged,4,4,1
1,PSD44_LINEAR_SVM,all,1,1,112
1,PSD44_LINEAR_SVM,all,1,2,14
1,PSD44_LINEAR_SVM,all,1,3,15
1,PSD44_LINEAR_SVM,all,1,4,3
1,PSD44_LINEAR_SVM,all,2,1,97
1,PSD44_LINEAR_SVM,all,2,2,40
1,PSD44_LINEAR_SVM,all,2,3,4
1,PSD44_LINEAR_SVM,all,2,4,3
1,PSD44_LINEAR_SVM,all,3,1,21
1,PSD44_LINEAR_SVM,all,3,2,13
1,PSD44_LINEAR_SVM,all,3,3,91
1,PSD44_LINEAR_SVM,all,3,4,19
1,PSD44_LINEAR_SVM,all,4,1,23
1,PSD44_LINEAR_SVM,all,4,2,7
1,PSD44_LINEAR_SVM,all,4,3,101
1,PSD44_LINEAR_SVM,all,4,4,13
1,PSD44_LINEAR_SVM,unflagged,1,1,108
1,PSD44_LINEAR_SVM,unflagged,1,2,14
1,PSD44_LINEAR_SVM,unflagged,1,3,15
1,PSD44_LINEAR_SVM,unflagged,1,4,3
1,PSD44_LINEAR_SVM,unflagged,2,1,95
1,PSD44_LINEAR_SVM,unflagged,2,2,37
1,PSD44_LINEAR_SVM,unflagged,2,3,4
1,PSD44_LINEAR_SVM,unflagged,2,4,3
1,PSD44_LINEAR_SVM,unflagged,3,1,19
1,PSD44_LINEAR_SVM,unflagged,3,2,12
1,PSD44_LINEAR_SVM,unflagged,3,3,87
1,PSD44_LINEAR_SVM,unflagged,3,4,19
1,PSD44_LINEAR_SVM,unflagged,4,1,21
1,PSD44_LINEAR_SVM,unflagged,4,2,7
1,PSD44_LINEAR_SVM,unflagged,4,3,98
1,PSD44_LINEAR_SVM,unflagged,4,4,12
1,PSD44_LINEAR_SVM,flagged,1,1,4
1,PSD44_LINEAR_SVM,flagged,1,2,0
1,PSD44_LINEAR_SVM,flagged,1,3,0
1,PSD44_LINEAR_SVM,flagged,1,4,0
1,PSD44_LINEAR_SVM,flagged,2,1,2
1,PSD44_LINEAR_SVM,flagged,2,2,3
1,PSD44_LINEAR_SVM,flagged,2,3,0
1,PSD44_LINEAR_SVM,flagged,2,4,0
1,PSD44_LINEAR_SVM,flagged,3,1,2
1,PSD44_LINEAR_SVM,flagged,3,2,1
1,PSD44_LINEAR_SVM,flagged,3,3,4
1,PSD44_LINEAR_SVM,flagged,3,4,0
1,PSD44_LINEAR_SVM,flagged,4,1,2
1,PSD44_LINEAR_SVM,flagged,4,2,0
1,PSD44_LINEAR_SVM,flagged,4,3,3
1,PSD44_LINEAR_SVM,flagged,4,4,1
2,PSD44_LDA,all,1,1,31
2,PSD44_LDA,all,1,2,84
2,PSD44_LDA,all,1,3,21
2,PSD44_LDA,all,1,4,8
2,PSD44_LDA,all,2,1,42
2,PSD44_LDA,all,2,2,81
2,PSD44_LDA,all,2,3,16
2,PSD44_LDA,all,2,4,5
2,PSD44_LDA,all,3,1,31
2,PSD44_LDA,all,3,2,65
2,PSD44_LDA,all,3,3,23
2,PSD44_LDA,all,3,4,25
2,PSD44_LDA,all,4,1,39
2,PSD44_LDA,all,4,2,58
2,PSD44_LDA,all,4,3,23
2,PSD44_LDA,all,4,4,24
2,PSD44_LDA,unflagged,1,1,29
2,PSD44_LDA,unflagged,1,2,80
2,PSD44_LDA,unflagged,1,3,21
2,PSD44_LDA,unflagged,1,4,8
2,PSD44_LDA,unflagged,2,1,41
2,PSD44_LDA,unflagged,2,2,79
2,PSD44_LDA,unflagged,2,3,15
2,PSD44_LDA,unflagged,2,4,5
2,PSD44_LDA,unflagged,3,1,27
2,PSD44_LDA,unflagged,3,2,63
2,PSD44_LDA,unflagged,3,3,22
2,PSD44_LDA,unflagged,3,4,23
2,PSD44_LDA,unflagged,4,1,39
2,PSD44_LDA,unflagged,4,2,56
2,PSD44_LDA,unflagged,4,3,22
2,PSD44_LDA,unflagged,4,4,23
2,PSD44_LDA,flagged,1,1,2
2,PSD44_LDA,flagged,1,2,4
2,PSD44_LDA,flagged,1,3,0
2,PSD44_LDA,flagged,1,4,0
2,PSD44_LDA,flagged,2,1,1
2,PSD44_LDA,flagged,2,2,2
2,PSD44_LDA,flagged,2,3,1
2,PSD44_LDA,flagged,2,4,0
2,PSD44_LDA,flagged,3,1,4
2,PSD44_LDA,flagged,3,2,2
2,PSD44_LDA,flagged,3,3,1
2,PSD44_LDA,flagged,3,4,2
2,PSD44_LDA,flagged,4,1,0
2,PSD44_LDA,flagged,4,2,2
2,PSD44_LDA,flagged,4,3,1
2,PSD44_LDA,flagged,4,4,1
2,PSD44_LINEAR_SVM,all,1,1,45
2,PSD44_LINEAR_SVM,all,1,2,70
2,PSD44_LINEAR_SVM,all,1,3,25
2,PSD44_LINEAR_SVM,all,1,4,4
2,PSD44_LINEAR_SVM,all,2,1,50
2,PSD44_LINEAR_SVM,all,2,2,77
2,PSD44_LINEAR_SVM,all,2,3,13
2,PSD44_LINEAR_SVM,all,2,4,4
2,PSD44_LINEAR_SVM,all,3,1,45
2,PSD44_LINEAR_SVM,all,3,2,61
2,PSD44_LINEAR_SVM,all,3,3,19
2,PSD44_LINEAR_SVM,all,3,4,19
2,PSD44_LINEAR_SVM,all,4,1,57
2,PSD44_LINEAR_SVM,all,4,2,56
2,PSD44_LINEAR_SVM,all,4,3,19
2,PSD44_LINEAR_SVM,all,4,4,12
2,PSD44_LINEAR_SVM,unflagged,1,1,43
2,PSD44_LINEAR_SVM,unflagged,1,2,66
2,PSD44_LINEAR_SVM,unflagged,1,3,25
2,PSD44_LINEAR_SVM,unflagged,1,4,4
2,PSD44_LINEAR_SVM,unflagged,2,1,49
2,PSD44_LINEAR_SVM,unflagged,2,2,75
2,PSD44_LINEAR_SVM,unflagged,2,3,12
2,PSD44_LINEAR_SVM,unflagged,2,4,4
2,PSD44_LINEAR_SVM,unflagged,3,1,43
2,PSD44_LINEAR_SVM,unflagged,3,2,58
2,PSD44_LINEAR_SVM,unflagged,3,3,17
2,PSD44_LINEAR_SVM,unflagged,3,4,17
2,PSD44_LINEAR_SVM,unflagged,4,1,57
2,PSD44_LINEAR_SVM,unflagged,4,2,54
2,PSD44_LINEAR_SVM,unflagged,4,3,18
2,PSD44_LINEAR_SVM,unflagged,4,4,11
2,PSD44_LINEAR_SVM,flagged,1,1,2
2,PSD44_LINEAR_SVM,flagged,1,2,4
2,PSD44_LINEAR_SVM,flagged,1,3,0
2,PSD44_LINEAR_SVM,flagged,1,4,0
2,PSD44_LINEAR_SVM,flagged,2,1,1
2,PSD44_LINEAR_SVM,flagged,2,2,2
2,PSD44_LINEAR_SVM,flagged,2,3,1
2,PSD44_LINEAR_SVM,flagged,2,4,0
2,PSD44_LINEAR_SVM,flagged,3,1,2
2,PSD44_LINEAR_SVM,flagged,3,2,3
2,PSD44_LINEAR_SVM,flagged,3,3,2
2,PSD44_LINEAR_SVM,flagged,3,4,2
2,PSD44_LINEAR_SVM,flagged,4,1,0
2,PSD44_LINEAR_SVM,flagged,4,2,2
2,PSD44_LINEAR_SVM,flagged,4,3,1
2,PSD44_LINEAR_SVM,flagged,4,4,1
3,PSD44_LDA,all,1,1,31
3,PSD44_LDA,all,1,2,3
3,PSD44_LDA,all,1,3,19
3,PSD44_LDA,all,1,4,91
3,PSD44_LDA,all,2,1,19
3,PSD44_LDA,all,2,2,27
3,PSD44_LDA,all,2,3,19
3,PSD44_LDA,all,2,4,79
3,PSD44_LDA,all,3,1,2
3,PSD44_LDA,all,3,2,6
3,PSD44_LDA,all,3,3,43
3,PSD44_LDA,all,3,4,93
3,PSD44_LDA,all,4,1,0
3,PSD44_LDA,all,4,2,4
3,PSD44_LDA,all,4,3,6
3,PSD44_LDA,all,4,4,134
3,PSD44_LDA,unflagged,1,1,30
3,PSD44_LDA,unflagged,1,2,3
3,PSD44_LDA,unflagged,1,3,16
3,PSD44_LDA,unflagged,1,4,87
3,PSD44_LDA,unflagged,2,1,18
3,PSD44_LDA,unflagged,2,2,26
3,PSD44_LDA,unflagged,2,3,17
3,PSD44_LDA,unflagged,2,4,77
3,PSD44_LDA,unflagged,3,1,2
3,PSD44_LDA,unflagged,3,2,5
3,PSD44_LDA,unflagged,3,3,39
3,PSD44_LDA,unflagged,3,4,88
3,PSD44_LDA,unflagged,4,1,0
3,PSD44_LDA,unflagged,4,2,4
3,PSD44_LDA,unflagged,4,3,6
3,PSD44_LDA,unflagged,4,4,125
3,PSD44_LDA,flagged,1,1,1
3,PSD44_LDA,flagged,1,2,0
3,PSD44_LDA,flagged,1,3,3
3,PSD44_LDA,flagged,1,4,4
3,PSD44_LDA,flagged,2,1,1
3,PSD44_LDA,flagged,2,2,1
3,PSD44_LDA,flagged,2,3,2
3,PSD44_LDA,flagged,2,4,2
3,PSD44_LDA,flagged,3,1,0
3,PSD44_LDA,flagged,3,2,1
3,PSD44_LDA,flagged,3,3,4
3,PSD44_LDA,flagged,3,4,5
3,PSD44_LDA,flagged,4,1,0
3,PSD44_LDA,flagged,4,2,0
3,PSD44_LDA,flagged,4,3,0
3,PSD44_LDA,flagged,4,4,9
3,PSD44_LINEAR_SVM,all,1,1,36
3,PSD44_LINEAR_SVM,all,1,2,6
3,PSD44_LINEAR_SVM,all,1,3,21
3,PSD44_LINEAR_SVM,all,1,4,81
3,PSD44_LINEAR_SVM,all,2,1,24
3,PSD44_LINEAR_SVM,all,2,2,32
3,PSD44_LINEAR_SVM,all,2,3,23
3,PSD44_LINEAR_SVM,all,2,4,65
3,PSD44_LINEAR_SVM,all,3,1,5
3,PSD44_LINEAR_SVM,all,3,2,12
3,PSD44_LINEAR_SVM,all,3,3,41
3,PSD44_LINEAR_SVM,all,3,4,86
3,PSD44_LINEAR_SVM,all,4,1,2
3,PSD44_LINEAR_SVM,all,4,2,7
3,PSD44_LINEAR_SVM,all,4,3,9
3,PSD44_LINEAR_SVM,all,4,4,126
3,PSD44_LINEAR_SVM,unflagged,1,1,34
3,PSD44_LINEAR_SVM,unflagged,1,2,5
3,PSD44_LINEAR_SVM,unflagged,1,3,20
3,PSD44_LINEAR_SVM,unflagged,1,4,77
3,PSD44_LINEAR_SVM,unflagged,2,1,23
3,PSD44_LINEAR_SVM,unflagged,2,2,30
3,PSD44_LINEAR_SVM,unflagged,2,3,21
3,PSD44_LINEAR_SVM,unflagged,2,4,64
3,PSD44_LINEAR_SVM,unflagged,3,1,5
3,PSD44_LINEAR_SVM,unflagged,3,2,11
3,PSD44_LINEAR_SVM,unflagged,3,3,36
3,PSD44_LINEAR_SVM,unflagged,3,4,82
3,PSD44_LINEAR_SVM,unflagged,4,1,2
3,PSD44_LINEAR_SVM,unflagged,4,2,7
3,PSD44_LINEAR_SVM,unflagged,4,3,9
3,PSD44_LINEAR_SVM,unflagged,4,4,117
3,PSD44_LINEAR_SVM,flagged,1,1,2
3,PSD44_LINEAR_SVM,flagged,1,2,1
3,PSD44_LINEAR_SVM,flagged,1,3,1
3,PSD44_LINEAR_SVM,flagged,1,4,4
3,PSD44_LINEAR_SVM,flagged,2,1,1
3,PSD44_LINEAR_SVM,flagged,2,2,2
3,PSD44_LINEAR_SVM,flagged,2,3,2
3,PSD44_LINEAR_SVM,flagged,2,4,1
3,PSD44_LINEAR_SVM,flagged,3,1,0
3,PSD44_LINEAR_SVM,flagged,3,2,1
3,PSD44_LINEAR_SVM,flagged,3,3,5
3,PSD44_LINEAR_SVM,flagged,3,4,4
3,PSD44_LINEAR_SVM,flagged,4,1,0
3,PSD44_LINEAR_SVM,flagged,4,2,0
3,PSD44_LINEAR_SVM,flagged,4,3,0
3,PSD44_LINEAR_SVM,flagged,4,4,9
4,PSD44_LDA,all,1,1,48
4,PSD44_LDA,all,1,2,65
4,PSD44_LDA,all,1,3,10
4,PSD44_LDA,all,1,4,21
4,PSD44_LDA,all,2,1,26
4,PSD44_LDA,all,2,2,99
4,PSD44_LDA,all,2,3,7
4,PSD44_LDA,all,2,4,12
4,PSD44_LDA,all,3,1,41
4,PSD44_LDA,all,3,2,41
4,PSD44_LDA,all,3,3,11
4,PSD44_LDA,all,3,4,51
4,PSD44_LDA,all,4,1,21
4,PSD44_LDA,all,4,2,65
4,PSD44_LDA,all,4,3,5
4,PSD44_LDA,all,4,4,53
4,PSD44_LDA,unflagged,1,1,41
4,PSD44_LDA,unflagged,1,2,55
4,PSD44_LDA,unflagged,1,3,8
4,PSD44_LDA,unflagged,1,4,17
4,PSD44_LDA,unflagged,2,1,23
4,PSD44_LDA,unflagged,2,2,83
4,PSD44_LDA,unflagged,2,3,7
4,PSD44_LDA,unflagged,2,4,11
4,PSD44_LDA,unflagged,3,1,38
4,PSD44_LDA,unflagged,3,2,34
4,PSD44_LDA,unflagged,3,3,8
4,PSD44_LDA,unflagged,3,4,46
4,PSD44_LDA,unflagged,4,1,14
4,PSD44_LDA,unflagged,4,2,51
4,PSD44_LDA,unflagged,4,3,5
4,PSD44_LDA,unflagged,4,4,49
4,PSD44_LDA,flagged,1,1,7
4,PSD44_LDA,flagged,1,2,10
4,PSD44_LDA,flagged,1,3,2
4,PSD44_LDA,flagged,1,4,4
4,PSD44_LDA,flagged,2,1,3
4,PSD44_LDA,flagged,2,2,16
4,PSD44_LDA,flagged,2,3,0
4,PSD44_LDA,flagged,2,4,1
4,PSD44_LDA,flagged,3,1,3
4,PSD44_LDA,flagged,3,2,7
4,PSD44_LDA,flagged,3,3,3
4,PSD44_LDA,flagged,3,4,5
4,PSD44_LDA,flagged,4,1,7
4,PSD44_LDA,flagged,4,2,14
4,PSD44_LDA,flagged,4,3,0
4,PSD44_LDA,flagged,4,4,4
4,PSD44_LINEAR_SVM,all,1,1,64
4,PSD44_LINEAR_SVM,all,1,2,52
4,PSD44_LINEAR_SVM,all,1,3,17
4,PSD44_LINEAR_SVM,all,1,4,11
4,PSD44_LINEAR_SVM,all,2,1,32
4,PSD44_LINEAR_SVM,all,2,2,89
4,PSD44_LINEAR_SVM,all,2,3,12
4,PSD44_LINEAR_SVM,all,2,4,11
4,PSD44_LINEAR_SVM,all,3,1,47
4,PSD44_LINEAR_SVM,all,3,2,41
4,PSD44_LINEAR_SVM,all,3,3,13
4,PSD44_LINEAR_SVM,all,3,4,43
4,PSD44_LINEAR_SVM,all,4,1,28
4,PSD44_LINEAR_SVM,all,4,2,60
4,PSD44_LINEAR_SVM,all,4,3,11
4,PSD44_LINEAR_SVM,all,4,4,45
4,PSD44_LINEAR_SVM,unflagged,1,1,54
4,PSD44_LINEAR_SVM,unflagged,1,2,44
4,PSD44_LINEAR_SVM,unflagged,1,3,15
4,PSD44_LINEAR_SVM,unflagged,1,4,8
4,PSD44_LINEAR_SVM,unflagged,2,1,28
4,PSD44_LINEAR_SVM,unflagged,2,2,75
4,PSD44_LINEAR_SVM,unflagged,2,3,11
4,PSD44_LINEAR_SVM,unflagged,2,4,10
4,PSD44_LINEAR_SVM,unflagged,3,1,43
4,PSD44_LINEAR_SVM,unflagged,3,2,34
4,PSD44_LINEAR_SVM,unflagged,3,3,10
4,PSD44_LINEAR_SVM,unflagged,3,4,39
4,PSD44_LINEAR_SVM,unflagged,4,1,20
4,PSD44_LINEAR_SVM,unflagged,4,2,47
4,PSD44_LINEAR_SVM,unflagged,4,3,10
4,PSD44_LINEAR_SVM,unflagged,4,4,42
4,PSD44_LINEAR_SVM,flagged,1,1,10
4,PSD44_LINEAR_SVM,flagged,1,2,8
4,PSD44_LINEAR_SVM,flagged,1,3,2
4,PSD44_LINEAR_SVM,flagged,1,4,3
4,PSD44_LINEAR_SVM,flagged,2,1,4
4,PSD44_LINEAR_SVM,flagged,2,2,14
4,PSD44_LINEAR_SVM,flagged,2,3,1
4,PSD44_LINEAR_SVM,flagged,2,4,1
4,PSD44_LINEAR_SVM,flagged,3,1,4
4,PSD44_LINEAR_SVM,flagged,3,2,7
4,PSD44_LINEAR_SVM,flagged,3,3,3
4,PSD44_LINEAR_SVM,flagged,3,4,4
4,PSD44_LINEAR_SVM,flagged,4,1,8
4,PSD44_LINEAR_SVM,flagged,4,2,13
4,PSD44_LINEAR_SVM,flagged,4,3,1
4,PSD44_LINEAR_SVM,flagged,4,4,3
5,PSD44_LDA,all,1,1,126
5,PSD44_LDA,all,1,2,15
5,PSD44_LDA,all,1,3,3
5,PSD44_LDA,all,1,4,0
5,PSD44_LDA,all,2,1,123
5,PSD44_LDA,all,2,2,17
5,PSD44_LDA,all,2,3,4
5,PSD44_LDA,all,2,4,0
5,PSD44_LDA,all,3,1,123
5,PSD44_LDA,all,3,2,17
5,PSD44_LDA,all,3,3,4
5,PSD44_LDA,all,3,4,0
5,PSD44_LDA,all,4,1,129
5,PSD44_LDA,all,4,2,15
5,PSD44_LDA,all,4,3,0
5,PSD44_LDA,all,4,4,0
5,PSD44_LDA,unflagged,1,1,116
5,PSD44_LDA,unflagged,1,2,14
5,PSD44_LDA,unflagged,1,3,3
5,PSD44_LDA,unflagged,1,4,0
5,PSD44_LDA,unflagged,2,1,112
5,PSD44_LDA,unflagged,2,2,15
5,PSD44_LDA,unflagged,2,3,4
5,PSD44_LDA,unflagged,2,4,0
5,PSD44_LDA,unflagged,3,1,117
5,PSD44_LDA,unflagged,3,2,17
5,PSD44_LDA,unflagged,3,3,4
5,PSD44_LDA,unflagged,3,4,0
5,PSD44_LDA,unflagged,4,1,121
5,PSD44_LDA,unflagged,4,2,15
5,PSD44_LDA,unflagged,4,3,0
5,PSD44_LDA,unflagged,4,4,0
5,PSD44_LDA,flagged,1,1,10
5,PSD44_LDA,flagged,1,2,1
5,PSD44_LDA,flagged,1,3,0
5,PSD44_LDA,flagged,1,4,0
5,PSD44_LDA,flagged,2,1,11
5,PSD44_LDA,flagged,2,2,2
5,PSD44_LDA,flagged,2,3,0
5,PSD44_LDA,flagged,2,4,0
5,PSD44_LDA,flagged,3,1,6
5,PSD44_LDA,flagged,3,2,0
5,PSD44_LDA,flagged,3,3,0
5,PSD44_LDA,flagged,3,4,0
5,PSD44_LDA,flagged,4,1,8
5,PSD44_LDA,flagged,4,2,0
5,PSD44_LDA,flagged,4,3,0
5,PSD44_LDA,flagged,4,4,0
5,PSD44_LINEAR_SVM,all,1,1,129
5,PSD44_LINEAR_SVM,all,1,2,13
5,PSD44_LINEAR_SVM,all,1,3,2
5,PSD44_LINEAR_SVM,all,1,4,0
5,PSD44_LINEAR_SVM,all,2,1,131
5,PSD44_LINEAR_SVM,all,2,2,12
5,PSD44_LINEAR_SVM,all,2,3,1
5,PSD44_LINEAR_SVM,all,2,4,0
5,PSD44_LINEAR_SVM,all,3,1,129
5,PSD44_LINEAR_SVM,all,3,2,12
5,PSD44_LINEAR_SVM,all,3,3,3
5,PSD44_LINEAR_SVM,all,3,4,0
5,PSD44_LINEAR_SVM,all,4,1,130
5,PSD44_LINEAR_SVM,all,4,2,14
