subject,model,stratum,true_label,predicted_label,count
7,PSD44_LDA,all,1,1,56
7,PSD44_LDA,all,1,2,56
7,PSD44_LDA,all,1,3,9
7,PSD44_LDA,all,1,4,23
7,PSD44_LDA,all,2,1,44
7,PSD44_LDA,all,2,2,68
7,PSD44_LDA,all,2,3,7
7,PSD44_LDA,all,2,4,25
7,PSD44_LDA,all,3,1,79
7,PSD44_LDA,all,3,2,44
7,PSD44_LDA,all,3,3,3
7,PSD44_LDA,all,3,4,18
7,PSD44_LDA,all,4,1,38
7,PSD44_LDA,all,4,2,28
7,PSD44_LDA,all,4,3,14
7,PSD44_LDA,all,4,4,64
7,PSD44_LDA,unflagged,1,1,53
7,PSD44_LDA,unflagged,1,2,55
7,PSD44_LDA,unflagged,1,3,8
7,PSD44_LDA,unflagged,1,4,22
7,PSD44_LDA,unflagged,2,1,42
7,PSD44_LDA,unflagged,2,2,63
7,PSD44_LDA,unflagged,2,3,7
7,PSD44_LDA,unflagged,2,4,23
7,PSD44_LDA,unflagged,3,1,76
7,PSD44_LDA,unflagged,3,2,42
7,PSD44_LDA,unflagged,3,3,3
7,PSD44_LDA,unflagged,3,4,17
7,PSD44_LDA,unflagged,4,1,36
7,PSD44_LDA,unflagged,4,2,27
7,PSD44_LDA,unflagged,4,3,13
7,PSD44_LDA,unflagged,4,4,61
7,PSD44_LDA,flagged,1,1,3
7,PSD44_LDA,flagged,1,2,1
7,PSD44_LDA,flagged,1,3,1
7,PSD44_LDA,flagged,1,4,1
7,PSD44_LDA,flagged,2,1,2
7,PSD44_LDA,flagged,2,2,5
7,PSD44_LDA,flagged,2,3,0
7,PSD44_LDA,flagged,2,4,2
7,PSD44_LDA,flagged,3,1,3
7,PSD44_LDA,flagged,3,2,2
7,PSD44_LDA,flagged,3,3,0
7,PSD44_LDA,flagged,3,4,1
7,PSD44_LDA,flagged,4,1,2
7,PSD44_LDA,flagged,4,2,1
7,PSD44_LDA,flagged,4,3,1
7,PSD44_LDA,flagged,4,4,3
7,PSD44_LINEAR_SVM,all,1,1,49
7,PSD44_LINEAR_SVM,all,1,2,65
7,PSD44_LINEAR_SVM,all,1,3,12
7,PSD44_LINEAR_SVM,all,1,4,18
7,PSD44_LINEAR_SVM,all,2,1,41
7,PSD44_LINEAR_SVM,all,2,2,70
7,PSD44_LINEAR_SVM,all,2,3,14
7,PSD44_LINEAR_SVM,all,2,4,19
7,PSD44_LINEAR_SVM,all,3,1,81
7,PSD44_LINEAR_SVM,all,3,2,43
7,PSD44_LINEAR_SVM,all,3,3,3
7,PSD44_LINEAR_SVM,all,3,4,17
7,PSD44_LINEAR_SVM,all,4,1,36
7,PSD44_LINEAR_SVM,all,4,2,35
7,PSD44_LINEAR_SVM,all,4,3,19
7,PSD44_LINEAR_SVM,all,4,4,54
7,PSD44_LINEAR_SVM,unflagged,1,1,47
7,PSD44_LINEAR_SVM,unflagged,1,2,63
7,PSD44_LINEAR_SVM,unflagged,1,3,11
7,PSD44_LINEAR_SVM,unflagged,1,4,17
7,PSD44_LINEAR_SVM,unflagged,2,1,37
7,PSD44_LINEAR_SVM,unflagged,2,2,66
7,PSD44_LINEAR_SVM,unflagged,2,3,14
7,PSD44_LINEAR_SVM,unflagged,2,4,18
7,PSD44_LINEAR_SVM,unflagged,3,1,78
7,PSD44_LINEAR_SVM,unflagged,3,2,41
7,PSD44_LINEAR_SVM,unflagged,3,3,3
7,PSD44_LINEAR_SVM,unflagged,3,4,16
7,PSD44_LINEAR_SVM,unflagged,4,1,35
7,PSD44_LINEAR_SVM,unflagged,4,2,33
7,PSD44_LINEAR_SVM,unflagged,4,3,18
7,PSD44_LINEAR_SVM,unflagged,4,4,51
7,PSD44_LINEAR_SVM,flagged,1,1,2
7,PSD44_LINEAR_SVM,flagged,1,2,2
7,PSD44_LINEAR_SVM,flagged,1,3,1
7,PSD44_LINEAR_SVM,flagged,1,4,1
7,PSD44_LINEAR_SVM,flagged,2,1,4
7,PSD44_LINEAR_SVM,flagged,2,2,4
7,PSD44_LINEAR_SVM,flagged,2,3,0
7,PSD44_LINEAR_SVM,flagged,2,4,1
7,PSD44_LINEAR_SVM,flagged,3,1,3
7,PSD44_LINEAR_SVM,flagged,3,2,2
7,PSD44_LINEAR_SVM,flagged,3,3,0
7,PSD44_LINEAR_SVM,flagged,3,4,1
7,PSD44_LINEAR_SVM,flagged,4,1,1
7,PSD44_LINEAR_SVM,flagged,4,2,2
7,PSD44_LINEAR_SVM,flagged,4,3,1
7,PSD44_LINEAR_SVM,flagged,4,4,3
