subject,model,stratum,n_trials,n_classes_present,balanced_accuracy,accuracy,macro_f1,cohen_kappa,recall_class_1,recall_class_2,recall_class_3,recall_class_4
1,PSD44_LDA,all,576,4,0.4253472222222222,0.4253472222222222,0.3773571526512703,0.2337962962962962,0.6944444444444444,0.2916666666666667,0.6597222222222222,0.0555555555555555
1,PSD44_LDA,unflagged,554,4,0.4238962853383249,0.4241877256317689,0.3750078247261346,0.2322036033765906,0.6928571428571428,0.2877697841726618,0.6642335766423357,0.0507246376811594
1,PSD44_LDA,flagged,22,4,0.4720238095238095,0.4545454545454545,0.4369047619047619,0.2806539509536784,0.75,0.4,0.5714285714285714,0.1666666666666666
1,PSD44_LINEAR_SVM,all,576,4,0.4444444444444444,0.4444444444444444,0.3966843535736639,0.2592592592592593,0.7777777777777778,0.2777777777777778,0.6319444444444444,0.0902777777777777
1,PSD44_LINEAR_SVM,unflagged,554,4,0.4399021599694447,0.4404332129963899,0.3913606102037173,0.2536677791684049,0.7714285714285715,0.2661870503597122,0.635036496350365,0.0869565217391304
1,PSD44_LINEAR_SVM,flagged,22,4,0.5845238095238096,0.5454545454545454,0.5238095238095238,0.4037940379403794,1.0,0.6,0.5714285714285714,0.1666666666666666
2,PSD44_LDA,all,576,4,0.2760416666666667,0.2760416666666667,0.2566701887771229,0.0347222222222222,0.2152777777777778,0.5625,0.1597222222222222,0.1666666666666666
2,PSD44_LDA,unflagged,553,4,0.2754198297676559,0.2766726943942134,0.2563690511059919,0.0343183693426641,0.2101449275362318,0.5642857142857143,0.1629629629629629,0.1642857142857142
2,PSD44_LDA,flagged,23,4,0.2986111111111111,0.2608695652173913,0.2614468864468864,0.0416666666666667,0.3333333333333333,0.5,0.1111111111111111,0.25
2,PSD44_LINEAR_SVM,all,576,4,0.265625,0.265625,0.2363138532178411,0.0208333333333333,0.3125,0.5347222222222222,0.1319444444444444,0.0833333333333333
2,PSD44_LINEAR_SVM,unflagged,553,4,0.2629514607775477,0.2640144665461121,0.2328841644121266,0.0177276952686865,0.3115942028985507,0.5357142857142857,0.1259259259259259,0.0785714285714285
2,PSD44_LINEAR_SVM,flagged,23,4,0.3263888888888888,0.3043478260869565,0.3059274059274059,0.0958230958230957,0.3333333333333333,0.5,0.2222222222222222,0.25
3,PSD44_LDA,all,576,4,0.4079861111111111,0.4079861111111111,0.3693695229218645,0.2106481481481481,0.2152777777777778,0.1875,0.2986111111111111,0.9305555555555556
