fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,115,BETA_13_30
loso_s1,1,20260924,all,1,2,28,BETA_13_30
loso_s1,1,20260924,all,1,3,1,BETA_13_30
loso_s1,1,20260924,all,1,4,0,BETA_13_30
loso_s1,1,20260924,all,2,1,95,BETA_13_30
loso_s1,1,20260924,all,2,2,49,BETA_13_30
loso_s1,1,20260924,all,2,3,0,BETA_13_30
loso_s1,1,20260924,all,2,4,0,BETA_13_30
loso_s1,1,20260924,all,3,1,63,BETA_13_30
loso_s1,1,20260924,all,3,2,81,BETA_13_30
loso_s1,1,20260924,all,3,3,0,BETA_13_30
loso_s1,1,20260924,all,3,4,0,BETA_13_30
loso_s1,1,20260924,all,4,1,73,BETA_13_30
loso_s1,1,20260924,all,4,2,71,BETA_13_30
loso_s1,1,20260924,all,4,3,0,BETA_13_30
loso_s1,1,20260924,all,4,4,0,BETA_13_30
loso_s1,1,20260924,unflagged,1,1,113,BETA_13_30
loso_s1,1,20260924,unflagged,1,2,26,BETA_13_30
loso_s1,1,20260924,unflagged,1,3,1,BETA_13_30
loso_s1,1,20260924,unflagged,1,4,0,BETA_13_30
loso_s1,1,20260924,unflagged,2,1,91,BETA_13_30
loso_s1,1,20260924,unflagged,2,2,48,BETA_13_30
loso_s1,1,20260924,unflagged,2,3,0,BETA_13_30
loso_s1,1,20260924,unflagged,2,4,0,BETA_13_30
loso_s1,1,20260924,unflagged,3,1,60,BETA_13_30
loso_s1,1,20260924,unflagged,3,2,77,BETA_13_30
loso_s1,1,20260924,unflagged,3,3,0,BETA_13_30
loso_s1,1,20260924,unflagged,3,4,0,BETA_13_30
loso_s1,1,20260924,unflagged,4,1,70,BETA_13_30
loso_s1,1,20260924,unflagged,4,2,68,BETA_13_30
loso_s1,1,20260924,unflagged,4,3,0,BETA_13_30
loso_s1,1,20260924,unflagged,4,4,0,BETA_13_30
loso_s1,1,20260924,flagged,1,1,2,BETA_13_30
loso_s1,1,20260924,flagged,1,2,2,BETA_13_30
loso_s1,1,20260924,flagged,1,3,0,BETA_13_30
loso_s1,1,20260924,flagged,1,4,0,BETA_13_30
loso_s1,1,20260924,flagged,2,1,4,BETA_13_30
loso_s1,1,20260924,flagged,2,2,1,BETA_13_30
loso_s1,1,20260924,flagged,2,3,0,BETA_13_30
loso_s1,1,20260924,flagged,2,4,0,BETA_13_30
loso_s1,1,20260924,flagged,3,1,3,BETA_13_30
loso_s1,1,20260924,flagged,3,2,4,BETA_13_30
loso_s1,1,20260924,flagged,3,3,0,BETA_13_30
loso_s1,1,20260924,flagged,3,4,0,BETA_13_30
loso_s1,1,20260924,flagged,4,1,3,BETA_13_30
loso_s1,1,20260924,flagged,4,2,3,BETA_13_30
loso_s1,1,20260924,flagged,4,3,0,BETA_13_30
loso_s1,1,20260924,flagged,4,4,0,BETA_13_30
loso_s1,1,20260925,all,1,1,140,BETA_13_30
loso_s1,1,20260925,all,1,2,4,BETA_13_30
loso_s1,1,20260925,all,1,3,0,BETA_13_30
loso_s1,1,20260925,all,1,4,0,BETA_13_30
loso_s1,1,20260925,all,2,1,139,BETA_13_30
loso_s1,1,20260925,all,2,2,5,BETA_13_30
loso_s1,1,20260925,all,2,3,0,BETA_13_30
loso_s1,1,20260925,all,2,4,0,BETA_13_30
loso_s1,1,20260925,all,3,1,114,BETA_13_30
loso_s1,1,20260925,all,3,2,30,BETA_13_30
loso_s1,1,20260925,all,3,3,0,BETA_13_30
loso_s1,1,20260925,all,3,4,0,BETA_13_30
loso_s1,1,20260925,all,4,1,112,BETA_13_30
loso_s1,1,20260925,all,4,2,32,BETA_13_30
loso_s1,1,20260925,all,4,3,0,BETA_13_30
loso_s1,1,20260925,all,4,4,0,BETA_13_30
loso_s1,1,20260925,unflagged,1,1,137,BETA_13_30
loso_s1,1,20260925,unflagged,1,2,3,BETA_13_30
loso_s1,1,20260925,unflagged,1,3,0,BETA_13_30
loso_s1,1,20260925,unflagged,1,4,0,BETA_13_30
loso_s1,1,20260925,unflagged,2,1,134,BETA_13_30
loso_s1,1,20260925,unflagged,2,2,5,BETA_13_30
loso_s1,1,20260925,unflagged,2,3,0,BETA_13_30
loso_s1,1,20260925,unflagged,2,4,0,BETA_13_30
loso_s1,1,20260925,unflagged,3,1,108,BETA_13_30
loso_s1,1,20260925,unflagged,3,2,29,BETA_13_30
loso_s1,1,20260925,unflagged,3,3,0,BETA_13_30
loso_s1,1,20260925,unflagged,3,4,0,BETA_13_30
loso_s1,1,20260925,unflagged,4,1,106,BETA_13_30
loso_s1,1,20260925,unflagged,4,2,32,BETA_13_30
loso_s1,1,20260925,unflagged,4,3,0,BETA_13_30
loso_s1,1,20260925,unflagged,4,4,0,BETA_13_30
loso_s1,1,20260925,flagged,1,1,3,BETA_13_30
loso_s1,1,20260925,flagged,1,2,1,BETA_13_30
loso_s1,1,20260925,flagged,1,3,0,BETA_13_30
loso_s1,1,20260925,flagged,1,4,0,BETA_13_30
loso_s1,1,20260925,flagged,2,1,5,BETA_13_30
loso_s1,1,20260925,flagged,2,2,0,BETA_13_30
loso_s1,1,20260925,flagged,2,3,0,BETA_13_30
loso_s1,1,20260925,flagged,2,4,0,BETA_13_30
loso_s1,1,20260925,flagged,3,1,6,BETA_13_30
loso_s1,1,20260925,flagged,3,2,1,BETA_13_30
loso_s1,1,20260925,flagged,3,3,0,BETA_13_30
loso_s1,1,20260925,flagged,3,4,0,BETA_13_30
loso_s1,1,20260925,flagged,4,1,6,BETA_13_30
loso_s1,1,20260925,flagged,4,2,0,BETA_13_30
loso_s1,1,20260925,flagged,4,3,0,BETA_13_30
loso_s1,1,20260925,flagged,4,4,0,BETA_13_30
loso_s1,1,20260926,all,1,1,125,BETA_13_30
loso_s1,1,20260926,all,1,2,19,BETA_13_30
loso_s1,1,20260926,all,1,3,0,BETA_13_30
loso_s1,1,20260926,all,1,4,0,BETA_13_30
loso_s1,1,20260926,all,2,1,93,BETA_13_30
loso_s1,1,20260926,all,2,2,51,BETA_13_30
loso_s1,1,20260926,all,2,3,0,BETA_13_30
loso_s1,1,20260926,all,2,4,0,BETA_13_30
loso_s1,1,20260926,all,3,1,86,BETA_13_30
loso_s1,1,20260926,all,3,2,58,BETA_13_30
loso_s1,1,20260926,all,3,3,0,BETA_13_30
loso_s1,1,20260926,all,3,4,0,BETA_13_30
loso_s1,1,20260926,all,4,1,90,BETA_13_30
loso_s1,1,20260926,all,4,2,54,BETA_13_30
loso_s1,1,20260926,all,4,3,0,BETA_13_30
loso_s1,1,20260926,all,4,4,0,BETA_13_30
loso_s1,1,20260926,unflagged,1,1,122,BETA_13_30
loso_s1,1,20260926,unflagged,1,2,18,BETA_13_30
loso_s1,1,20260926,unflagged,1,3,0,BETA_13_30
loso_s1,1,20260926,unflagged,1,4,0,BETA_13_30
loso_s1,1,20260926,unflagged,2,1,89,BETA_13_30
loso_s1,1,20260926,unflagged,2,2,50,BETA_13_30
loso_s1,1,20260926,unflagged,2,3,0,BETA_13_30
loso_s1,1,20260926,unflagged,2,4,0,BETA_13_30
loso_s1,1,20260926,unflagged,3,1,83,BETA_13_30
loso_s1,1,20260926,unflagged,3,2,54,BETA_13_30
loso_s1,1,20260926,unflagged,3,3,0,BETA_13_30
loso_s1,1,20260926,unflagged,3,4,0,BETA_13_30
loso_s1,1,20260926,unflagged,4,1,85,BETA_13_30
loso_s1,1,20260926,unflagged,4,2,53,BETA_13_30
loso_s1,1,20260926,unflagged,4,3,0,BETA_13_30
loso_s1,1,20260926,unflagged,4,4,0,BETA_13_30
loso_s1,1,20260926,flagged,1,1,3,BETA_13_30
loso_s1,1,20260926,flagged,1,2,1,BETA_13_30
loso_s1,1,20260926,flagged,1,3,0,BETA_13_30
loso_s1,1,20260926,flagged,1,4,0,BETA_13_30
loso_s1,1,20260926,flagged,2,1,4,BETA_13_30
loso_s1,1,20260926,flagged,2,2,1,BETA_13_30
loso_s1,1,20260926,flagged,2,3,0,BETA_13_30
loso_s1,1,20260926,flagged,2,4,0,BETA_13_30
loso_s1,1,20260926,flagged,3,1,3,BETA_13_30
loso_s1,1,20260926,flagged,3,2,4,BETA_13_30
loso_s1,1,20260926,flagged,3,3,0,BETA_13_30
loso_s1,1,20260926,flagged,3,4,0,BETA_13_30
loso_s1,1,20260926,flagged,4,1,5,BETA_13_30
loso_s1,1,20260926,flagged,4,2,1,BETA_13_30
loso_s1,1,20260926,flagged,4,3,0,BETA_13_30
loso_s1,1,20260926,flagged,4,4,0,BETA_13_30
loso_s2,2,20260924,all,1,1,140,BETA_13_30
loso_s2,2,20260924,all,1,2,3,BETA_13_30
loso_s2,2,20260924,all,1,3,1,BETA_13_30
loso_s2,2,20260924,all,1,4,0,BETA_13_30
loso_s2,2,20260924,all,2,1,140,BETA_13_30
loso_s2,2,20260924,all,2,2,4,BETA_13_30
loso_s2,2,20260924,all,2,3,0,BETA_13_30
loso_s2,2,20260924,all,2,4,0,BETA_13_30
loso_s2,2,20260924,all,3,1,140,BETA_13_30
loso_s2,2,20260924,all,3,2,4,BETA_13_30
loso_s2,2,20260924,all,3,3,0,BETA_13_30
loso_s2,2,20260924,all,3,4,0,BETA_13_30
loso_s2,2,20260924,all,4,1,140,BETA_13_30
loso_s2,2,20260924,all,4,2,4,BETA_13_30
loso_s2,2,20260924,all,4,3,0,BETA_13_30
loso_s2,2,20260924,all,4,4,0,BETA_13_30
loso_s2,2,20260924,unflagged,1,1,134,BETA_13_30
loso_s2,2,20260924,unflagged,1,2,3,BETA_13_30
loso_s2,2,20260924,unflagged,1,3,1,BETA_13_30
loso_s2,2,20260924,unflagged,1,4,0,BETA_13_30
loso_s2,2,20260924,unflagged,2,1,136,BETA_13_30
loso_s2,2,20260924,unflagged,2,2,4,BETA_13_30
loso_s2,2,20260924,unflagged,2,3,0,BETA_13_30
loso_s2,2,20260924,unflagged,2,4,0,BETA_13_30
loso_s2,2,20260924,unflagged,3,1,131,BETA_13_30
loso_s2,2,20260924,unflagged,3,2,4,BETA_13_30
loso_s2,2,20260924,unflagged,3,3,0,BETA_13_30
loso_s2,2,20260924,unflagged,3,4,0,BETA_13_30
loso_s2,2,20260924,unflagged,4,1,136,BETA_13_30
loso_s2,2,20260924,unflagged,4,2,4,BETA_13_30
loso_s2,2,20260924,unflagged,4,3,0,BETA_13_30
loso_s2,2,20260924,unflagged,4,4,0,BETA_13_30
loso_s2,2,20260924,flagged,1,1,6,BETA_13_30
loso_s2,2,20260924,flagged,1,2,0,BETA_13_30
loso_s2,2,20260924,flagged,1,3,0,BETA_13_30
loso_s2,2,20260924,flagged,1,4,0,BETA_13_30
loso_s2,2,20260924,flagged,2,1,4,BETA_13_30
loso_s2,2,20260924,flagged,2,2,0,BETA_13_30
loso_s2,2,20260924,flagged,2,3,0,BETA_13_30
loso_s2,2,20260924,flagged,2,4,0,BETA_13_30
loso_s2,2,20260924,flagged,3,1,9,BETA_13_30
loso_s2,2,20260924,flagged,3,2,0,BETA_13_30
loso_s2,2,20260924,flagged,3,3,0,BETA_13_30
loso_s2,2,20260924,flagged,3,4,0,BETA_13_30
loso_s2,2,20260924,flagged,4,1,4,BETA_13_30
loso_s2,2,20260924,flagged,4,2,0,BETA_13_30
loso_s2,2,20260924,flagged,4,3,0,BETA_13_30
loso_s2,2,20260924,flagged,4,4,0,BETA_13_30
loso_s2,2,20260925,all,1,1,144,BETA_13_30
loso_s2,2,20260925,all,1,2,0,BETA_13_30
loso_s2,2,20260925,all,1,3,0,BETA_13_30
loso_s2,2,20260925,all,1,4,0,BETA_13_30
loso_s2,2,20260925,all,2,1,144,BETA_13_30
loso_s2,2,20260925,all,2,2,0,BETA_13_30
loso_s2,2,20260925,all,2,3,0,BETA_13_30
loso_s2,2,20260925,all,2,4,0,BETA_13_30
loso_s2,2,20260925,all,3,1,141,BETA_13_30
loso_s2,2,20260925,all,3,2,3,BETA_13_30
loso_s2,2,20260925,all,3,3,0,BETA_13_30
loso_s2,2,20260925,all,3,4,0,BETA_13_30
loso_s2,2,20260925,all,4,1,142,BETA_13_30
loso_s2,2,20260925,all,4,2,2,BETA_13_30
loso_s2,2,20260925,all,4,3,0,BETA_13_30
loso_s2,2,20260925,all,4,4,0,BETA_13_30
loso_s2,2,20260925,unflagged,1,1,138,BETA_13_30
loso_s2,2,20260925,unflagged,1,2,0,BETA_13_30
loso_s2,2,20260925,unflagged,1,3,0,BETA_13_30
