epoch,train_ce,val_ce
1,1.3820982260836496,
2,1.3549104895856645,
3,1.3328999049133725,
4,1.3081146627664566,
5,1.2883812271886401,
6,1.2587012930048838,
7,1.220622291167577,
8,1.2033555772569444,
9,1.1687329254216619,
10,1.1703999837239583,
11,1.1537086185481813,
12,1.1285326812002394,
13,1.1206336427066061,
14,1.116914012365871,
15,1.1198179771502812,
16,1.1067498086227312,
17,1.10281094080872,
18,1.0993953380319808,
19,1.090044216149383,
20,1.0880165124932926,
21,1.0734005429678493,
22,1.069657877087593,
23,1.068319954805904,
