fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s9,9,20260924,all,1,1,72,BETA_13_30
loso_s9,9,20260924,all,1,2,40,BETA_13_30
loso_s9,9,20260924,all,1,3,2,BETA_13_30
loso_s9,9,20260924,all,1,4,30,BETA_13_30
loso_s9,9,20260924,all,2,1,6,BETA_13_30
loso_s9,9,20260924,all,2,2,36,BETA_13_30
loso_s9,9,20260924,all,2,3,14,BETA_13_30
loso_s9,9,20260924,all,2,4,88,BETA_13_30
loso_s9,9,20260924,all,3,1,12,BETA_13_30
loso_s9,9,20260924,all,3,2,8,BETA_13_30
loso_s9,9,20260924,all,3,3,7,BETA_13_30
loso_s9,9,20260924,all,3,4,117,BETA_13_30
loso_s9,9,20260924,all,4,1,0,BETA_13_30
loso_s9,9,20260924,all,4,2,0,BETA_13_30
loso_s9,9,20260924,all,4,3,2,BETA_13_30
loso_s9,9,20260924,all,4,4,142,BETA_13_30
loso_s9,9,20260924,unflagged,1,1,60,BETA_13_30
loso_s9,9,20260924,unflagged,1,2,32,BETA_13_30
loso_s9,9,20260924,unflagged,1,3,1,BETA_13_30
loso_s9,9,20260924,unflagged,1,4,25,BETA_13_30
loso_s9,9,20260924,unflagged,2,1,6,BETA_13_30
loso_s9,9,20260924,unflagged,2,2,32,BETA_13_30
loso_s9,9,20260924,unflagged,2,3,11,BETA_13_30
loso_s9,9,20260924,unflagged,2,4,79,BETA_13_30
loso_s9,9,20260924,unflagged,3,1,10,BETA_13_30
loso_s9,9,20260924,unflagged,3,2,8,BETA_13_30
loso_s9,9,20260924,unflagged,3,3,6,BETA_13_30
loso_s9,9,20260924,unflagged,3,4,106,BETA_13_30
loso_s9,9,20260924,unflagged,4,1,0,BETA_13_30
loso_s9,9,20260924,unflagged,4,2,0,BETA_13_30
loso_s9,9,20260924,unflagged,4,3,1,BETA_13_30
loso_s9,9,20260924,unflagged,4,4,124,BETA_13_30
loso_s9,9,20260924,flagged,1,1,12,BETA_13_30
loso_s9,9,20260924,flagged,1,2,8,BETA_13_30
loso_s9,9,20260924,flagged,1,3,1,BETA_13_30
loso_s9,9,20260924,flagged,1,4,5,BETA_13_30
loso_s9,9,20260924,flagged,2,1,0,BETA_13_30
loso_s9,9,20260924,flagged,2,2,4,BETA_13_30
loso_s9,9,20260924,flagged,2,3,3,BETA_13_30
loso_s9,9,20260924,flagged,2,4,9,BETA_13_30
loso_s9,9,20260924,flagged,3,1,2,BETA_13_30
loso_s9,9,20260924,flagged,3,2,0,BETA_13_30
loso_s9,9,20260924,flagged,3,3,1,BETA_13_30
loso_s9,9,20260924,flagged,3,4,11,BETA_13_30
loso_s9,9,20260924,flagged,4,1,0,BETA_13_30
loso_s9,9,20260924,flagged,4,2,0,BETA_13_30
loso_s9,9,20260924,flagged,4,3,1,BETA_13_30
loso_s9,9,20260924,flagged,4,4,18,BETA_13_30
