fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,4.0,1.0,2.0,14.0,5.25,False
loso_s1,1,2,5.0,2.0,3.0,12.0,5.5,False
loso_s1,1,3,7.0,3.0,4.0,8.0,5.5,False
loso_s1,1,4,10.0,4.0,1.0,5.0,5.0,True
loso_s1,1,5,13.0,5.0,7.0,4.0,7.25,False
loso_s1,1,6,23.0,6.0,6.0,1.0,9.0,False
loso_s1,1,7,15.0,7.0,5.0,3.0,7.5,False
loso_s1,1,8,17.0,14.0,9.0,2.0,10.5,False
loso_s1,1,9,11.0,12.0,10.0,6.0,9.75,False
loso_s1,1,10,16.0,19.0,8.0,7.0,12.5,False
loso_s1,1,11,18.0,10.0,15.0,11.0,13.5,False
loso_s1,1,12,38.0,22.0,12.0,15.0,21.75,False
loso_s1,1,13,24.0,38.0,11.0,13.0,21.5,False
loso_s1,1,14,9.0,33.0,14.0,16.0,18.0,False
loso_s1,1,15,32.0,11.0,13.0,9.0,16.25,False
loso_s1,1,16,1.0,26.0,17.0,10.0,13.5,False
loso_s1,1,17,3.0,32.0,19.0,20.0,18.5,False
loso_s1,1,18,12.0,34.0,21.0,17.0,21.0,False
loso_s1,1,19,2.0,30.0,16.0,26.0,18.5,False
loso_s1,1,20,36.0,36.0,29.0,27.0,32.0,False
loso_s1,1,21,6.0,15.0,22.0,38.0,20.25,False
loso_s1,1,22,21.0,27.0,20.0,31.0,24.75,False
loso_s1,1,23,33.0,9.0,18.0,37.0,24.25,False
loso_s1,1,24,8.0,39.0,24.0,36.0,26.75,False
loso_s1,1,25,29.0,25.0,23.0,34.0,27.75,False
loso_s1,1,26,28.0,13.0,28.0,22.0,22.75,False
loso_s1,1,27,20.0,23.0,25.0,28.0,24.0,False
loso_s1,1,28,37.0,37.0,31.0,21.0,31.5,False
loso_s1,1,29,25.0,16.0,32.0,33.0,26.5,False
loso_s1,1,30,14.0,18.0,26.0,18.0,19.0,False
loso_s1,1,31,34.0,31.0,27.0,23.0,28.75,False
loso_s1,1,32,22.0,8.0,30.0,29.0,22.25,False
loso_s1,1,33,19.0,28.0,34.0,32.0,28.25,False
loso_s1,1,34,27.0,35.0,35.0,39.0,34.0,False
loso_s1,1,35,31.0,20.0,37.0,35.0,30.75,False
loso_s1,1,36,35.0,29.0,36.0,40.0,35.0,False
loso_s1,1,37,26.0,17.0,39.0,24.0,26.5,False
loso_s1,1,38,40.0,24.0,33.0,25.0,30.5,False
loso_s1,1,39,39.0,40.0,38.0,19.0,34.0,False
loso_s1,1,40,30.0,21.0,40.0,30.0,30.25,False
loso_s2,2,1,20.0,1.0,1.0,10.0,8.0,True
loso_s2,2,2,22.0,2.0,2.0,9.0,8.75,False
loso_s2,2,3,23.0,3.0,5.0,7.0,9.5,False
loso_s2,2,4,25.0,4.0,4.0,5.0,9.5,False
loso_s2,2,5,26.0,5.0,6.0,4.0,10.25,False
loso_s2,2,6,31.0,6.0,3.0,2.0,10.5,False
loso_s2,2,7,24.0,17.0,7.0,3.0,12.75,False
loso_s2,2,8,29.0,37.0,9.0,1.0,19.0,False
loso_s2,2,9,21.0,29.0,8.0,16.0,18.5,False
loso_s2,2,10,30.0,31.0,10.0,6.0,19.25,False
loso_s2,2,11,33.0,38.0,11.0,8.0,22.5,False
loso_s2,2,12,38.0,22.0,12.0,11.0,20.75,False
loso_s2,2,13,10.0,40.0,13.0,13.0,19.0,False
loso_s2,2,14,7.0,39.0,14.0,14.0,18.5,False
loso_s2,2,15,35.0,21.0,15.0,20.0,22.75,False
loso_s2,2,16,4.0,24.0,16.0,15.0,14.75,False
loso_s2,2,17,6.0,16.0,17.0,36.0,18.75,False
loso_s2,2,18,18.0,33.0,19.0,30.0,25.0,False
loso_s2,2,19,5.0,19.0,18.0,25.0,16.75,False
loso_s2,2,20,27.0,28.0,20.0,26.0,25.25,False
loso_s2,2,21,2.0,25.0,24.0,17.0,17.0,False
loso_s2,2,22,13.0,36.0,25.0,32.0,26.5,False
loso_s2,2,23,19.0,12.0,22.0,39.0,23.0,False
loso_s2,2,24,1.0,27.0,23.0,21.0,18.0,False
loso_s2,2,25,36.0,23.0,26.0,23.0,27.0,False
loso_s2,2,26,9.0,10.0,21.0,12.0,13.0,False
loso_s2,2,27,8.0,18.0,32.0,27.0,21.25,False
loso_s2,2,28,37.0,32.0,31.0,18.0,29.5,False
loso_s2,2,29,15.0,7.0,30.0,31.0,20.75,False
loso_s2,2,30,3.0,15.0,28.0,24.0,17.5,False
loso_s2,2,31,28.0,8.0,29.0,19.0,21.0,False
loso_s2,2,32,16.0,9.0,34.0,40.0,24.75,False
loso_s2,2,33,11.0,20.0,27.0,37.0,23.75,False
loso_s2,2,34,14.0,13.0,38.0,38.0,25.75,False
loso_s2,2,35,12.0,14.0,36.0,33.0,23.75,False
loso_s2,2,36,34.0,34.0,33.0,22.0,30.75,False
loso_s2,2,37,17.0,11.0,37.0,28.0,23.25,False
loso_s2,2,38,40.0,30.0,35.0,35.0,35.0,False
loso_s2,2,39,39.0,35.0,39.0,29.0,35.5,False
loso_s2,2,40,32.0,26.0,40.0,34.0,33.0,False
loso_s3,3,1,1.0,1.0,3.0,17.0,5.5,True
loso_s3,3,2,2.0,2.0,4.0,16.0,6.0,False
loso_s3,3,3,3.0,3.0,8.0,14.0,7.0,False
loso_s3,3,4,7.0,4.0,6.0,12.0,7.25,False
loso_s3,3,5,8.0,5.0,7.0,8.0,7.0,False
loso_s3,3,6,14.0,8.0,9.0,1.0,8.0,False
loso_s3,3,7,13.0,14.0,2.0,2.0,7.75,False
loso_s3,3,8,22.0,11.0,1.0,6.0,10.0,False
loso_s3,3,9,15.0,18.0,5.0,3.0,10.25,False
loso_s3,3,10,28.0,39.0,10.0,4.0,20.25,False
loso_s3,3,11,29.0,35.0,11.0,7.0,20.5,False
loso_s3,3,12,40.0,31.0,14.0,13.0,24.5,False
loso_s3,3,13,25.0,25.0,13.0,15.0,19.5,False
loso_s3,3,14,20.0,36.0,12.0,5.0,18.25,False
loso_s3,3,15,38.0,13.0,16.0,9.0,19.0,False
loso_s3,3,16,6.0,12.0,19.0,18.0,13.75,False
loso_s3,3,17,4.0,15.0,17.0,34.0,17.5,False
loso_s3,3,18,19.0,19.0,15.0,11.0,16.0,False
loso_s3,3,19,5.0,29.0,18.0,10.0,15.5,False
loso_s3,3,20,36.0,30.0,21.0,19.0,26.5,False
loso_s3,3,21,16.0,7.0,24.0,20.0,16.75,False
loso_s3,3,22,12.0,34.0,22.0,28.0,24.0,False
loso_s3,3,23,31.0,21.0,20.0,26.0,24.5,False
loso_s3,3,24,11.0,28.0,25.0,27.0,22.75,False
loso_s3,3,25,30.0,32.0,29.0,23.0,28.5,False
loso_s3,3,26,17.0,10.0,23.0,24.0,18.5,False
loso_s3,3,27,26.0,24.0,27.0,30.0,26.75,False
loso_s3,3,28,37.0,23.0,28.0,22.0,27.5,False
loso_s3,3,29,27.0,16.0,30.0,37.0,27.5,False
loso_s3,3,30,10.0,17.0,32.0,21.0,20.0,False
loso_s3,3,31,35.0,22.0,26.0,36.0,29.75,False
loso_s3,3,32,24.0,26.0,31.0,29.0,27.5,False
loso_s3,3,33,9.0,9.0,35.0,32.0,21.25,False
loso_s3,3,34,18.0,6.0,33.0,40.0,24.25,False
loso_s3,3,35,23.0,37.0,37.0,35.0,33.0,False
loso_s3,3,36,33.0,20.0,36.0,31.0,30.0,False
loso_s3,3,37,21.0,33.0,34.0,25.0,28.25,False
loso_s3,3,38,39.0,27.0,38.0,33.0,34.25,False
loso_s3,3,39,34.0,38.0,40.0,39.0,37.75,False
loso_s3,3,40,32.0,40.0,39.0,38.0,37.25,False
loso_s4,4,1,6.0,1.0,3.0,14.0,6.0,True
loso_s4,4,2,7.0,2.0,4.0,11.0,6.0,False
loso_s4,4,3,10.0,4.0,6.0,10.0,7.5,False
loso_s4,4,4,13.0,6.0,5.0,7.0,7.75,False
loso_s4,4,5,12.0,12.0,1.0,5.0,7.5,False
loso_s4,4,6,19.0,22.0,2.0,1.0,11.0,False
loso_s4,4,7,17.0,29.0,7.0,8.0,15.25,False
loso_s4,4,8,33.0,18.0,11.0,15.0,19.25,False
loso_s4,4,9,22.0,24.0,10.0,2.0,14.5,False
loso_s4,4,10,36.0,38.0,8.0,3.0,21.25,False
loso_s4,4,11,25.0,35.0,9.0,12.0,20.25,False
loso_s4,4,12,40.0,27.0,12.0,6.0,21.25,False
loso_s4,4,13,16.0,17.0,13.0,13.0,14.75,False
loso_s4,4,14,11.0,34.0,14.0,9.0,17.0,False
loso_s4,4,15,20.0,9.0,15.0,4.0,12.0,False
