fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.2847222222222222,0.2847222222222222,0.1830305848881107,0.1365859353307923,0.2847222222222222,0.0462962962962962,BETA_13_30,4
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.2881166495375128,0.2906137184115523,0.1862374183815383,0.1393753588712984,0.2881166495375128,0.0516425789927605,BETA_13_30,4
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.175,0.1363636363636363,0.0958333333333333,0.0666666666666666,0.175,-0.0829015544041449,BETA_13_30,4
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.2517361111111111,0.2517361111111111,0.1194861504282079,0.0869125644958862,0.2517361111111111,0.0023148148148147,BETA_13_30,4
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.2536356628982528,0.2563176895306859,0.1216192307692307,0.0887344987300164,0.2536356628982528,0.0051302168464639,BETA_13_30,4
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.1875,0.1363636363636363,0.0625,0.0375,0.1875,-0.0609137055837563,BETA_13_30,4
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.3055555555555556,0.3055555555555556,0.1943918626131776,0.1493696658671278,0.3055555555555556,0.074074074074074,BETA_13_30,4
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.3077852004110997,0.3104693140794224,0.1971515530846925,0.1519035054655107,0.3077852004110997,0.0779981788952255,BETA_13_30,4
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.2375,0.1818181818181818,0.1206140350877192,0.0857142857142857,0.2375,-0.017994858611825,BETA_13_30,4
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.25,0.25,0.1120104345340194,0.1291666666666666,0.25,0.0,BETA_13_30,1
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.2498964803312629,0.2495479204339963,0.1121624850657108,0.1290502793296089,0.2498964803312629,-0.0001176634650583,BETA_13_30,1
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.25,0.2608695652173913,0.1034482758620689,0.0652173913043478,0.25,0.0,BETA_13_30,1
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.25,0.25,0.1006993006993007,0.063047285464098,0.25,0.0,BETA_13_30,1
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.25,0.2495479204339963,0.1005830903790087,0.062956204379562,0.25,-4.357583284320121e-05,BETA_13_30,1
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.25,0.2608695652173913,0.1034482758620689,0.0652173913043478,0.25,0.0,BETA_13_30,1
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.2413194444444444,0.2413194444444444,0.1302035301869508,0.2602103871674437,0.2413194444444444,-0.0115740740740741,BETA_13_30,1
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.2425092017483322,0.2423146473779385,0.1314808038956314,0.2668354335433543,0.2425092017483322,-0.0099950308176484,BETA_13_30,1
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.2083333333333333,0.217391304347826,0.0925925925925925,0.0595238095238095,0.2083333333333333,-0.0481012658227848,BETA_13_30,1
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.25,0.25,0.1,0.0625,0.25,0.0,BETA_13_30,1
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.25,0.2504604051565378,0.1001472754050073,0.0626151012891344,0.25,0.0,BETA_13_30,1
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.25,0.2424242424242424,0.0975609756097561,0.0606060606060606,0.25,0.0,BETA_13_30,1
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.2517361111111111,0.2517361111111111,0.1175783972125435,0.1375,0.2517361111111111,0.0023148148148147,BETA_13_30,1
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.2480552003410059,0.2486187845303867,0.1119127972380619,0.1179365079365079,0.2480552003410059,-0.0026203244857783,BETA_13_30,1
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.3333333333333333,0.303030303030303,0.2275641025641025,0.314516129032258,0.3333333333333333,0.0844390832328106,BETA_13_30,1
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.25,0.25,0.1,0.0625,0.25,0.0,BETA_13_30,1
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.25,0.2504604051565378,0.1001472754050073,0.0626151012891344,0.25,0.0,BETA_13_30,1
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.25,0.2424242424242424,0.0975609756097561,0.0606060606060606,0.25,0.0,BETA_13_30,1
loso_s4,4,20260924,EEGNet,all,4608,576,4,0.25,0.25,0.1,0.0625,0.25,0.0,BETA_13_30,1
loso_s4,4,20260924,EEGNet,unflagged,4608,490,4,0.25,0.246938775510204,0.0990180032733224,0.061734693877551,0.25,0.0,BETA_13_30,1
loso_s4,4,20260924,EEGNet,flagged,4608,86,4,0.25,0.2674418604651162,0.1055045871559633,0.066860465116279,0.25,0.0,BETA_13_30,1
loso_s4,4,20260925,EEGNet,all,4608,576,4,0.2482638888888889,0.2482638888888889,0.1392488262910798,0.1212682379349046,0.2482638888888889,-0.0023148148148148,BETA_13_30,1
loso_s4,4,20260925,EEGNet,unflagged,4608,490,4,0.2451179685417222,0.2428571428571428,0.1347780932599043,0.1154761904761904,0.2451179685417222,-0.0065891472868218,BETA_13_30,1
loso_s4,4,20260925,EEGNet,flagged,4608,86,4,0.2673913043478261,0.2790697674418604,0.1665569453587886,0.1575757575757576,0.2673913043478261,0.0218308567235369,BETA_13_30,1
loso_s4,4,20260926,EEGNet,all,4608,576,4,0.2534722222222222,0.2534722222222222,0.1074107100952738,0.163047285464098,0.2534722222222222,0.0046296296296296,BETA_13_30,1
loso_s4,4,20260926,EEGNet,unflagged,4608,490,4,0.252016129032258,0.2489795918367346,0.1034435868213841,0.1454483230663928,0.252016129032258,0.0026603835155777,BETA_13_30,1
loso_s4,4,20260926,EEGNet,flagged,4608,86,4,0.2625,0.2790697674418604,0.1302039082412914,0.1934523809523809,0.2625,0.016961651917404,BETA_13_30,1
loso_s5,5,20260924,EEGNet,all,4608,576,4,0.25,0.25,0.1,0.0625,0.25,0.0,BETA_13_30,1
loso_s5,5,20260924,EEGNet,unflagged,4608,538,4,0.25,0.2472118959107806,0.0991058122205663,0.0618029739776951,0.25,0.0,BETA_13_30,1
loso_s5,5,20260924,EEGNet,flagged,4608,38,4,0.25,0.2894736842105263,0.1122448979591836,0.0723684210526315,0.25,0.0,BETA_13_30,1
loso_s5,5,20260925,EEGNet,all,4608,576,4,0.2534722222222222,0.2534722222222222,0.1102897693672383,0.1566901408450704,0.2534722222222222,0.0046296296296296,BETA_13_30,1
loso_s5,5,20260925,EEGNet,unflagged,4608,538,4,0.2538454915915743,0.2509293680297397,0.110338878218692,0.1560141509433962,0.2538454915915743,0.0050113351628683,BETA_13_30,1
loso_s5,5,20260925,EEGNet,flagged,4608,38,4,0.25,0.2894736842105263,0.1122448979591836,0.0723684210526315,0.25,0.0,BETA_13_30,1
loso_s5,5,20260926,EEGNet,all,4608,576,4,0.25,0.25,0.1,0.0625,0.25,0.0,BETA_13_30,1
loso_s5,5,20260926,EEGNet,unflagged,4608,538,4,0.25,0.2472118959107806,0.0991058122205663,0.0618029739776951,0.25,0.0,BETA_13_30,1
loso_s5,5,20260926,EEGNet,flagged,4608,38,4,0.25,0.2894736842105263,0.1122448979591836,0.0723684210526315,0.25,0.0,BETA_13_30,1
loso_s6,6,20260924,EEGNet,all,4608,576,4,0.2899305555555556,0.2899305555555556,0.2248005313802031,0.384945728824851,0.2899305555555556,0.0532407407407407,BETA_13_30,19
loso_s6,6,20260924,EEGNet,unflagged,4608,434,4,0.2880609917939013,0.2903225806451613,0.2097676380956366,0.4445149799050054,0.2880609917939013,0.0531065602221452,BETA_13_30,19
loso_s6,6,20260924,EEGNet,flagged,4608,142,4,0.2880735678417708,0.2887323943661972,0.2572139284598584,0.3542029616724738,0.2880735678417708,0.0472963996280056,BETA_13_30,19
loso_s6,6,20260925,EEGNet,all,4608,576,4,0.3072916666666666,0.3072916666666667,0.2717344848145704,0.4264746999454447,0.3072916666666666,0.0763888888888888,BETA_13_30,19
loso_s6,6,20260925,EEGNet,unflagged,4608,434,4,0.3266570999700398,0.3248847926267281,0.284392992273427,0.4677831413730804,0.3266570999700398,0.1044614246980527,BETA_13_30,19
loso_s6,6,20260925,EEGNet,flagged,4608,142,4,0.2433170219307235,0.2535211267605634,0.2255028735632183,0.3322826086956521,0.2433170219307235,-0.0144224288987733,BETA_13_30,19
loso_s6,6,20260926,EEGNet,all,4608,576,4,0.3211805555555556,0.3211805555555556,0.2629688919032171,0.448043742085268,0.3211805555555556,0.0949074074074074,BETA_13_30,19
loso_s6,6,20260926,EEGNet,unflagged,4608,434,4,0.3276915091344035,0.3248847926267281,0.2613487555824683,0.5607978636660144,0.3276915091344035,0.1051798267527038,BETA_13_30,19
loso_s6,6,20260926,EEGNet,flagged,4608,142,4,0.2942326168272187,0.3098591549295774,0.2569950547265851,0.3519404572036151,0.2942326168272187,0.0549405772495754,BETA_13_30,19
loso_s7,7,20260924,EEGNet,all,4608,576,4,0.3194444444444444,0.3194444444444444,0.294712930344611,0.3627081011962796,0.3194444444444444,0.0925925925925925,BETA_13_30,23
