fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,81,MID_8_30
loso_s1,1,20260924,all,1,2,30,MID_8_30
loso_s1,1,20260924,all,1,3,32,MID_8_30
loso_s1,1,20260924,all,1,4,1,MID_8_30
loso_s1,1,20260924,all,2,1,8,MID_8_30
loso_s1,1,20260924,all,2,2,125,MID_8_30
loso_s1,1,20260924,all,2,3,11,MID_8_30
loso_s1,1,20260924,all,2,4,0,MID_8_30
loso_s1,1,20260924,all,3,1,7,MID_8_30
loso_s1,1,20260924,all,3,2,6,MID_8_30
loso_s1,1,20260924,all,3,3,130,MID_8_30
loso_s1,1,20260924,all,3,4,1,MID_8_30
loso_s1,1,20260924,all,4,1,11,MID_8_30
loso_s1,1,20260924,all,4,2,0,MID_8_30
loso_s1,1,20260924,all,4,3,129,MID_8_30
loso_s1,1,20260924,all,4,4,4,MID_8_30
loso_s1,1,20260924,unflagged,1,1,78,MID_8_30
loso_s1,1,20260924,unflagged,1,2,30,MID_8_30
loso_s1,1,20260924,unflagged,1,3,31,MID_8_30
loso_s1,1,20260924,unflagged,1,4,1,MID_8_30
loso_s1,1,20260924,unflagged,2,1,8,MID_8_30
loso_s1,1,20260924,unflagged,2,2,122,MID_8_30
loso_s1,1,20260924,unflagged,2,3,9,MID_8_30
loso_s1,1,20260924,unflagged,2,4,0,MID_8_30
loso_s1,1,20260924,unflagged,3,1,6,MID_8_30
loso_s1,1,20260924,unflagged,3,2,5,MID_8_30
loso_s1,1,20260924,unflagged,3,3,125,MID_8_30
loso_s1,1,20260924,unflagged,3,4,1,MID_8_30
loso_s1,1,20260924,unflagged,4,1,10,MID_8_30
loso_s1,1,20260924,unflagged,4,2,0,MID_8_30
loso_s1,1,20260924,unflagged,4,3,124,MID_8_30
loso_s1,1,20260924,unflagged,4,4,4,MID_8_30
loso_s1,1,20260924,flagged,1,1,3,MID_8_30
loso_s1,1,20260924,flagged,1,2,0,MID_8_30
loso_s1,1,20260924,flagged,1,3,1,MID_8_30
loso_s1,1,20260924,flagged,1,4,0,MID_8_30
loso_s1,1,20260924,flagged,2,1,0,MID_8_30
loso_s1,1,20260924,flagged,2,2,3,MID_8_30
loso_s1,1,20260924,flagged,2,3,2,MID_8_30
loso_s1,1,20260924,flagged,2,4,0,MID_8_30
loso_s1,1,20260924,flagged,3,1,1,MID_8_30
loso_s1,1,20260924,flagged,3,2,1,MID_8_30
loso_s1,1,20260924,flagged,3,3,5,MID_8_30
loso_s1,1,20260924,flagged,3,4,0,MID_8_30
loso_s1,1,20260924,flagged,4,1,1,MID_8_30
loso_s1,1,20260924,flagged,4,2,0,MID_8_30
loso_s1,1,20260924,flagged,4,3,5,MID_8_30
loso_s1,1,20260924,flagged,4,4,0,MID_8_30
loso_s1,1,20260925,all,1,1,86,MID_8_30
loso_s1,1,20260925,all,1,2,23,MID_8_30
loso_s1,1,20260925,all,1,3,20,MID_8_30
loso_s1,1,20260925,all,1,4,15,MID_8_30
loso_s1,1,20260925,all,2,1,21,MID_8_30
loso_s1,1,20260925,all,2,2,103,MID_8_30
loso_s1,1,20260925,all,2,3,18,MID_8_30
loso_s1,1,20260925,all,2,4,2,MID_8_30
loso_s1,1,20260925,all,3,1,3,MID_8_30
loso_s1,1,20260925,all,3,2,3,MID_8_30
loso_s1,1,20260925,all,3,3,66,MID_8_30
loso_s1,1,20260925,all,3,4,72,MID_8_30
loso_s1,1,20260925,all,4,1,1,MID_8_30
loso_s1,1,20260925,all,4,2,0,MID_8_30
loso_s1,1,20260925,all,4,3,51,MID_8_30
loso_s1,1,20260925,all,4,4,92,MID_8_30
loso_s1,1,20260925,unflagged,1,1,83,MID_8_30
loso_s1,1,20260925,unflagged,1,2,23,MID_8_30
loso_s1,1,20260925,unflagged,1,3,19,MID_8_30
loso_s1,1,20260925,unflagged,1,4,15,MID_8_30
loso_s1,1,20260925,unflagged,2,1,21,MID_8_30
loso_s1,1,20260925,unflagged,2,2,101,MID_8_30
loso_s1,1,20260925,unflagged,2,3,15,MID_8_30
loso_s1,1,20260925,unflagged,2,4,2,MID_8_30
loso_s1,1,20260925,unflagged,3,1,1,MID_8_30
loso_s1,1,20260925,unflagged,3,2,3,MID_8_30
loso_s1,1,20260925,unflagged,3,3,64,MID_8_30
loso_s1,1,20260925,unflagged,3,4,69,MID_8_30
loso_s1,1,20260925,unflagged,4,1,1,MID_8_30
loso_s1,1,20260925,unflagged,4,2,0,MID_8_30
loso_s1,1,20260925,unflagged,4,3,50,MID_8_30
loso_s1,1,20260925,unflagged,4,4,87,MID_8_30
loso_s1,1,20260925,flagged,1,1,3,MID_8_30
loso_s1,1,20260925,flagged,1,2,0,MID_8_30
loso_s1,1,20260925,flagged,1,3,1,MID_8_30
loso_s1,1,20260925,flagged,1,4,0,MID_8_30
loso_s1,1,20260925,flagged,2,1,0,MID_8_30
loso_s1,1,20260925,flagged,2,2,2,MID_8_30
loso_s1,1,20260925,flagged,2,3,3,MID_8_30
loso_s1,1,20260925,flagged,2,4,0,MID_8_30
loso_s1,1,20260925,flagged,3,1,2,MID_8_30
loso_s1,1,20260925,flagged,3,2,0,MID_8_30
loso_s1,1,20260925,flagged,3,3,2,MID_8_30
loso_s1,1,20260925,flagged,3,4,3,MID_8_30
loso_s1,1,20260925,flagged,4,1,0,MID_8_30
loso_s1,1,20260925,flagged,4,2,0,MID_8_30
