fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s2,2,20260925,all,1,1,119,MID_8_30
loso_s2,2,20260925,all,1,2,12,MID_8_30
loso_s2,2,20260925,all,1,3,13,MID_8_30
loso_s2,2,20260925,all,1,4,0,MID_8_30
loso_s2,2,20260925,all,2,1,95,MID_8_30
loso_s2,2,20260925,all,2,2,28,MID_8_30
loso_s2,2,20260925,all,2,3,21,MID_8_30
loso_s2,2,20260925,all,2,4,0,MID_8_30
loso_s2,2,20260925,all,3,1,96,MID_8_30
loso_s2,2,20260925,all,3,2,26,MID_8_30
loso_s2,2,20260925,all,3,3,21,MID_8_30
loso_s2,2,20260925,all,3,4,1,MID_8_30
loso_s2,2,20260925,all,4,1,110,MID_8_30
loso_s2,2,20260925,all,4,2,21,MID_8_30
loso_s2,2,20260925,all,4,3,13,MID_8_30
loso_s2,2,20260925,all,4,4,0,MID_8_30
loso_s2,2,20260925,unflagged,1,1,113,MID_8_30
loso_s2,2,20260925,unflagged,1,2,12,MID_8_30
loso_s2,2,20260925,unflagged,1,3,13,MID_8_30
loso_s2,2,20260925,unflagged,1,4,0,MID_8_30
loso_s2,2,20260925,unflagged,2,1,95,MID_8_30
loso_s2,2,20260925,unflagged,2,2,26,MID_8_30
loso_s2,2,20260925,unflagged,2,3,19,MID_8_30
loso_s2,2,20260925,unflagged,2,4,0,MID_8_30
loso_s2,2,20260925,unflagged,3,1,91,MID_8_30
loso_s2,2,20260925,unflagged,3,2,25,MID_8_30
loso_s2,2,20260925,unflagged,3,3,18,MID_8_30
loso_s2,2,20260925,unflagged,3,4,1,MID_8_30
loso_s2,2,20260925,unflagged,4,1,106,MID_8_30
loso_s2,2,20260925,unflagged,4,2,21,MID_8_30
loso_s2,2,20260925,unflagged,4,3,13,MID_8_30
loso_s2,2,20260925,unflagged,4,4,0,MID_8_30
loso_s2,2,20260925,flagged,1,1,6,MID_8_30
loso_s2,2,20260925,flagged,1,2,0,MID_8_30
loso_s2,2,20260925,flagged,1,3,0,MID_8_30
loso_s2,2,20260925,flagged,1,4,0,MID_8_30
loso_s2,2,20260925,flagged,2,1,0,MID_8_30
loso_s2,2,20260925,flagged,2,2,2,MID_8_30
loso_s2,2,20260925,flagged,2,3,2,MID_8_30
loso_s2,2,20260925,flagged,2,4,0,MID_8_30
loso_s2,2,20260925,flagged,3,1,5,MID_8_30
loso_s2,2,20260925,flagged,3,2,1,MID_8_30
loso_s2,2,20260925,flagged,3,3,3,MID_8_30
loso_s2,2,20260925,flagged,3,4,0,MID_8_30
loso_s2,2,20260925,flagged,4,1,4,MID_8_30
loso_s2,2,20260925,flagged,4,2,0,MID_8_30
loso_s2,2,20260925,flagged,4,3,0,MID_8_30
loso_s2,2,20260925,flagged,4,4,0,MID_8_30
