fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,37.0,1.0,4.0,33.0,18.75,False
loso_s1,1,2,38.0,2.0,5.0,32.0,19.25,False
loso_s1,1,3,39.0,3.0,3.0,28.0,18.25,False
loso_s1,1,4,40.0,4.0,1.0,23.0,17.0,False
loso_s1,1,5,35.0,16.0,2.0,17.0,17.5,False
loso_s1,1,6,27.0,12.0,6.0,8.0,13.25,False
loso_s1,1,7,17.0,10.0,9.0,11.0,11.75,True
loso_s1,1,8,19.0,28.0,8.0,27.0,20.5,False
loso_s1,1,9,14.0,27.0,7.0,24.0,18.0,False
loso_s1,1,10,11.0,20.0,10.0,40.0,20.25,False
loso_s1,1,11,34.0,26.0,18.0,29.0,26.75,False
loso_s1,1,12,2.0,8.0,27.0,30.0,16.75,False
loso_s1,1,13,7.0,37.0,14.0,31.0,22.25,False
loso_s1,1,14,36.0,19.0,12.0,38.0,26.25,False
loso_s1,1,15,15.0,17.0,15.0,26.0,18.25,False
loso_s1,1,16,18.0,15.0,11.0,19.0,15.75,False
loso_s1,1,17,22.0,14.0,34.0,35.0,26.25,False
loso_s1,1,18,9.0,30.0,16.0,18.0,18.25,False
loso_s1,1,19,6.0,6.0,13.0,39.0,16.0,False
loso_s1,1,20,26.0,11.0,21.0,36.0,23.5,False
loso_s1,1,21,4.0,5.0,36.0,34.0,19.75,False
loso_s1,1,22,16.0,18.0,17.0,37.0,22.0,False
loso_s1,1,23,1.0,39.0,22.0,21.0,20.75,False
loso_s1,1,24,5.0,40.0,25.0,15.0,21.25,False
loso_s1,1,25,33.0,24.0,24.0,22.0,25.75,False
loso_s1,1,26,28.0,22.0,20.0,4.0,18.5,False
loso_s1,1,27,13.0,21.0,19.0,10.0,15.75,False
loso_s1,1,28,10.0,25.0,32.0,13.0,20.0,False
loso_s1,1,29,32.0,29.0,30.0,14.0,26.25,False
loso_s1,1,30,8.0,36.0,31.0,20.0,23.75,False
loso_s1,1,31,24.0,34.0,23.0,9.0,22.5,False
loso_s1,1,32,20.0,32.0,29.0,25.0,26.5,False
loso_s1,1,33,12.0,38.0,28.0,2.0,20.0,False
loso_s1,1,34,30.0,13.0,26.0,3.0,18.0,False
loso_s1,1,35,23.0,35.0,38.0,12.0,27.0,False
loso_s1,1,36,25.0,23.0,39.0,1.0,22.0,False
loso_s1,1,37,21.0,9.0,40.0,6.0,19.0,False
loso_s1,1,38,29.0,7.0,33.0,16.0,21.25,False
loso_s1,1,39,3.0,33.0,37.0,5.0,19.5,False
loso_s1,1,40,31.0,31.0,35.0,7.0,26.0,False
loso_s2,2,1,40.0,1.0,3.0,29.0,18.25,False
loso_s2,2,2,39.0,2.0,4.0,27.0,18.0,False
loso_s2,2,3,38.0,3.0,5.0,21.0,16.75,False
loso_s2,2,4,37.0,4.0,2.0,11.0,13.5,False
loso_s2,2,5,36.0,8.0,1.0,5.0,12.5,False
loso_s2,2,6,34.0,5.0,6.0,1.0,11.5,False
loso_s2,2,7,24.0,9.0,8.0,7.0,12.0,False
loso_s2,2,8,22.0,29.0,7.0,22.0,20.0,False
loso_s2,2,9,19.0,16.0,10.0,2.0,11.75,False
loso_s2,2,10,15.0,27.0,9.0,3.0,13.5,False
loso_s2,2,11,33.0,25.0,11.0,13.0,20.5,False
loso_s2,2,12,6.0,6.0,13.0,30.0,13.75,False
loso_s2,2,13,2.0,19.0,14.0,15.0,12.5,False
loso_s2,2,14,32.0,21.0,16.0,12.0,20.25,False
loso_s2,2,15,8.0,7.0,12.0,4.0,7.75,True
loso_s2,2,16,12.0,18.0,19.0,23.0,18.0,False
loso_s2,2,17,14.0,15.0,15.0,20.0,16.0,False
loso_s2,2,18,5.0,40.0,17.0,33.0,23.75,False
loso_s2,2,19,1.0,12.0,18.0,9.0,10.0,False
loso_s2,2,20,23.0,23.0,22.0,24.0,23.0,False
loso_s2,2,21,9.0,38.0,25.0,37.0,27.25,False
loso_s2,2,22,10.0,36.0,21.0,16.0,20.75,False
loso_s2,2,23,4.0,37.0,23.0,10.0,18.5,False
loso_s2,2,24,3.0,31.0,30.0,32.0,24.0,False
loso_s2,2,25,21.0,33.0,32.0,36.0,30.5,False
loso_s2,2,26,26.0,26.0,20.0,31.0,25.75,False
loso_s2,2,27,7.0,35.0,27.0,17.0,21.5,False
loso_s2,2,28,13.0,34.0,28.0,25.0,25.0,False
loso_s2,2,29,30.0,11.0,31.0,34.0,26.5,False
loso_s2,2,30,17.0,28.0,35.0,39.0,29.75,False
