fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.5902777777777778,0.5902777777777778,0.5253458581074266,0.6576342760369874,0.5902777777777778,0.4537037037037037,MID_8_30,7
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5940587413099851,0.5938628158844765,0.5278406097868324,0.6602421410677421,0.5940587413099851,0.4589655890829544,MID_8_30,7
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.5160714285714286,0.5,0.4583333333333333,0.4336538461538461,0.5160714285714286,0.3144475920679888,MID_8_30,7
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.6024305555555556,0.6024305555555556,0.6091784941401309,0.6268295329021145,0.6024305555555556,0.4699074074074074,MID_8_30,7
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.6042659787933357,0.6046931407942239,0.6107008954430622,0.6284042660796366,0.6042659787933357,0.473121034598064,MID_8_30,7
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.5672619047619047,0.5454545454545454,0.5595238095238095,0.6276785714285714,0.5672619047619047,0.3837535014005602,MID_8_30,7
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.6145833333333334,0.6145833333333334,0.6111445747468935,0.6342108178149654,0.6145833333333334,0.4861111111111111,MID_8_30,7
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.619285977121191,0.6191335740072202,0.6144878974540539,0.6386227974632452,0.619285977121191,0.492460326075158,MID_8_30,7
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.5196428571428571,0.5,0.5113636363636364,0.5550595238095237,0.5196428571428571,0.329639889196676,MID_8_30,7
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.2795138888888888,0.2795138888888889,0.2205917336030792,0.297719795465356,0.2795138888888888,0.0393518518518518,MID_8_30,15
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.2748188405797101,0.2748643761301989,0.2137408088045284,0.2875062971563555,0.2748188405797101,0.0332800027900448,MID_8_30,15
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.3541666666666667,0.391304347826087,0.319047619047619,0.4583333333333333,0.3541666666666667,0.1458885941644562,MID_8_30,15
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.2916666666666666,0.2916666666666667,0.2156308163935623,0.228498985801217,0.2916666666666666,0.0555555555555555,MID_8_30,15
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.2844720496894409,0.2839059674502712,0.2075418251177919,0.2185626102292769,0.2844720496894409,0.0458621260576698,MID_8_30,15
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.4583333333333333,0.4782608695652174,0.3928571428571428,0.4166666666666666,0.4583333333333333,0.2774869109947644,MID_8_30,15
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.3194444444444445,0.3194444444444444,0.2269253380364491,0.2435548966312494,0.3194444444444445,0.0925925925925925,MID_8_30,15
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.3181504485852311,0.3200723327305605,0.2277368919420477,0.2482962697274031,0.3181504485852311,0.0915572953985424,MID_8_30,15
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.375,0.3043478260869565,0.2182539682539682,0.1651785714285714,0.375,0.1153846153846153,MID_8_30,15
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.7326388888888888,0.7326388888888888,0.7366951318078117,0.7472060173931832,0.7326388888888888,0.6435185185185186,MID_8_30,16
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.7402230994784531,0.7403314917127072,0.7436979996128936,0.753946131113834,0.7402230994784531,0.6539228227508804,MID_8_30,16
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.6222222222222222,0.6060606060606061,0.6283514492753624,0.6451465201465202,0.6222222222222222,0.4664179104477611,MID_8_30,16
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.578125,0.578125,0.5815970531773192,0.7255961695148029,0.578125,0.4375,MID_8_30,16
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.5827957576425913,0.58195211786372,0.5860490136832266,0.7270072320461938,0.5827957576425913,0.4432001951448679,MID_8_30,16
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.5125,0.5151515151515151,0.4977678571428571,0.7228260869565217,0.5125,0.3416458852867831,MID_8_30,16
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.748263888888889,0.7482638888888888,0.7415940714302897,0.7552858973049668,0.748263888888889,0.6643518518518519,MID_8_30,16
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.755897171219775,0.7569060773480663,0.7507376426881072,0.7653639591204763,0.755897171219775,0.675753435812064,MID_8_30,16
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.6541666666666667,0.6060606060606061,0.599561403508772,0.5875,0.6541666666666667,0.48,MID_8_30,16
loso_s4,4,20260924,EEGNet,all,4608,576,4,0.3194444444444444,0.3194444444444444,0.2388392857142857,0.3391209719334719,0.3194444444444444,0.0925925925925925,MID_8_30,9
loso_s4,4,20260924,EEGNet,unflagged,4608,490,4,0.3244130696800181,0.3265306122448979,0.2460649151266161,0.3505662136135272,0.3244130696800181,0.0998663994655979,MID_8_30,9
loso_s4,4,20260924,EEGNet,flagged,4608,86,4,0.2952777777777777,0.2790697674418604,0.1991954022988505,0.2923240938166311,0.2952777777777777,0.0552799433026224,MID_8_30,9
loso_s4,4,20260925,EEGNet,all,4608,576,4,0.3802083333333333,0.3802083333333333,0.3421059948828492,0.4122416648245318,0.3802083333333333,0.1736111111111111,MID_8_30,9
loso_s4,4,20260925,EEGNet,unflagged,4608,490,4,0.3899268473940718,0.3938775510204081,0.3576514425187724,0.435217141771337,0.3899268473940718,0.1884612381918963,MID_8_30,9
loso_s4,4,20260925,EEGNet,flagged,4608,86,4,0.3282004830917874,0.3023255813953488,0.258829221093372,0.2261363636363636,0.3282004830917874,0.0928270042194092,MID_8_30,9
loso_s4,4,20260926,EEGNet,all,4608,576,4,0.3576388888888888,0.3576388888888889,0.2795086231302225,0.3564397948047574,0.3576388888888888,0.1435185185185185,MID_8_30,9
loso_s4,4,20260926,EEGNet,unflagged,4608,490,4,0.359033264954431,0.3653061224489796,0.2846909888357257,0.3695343950453439,0.359033264954431,0.1484213467449007,MID_8_30,9
loso_s4,4,20260926,EEGNet,flagged,4608,86,4,0.3491666666666667,0.313953488372093,0.2494319603623442,0.287314635718891,0.3491666666666667,0.1166434540389972,MID_8_30,9
loso_s5,5,20260924,EEGNet,all,4608,576,4,0.2517361111111111,0.2517361111111111,0.1200864960725429,0.1234161255752379,0.2517361111111111,0.0023148148148147,MID_8_30,12
loso_s5,5,20260924,EEGNet,unflagged,4608,538,4,0.2501721861906675,0.2472118959107806,0.1175898262442016,0.1176886279626005,0.2501721861906675,0.0002477700693755,MID_8_30,12
loso_s5,5,20260924,EEGNet,flagged,4608,38,4,0.2692307692307692,0.3157894736842105,0.150354609929078,0.2013888888888889,0.2692307692307692,0.0332681017612526,MID_8_30,12
loso_s5,5,20260925,EEGNet,all,4608,576,4,0.234375,0.234375,0.1472213500784929,0.1123819847541786,0.234375,-0.0208333333333332,MID_8_30,12
