fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,119,MU_8_13
loso_s1,1,20260924,all,1,2,16,MU_8_13
loso_s1,1,20260924,all,1,3,6,MU_8_13
loso_s1,1,20260924,all,1,4,3,MU_8_13
loso_s1,1,20260924,all,2,1,58,MU_8_13
loso_s1,1,20260924,all,2,2,78,MU_8_13
loso_s1,1,20260924,all,2,3,6,MU_8_13
loso_s1,1,20260924,all,2,4,2,MU_8_13
loso_s1,1,20260924,all,3,1,34,MU_8_13
loso_s1,1,20260924,all,3,2,3,MU_8_13
loso_s1,1,20260924,all,3,3,79,MU_8_13
loso_s1,1,20260924,all,3,4,28,MU_8_13
loso_s1,1,20260924,all,4,1,34,MU_8_13
loso_s1,1,20260924,all,4,2,1,MU_8_13
loso_s1,1,20260924,all,4,3,72,MU_8_13
loso_s1,1,20260924,all,4,4,37,MU_8_13
loso_s1,1,20260924,unflagged,1,1,115,MU_8_13
loso_s1,1,20260924,unflagged,1,2,16,MU_8_13
loso_s1,1,20260924,unflagged,1,3,6,MU_8_13
loso_s1,1,20260924,unflagged,1,4,3,MU_8_13
loso_s1,1,20260924,unflagged,2,1,56,MU_8_13
loso_s1,1,20260924,unflagged,2,2,75,MU_8_13
loso_s1,1,20260924,unflagged,2,3,6,MU_8_13
loso_s1,1,20260924,unflagged,2,4,2,MU_8_13
loso_s1,1,20260924,unflagged,3,1,30,MU_8_13
loso_s1,1,20260924,unflagged,3,2,2,MU_8_13
loso_s1,1,20260924,unflagged,3,3,79,MU_8_13
loso_s1,1,20260924,unflagged,3,4,26,MU_8_13
loso_s1,1,20260924,unflagged,4,1,32,MU_8_13
loso_s1,1,20260924,unflagged,4,2,1,MU_8_13
loso_s1,1,20260924,unflagged,4,3,71,MU_8_13
loso_s1,1,20260924,unflagged,4,4,34,MU_8_13
loso_s1,1,20260924,flagged,1,1,4,MU_8_13
loso_s1,1,20260924,flagged,1,2,0,MU_8_13
loso_s1,1,20260924,flagged,1,3,0,MU_8_13
loso_s1,1,20260924,flagged,1,4,0,MU_8_13
loso_s1,1,20260924,flagged,2,1,2,MU_8_13
loso_s1,1,20260924,flagged,2,2,3,MU_8_13
loso_s1,1,20260924,flagged,2,3,0,MU_8_13
loso_s1,1,20260924,flagged,2,4,0,MU_8_13
loso_s1,1,20260924,flagged,3,1,4,MU_8_13
loso_s1,1,20260924,flagged,3,2,1,MU_8_13
loso_s1,1,20260924,flagged,3,3,0,MU_8_13
loso_s1,1,20260924,flagged,3,4,2,MU_8_13
loso_s1,1,20260924,flagged,4,1,2,MU_8_13
loso_s1,1,20260924,flagged,4,2,0,MU_8_13
loso_s1,1,20260924,flagged,4,3,1,MU_8_13
loso_s1,1,20260924,flagged,4,4,3,MU_8_13
loso_s1,1,20260925,all,1,1,84,MU_8_13
loso_s1,1,20260925,all,1,2,25,MU_8_13
loso_s1,1,20260925,all,1,3,3,MU_8_13
loso_s1,1,20260925,all,1,4,32,MU_8_13
loso_s1,1,20260925,all,2,1,20,MU_8_13
loso_s1,1,20260925,all,2,2,105,MU_8_13
loso_s1,1,20260925,all,2,3,1,MU_8_13
loso_s1,1,20260925,all,2,4,18,MU_8_13
loso_s1,1,20260925,all,3,1,10,MU_8_13
loso_s1,1,20260925,all,3,2,2,MU_8_13
loso_s1,1,20260925,all,3,3,24,MU_8_13
loso_s1,1,20260925,all,3,4,108,MU_8_13
loso_s1,1,20260925,all,4,1,3,MU_8_13
loso_s1,1,20260925,all,4,2,0,MU_8_13
loso_s1,1,20260925,all,4,3,12,MU_8_13
loso_s1,1,20260925,all,4,4,129,MU_8_13
loso_s1,1,20260925,unflagged,1,1,82,MU_8_13
loso_s1,1,20260925,unflagged,1,2,24,MU_8_13
loso_s1,1,20260925,unflagged,1,3,3,MU_8_13
loso_s1,1,20260925,unflagged,1,4,31,MU_8_13
loso_s1,1,20260925,unflagged,2,1,18,MU_8_13
loso_s1,1,20260925,unflagged,2,2,103,MU_8_13
loso_s1,1,20260925,unflagged,2,3,1,MU_8_13
loso_s1,1,20260925,unflagged,2,4,17,MU_8_13
loso_s1,1,20260925,unflagged,3,1,7,MU_8_13
loso_s1,1,20260925,unflagged,3,2,1,MU_8_13
loso_s1,1,20260925,unflagged,3,3,24,MU_8_13
loso_s1,1,20260925,unflagged,3,4,105,MU_8_13
loso_s1,1,20260925,unflagged,4,1,3,MU_8_13
loso_s1,1,20260925,unflagged,4,2,0,MU_8_13
loso_s1,1,20260925,unflagged,4,3,12,MU_8_13
loso_s1,1,20260925,unflagged,4,4,123,MU_8_13
loso_s1,1,20260925,flagged,1,1,2,MU_8_13
loso_s1,1,20260925,flagged,1,2,1,MU_8_13
loso_s1,1,20260925,flagged,1,3,0,MU_8_13
loso_s1,1,20260925,flagged,1,4,1,MU_8_13
loso_s1,1,20260925,flagged,2,1,2,MU_8_13
loso_s1,1,20260925,flagged,2,2,2,MU_8_13
loso_s1,1,20260925,flagged,2,3,0,MU_8_13
loso_s1,1,20260925,flagged,2,4,1,MU_8_13
loso_s1,1,20260925,flagged,3,1,3,MU_8_13
loso_s1,1,20260925,flagged,3,2,1,MU_8_13
loso_s1,1,20260925,flagged,3,3,0,MU_8_13
loso_s1,1,20260925,flagged,3,4,3,MU_8_13
loso_s1,1,20260925,flagged,4,1,0,MU_8_13
loso_s1,1,20260925,flagged,4,2,0,MU_8_13
loso_s1,1,20260925,flagged,4,3,0,MU_8_13
loso_s1,1,20260925,flagged,4,4,6,MU_8_13
loso_s1,1,20260926,all,1,1,115,MU_8_13
loso_s1,1,20260926,all,1,2,16,MU_8_13
loso_s1,1,20260926,all,1,3,3,MU_8_13
loso_s1,1,20260926,all,1,4,10,MU_8_13
loso_s1,1,20260926,all,2,1,52,MU_8_13
loso_s1,1,20260926,all,2,2,81,MU_8_13
loso_s1,1,20260926,all,2,3,9,MU_8_13
loso_s1,1,20260926,all,2,4,2,MU_8_13
loso_s1,1,20260926,all,3,1,26,MU_8_13
loso_s1,1,20260926,all,3,2,3,MU_8_13
loso_s1,1,20260926,all,3,3,73,MU_8_13
loso_s1,1,20260926,all,3,4,42,MU_8_13
loso_s1,1,20260926,all,4,1,22,MU_8_13
loso_s1,1,20260926,all,4,2,0,MU_8_13
loso_s1,1,20260926,all,4,3,55,MU_8_13
loso_s1,1,20260926,all,4,4,67,MU_8_13
loso_s1,1,20260926,unflagged,1,1,112,MU_8_13
loso_s1,1,20260926,unflagged,1,2,15,MU_8_13
loso_s1,1,20260926,unflagged,1,3,3,MU_8_13
loso_s1,1,20260926,unflagged,1,4,10,MU_8_13
loso_s1,1,20260926,unflagged,2,1,50,MU_8_13
loso_s1,1,20260926,unflagged,2,2,79,MU_8_13
loso_s1,1,20260926,unflagged,2,3,8,MU_8_13
loso_s1,1,20260926,unflagged,2,4,2,MU_8_13
loso_s1,1,20260926,unflagged,3,1,22,MU_8_13
loso_s1,1,20260926,unflagged,3,2,3,MU_8_13
loso_s1,1,20260926,unflagged,3,3,71,MU_8_13
loso_s1,1,20260926,unflagged,3,4,41,MU_8_13
loso_s1,1,20260926,unflagged,4,1,20,MU_8_13
loso_s1,1,20260926,unflagged,4,2,0,MU_8_13
loso_s1,1,20260926,unflagged,4,3,54,MU_8_13
loso_s1,1,20260926,unflagged,4,4,64,MU_8_13
loso_s1,1,20260926,flagged,1,1,3,MU_8_13
