fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s6,6,20260924,all,1,1,25,MU_8_13
loso_s6,6,20260924,all,1,2,18,MU_8_13
loso_s6,6,20260924,all,1,3,84,MU_8_13
loso_s6,6,20260924,all,1,4,17,MU_8_13
loso_s6,6,20260924,all,2,1,6,MU_8_13
loso_s6,6,20260924,all,2,2,26,MU_8_13
loso_s6,6,20260924,all,2,3,98,MU_8_13
loso_s6,6,20260924,all,2,4,14,MU_8_13
loso_s6,6,20260924,all,3,1,10,MU_8_13
loso_s6,6,20260924,all,3,2,8,MU_8_13
loso_s6,6,20260924,all,3,3,92,MU_8_13
loso_s6,6,20260924,all,3,4,34,MU_8_13
loso_s6,6,20260924,all,4,1,10,MU_8_13
loso_s6,6,20260924,all,4,2,14,MU_8_13
loso_s6,6,20260924,all,4,3,94,MU_8_13
loso_s6,6,20260924,all,4,4,26,MU_8_13
loso_s6,6,20260924,unflagged,1,1,19,MU_8_13
loso_s6,6,20260924,unflagged,1,2,11,MU_8_13
loso_s6,6,20260924,unflagged,1,3,67,MU_8_13
loso_s6,6,20260924,unflagged,1,4,12,MU_8_13
loso_s6,6,20260924,unflagged,2,1,4,MU_8_13
loso_s6,6,20260924,unflagged,2,2,20,MU_8_13
loso_s6,6,20260924,unflagged,2,3,77,MU_8_13
loso_s6,6,20260924,unflagged,2,4,11,MU_8_13
loso_s6,6,20260924,unflagged,3,1,3,MU_8_13
loso_s6,6,20260924,unflagged,3,2,3,MU_8_13
loso_s6,6,20260924,unflagged,3,3,72,MU_8_13
loso_s6,6,20260924,unflagged,3,4,25,MU_8_13
loso_s6,6,20260924,unflagged,4,1,5,MU_8_13
loso_s6,6,20260924,unflagged,4,2,8,MU_8_13
loso_s6,6,20260924,unflagged,4,3,75,MU_8_13
loso_s6,6,20260924,unflagged,4,4,22,MU_8_13
loso_s6,6,20260924,flagged,1,1,6,MU_8_13
loso_s6,6,20260924,flagged,1,2,7,MU_8_13
loso_s6,6,20260924,flagged,1,3,17,MU_8_13
loso_s6,6,20260924,flagged,1,4,5,MU_8_13
loso_s6,6,20260924,flagged,2,1,2,MU_8_13
loso_s6,6,20260924,flagged,2,2,6,MU_8_13
loso_s6,6,20260924,flagged,2,3,21,MU_8_13
loso_s6,6,20260924,flagged,2,4,3,MU_8_13
loso_s6,6,20260924,flagged,3,1,7,MU_8_13
loso_s6,6,20260924,flagged,3,2,5,MU_8_13
loso_s6,6,20260924,flagged,3,3,20,MU_8_13
loso_s6,6,20260924,flagged,3,4,9,MU_8_13
loso_s6,6,20260924,flagged,4,1,5,MU_8_13
loso_s6,6,20260924,flagged,4,2,6,MU_8_13
loso_s6,6,20260924,flagged,4,3,19,MU_8_13
loso_s6,6,20260924,flagged,4,4,4,MU_8_13
