fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,40.0,2.0,3.0,40.0,21.25,False
loso_s1,1,2,39.0,3.0,4.0,39.0,21.25,False
loso_s1,1,3,37.0,5.0,2.0,34.0,19.5,False
loso_s1,1,4,38.0,14.0,1.0,32.0,21.25,False
loso_s1,1,5,36.0,28.0,5.0,26.0,23.75,False
loso_s1,1,6,35.0,21.0,6.0,25.0,21.75,False
loso_s1,1,7,24.0,25.0,9.0,19.0,19.25,False
loso_s1,1,8,17.0,36.0,8.0,21.0,20.5,False
loso_s1,1,9,33.0,24.0,15.0,1.0,18.25,False
loso_s1,1,10,23.0,15.0,7.0,36.0,20.25,False
loso_s1,1,11,31.0,27.0,12.0,23.0,23.25,False
loso_s1,1,12,1.0,12.0,16.0,38.0,16.75,False
loso_s1,1,13,5.0,13.0,10.0,35.0,15.75,False
loso_s1,1,14,10.0,33.0,13.0,24.0,20.0,False
loso_s1,1,15,20.0,7.0,19.0,14.0,15.0,True
loso_s1,1,16,27.0,11.0,17.0,11.0,16.5,False
loso_s1,1,17,26.0,4.0,25.0,31.0,21.5,False
loso_s1,1,18,7.0,34.0,11.0,13.0,16.25,False
loso_s1,1,19,6.0,30.0,14.0,27.0,19.25,False
loso_s1,1,20,19.0,9.0,18.0,29.0,18.75,False
loso_s1,1,21,13.0,1.0,20.0,30.0,16.0,False
loso_s1,1,22,12.0,19.0,22.0,15.0,17.0,False
loso_s1,1,23,3.0,32.0,26.0,8.0,17.25,False
loso_s1,1,24,22.0,29.0,32.0,5.0,22.0,False
loso_s1,1,25,21.0,26.0,27.0,10.0,21.0,False
loso_s1,1,26,28.0,23.0,21.0,17.0,22.25,False
loso_s1,1,27,32.0,8.0,31.0,2.0,18.25,False
loso_s1,1,28,8.0,38.0,29.0,33.0,27.0,False
loso_s1,1,29,18.0,20.0,35.0,6.0,19.75,False
loso_s1,1,30,14.0,35.0,24.0,37.0,27.5,False
loso_s1,1,31,15.0,39.0,28.0,7.0,22.25,False
loso_s1,1,32,11.0,17.0,34.0,4.0,16.5,False
loso_s1,1,33,29.0,22.0,23.0,28.0,25.5,False
loso_s1,1,34,34.0,18.0,37.0,18.0,26.75,False
loso_s1,1,35,30.0,6.0,38.0,3.0,19.25,False
loso_s1,1,36,4.0,16.0,36.0,9.0,16.25,False
loso_s1,1,37,9.0,31.0,33.0,20.0,23.25,False
loso_s1,1,38,16.0,10.0,30.0,22.0,19.5,False
loso_s1,1,39,2.0,37.0,39.0,16.0,23.5,False
loso_s1,1,40,25.0,40.0,40.0,12.0,29.25,False
loso_s2,2,1,40.0,1.0,2.0,37.0,20.0,False
loso_s2,2,2,39.0,2.0,4.0,34.0,19.75,False
loso_s2,2,3,38.0,3.0,3.0,31.0,18.75,False
loso_s2,2,4,37.0,7.0,1.0,27.0,18.0,False
loso_s2,2,5,36.0,14.0,5.0,14.0,17.25,False
loso_s2,2,6,35.0,9.0,6.0,10.0,15.0,False
loso_s2,2,7,33.0,20.0,7.0,8.0,17.0,False
loso_s2,2,8,29.0,33.0,8.0,15.0,21.25,False
loso_s2,2,9,34.0,29.0,11.0,11.0,21.25,False
loso_s2,2,10,28.0,16.0,9.0,5.0,14.5,False
loso_s2,2,11,17.0,35.0,10.0,23.0,21.25,False
loso_s2,2,12,10.0,18.0,12.0,25.0,16.25,False
loso_s2,2,13,8.0,22.0,13.0,13.0,14.0,True
loso_s2,2,14,22.0,25.0,17.0,2.0,16.5,False
loso_s2,2,15,23.0,19.0,15.0,3.0,15.0,False
loso_s2,2,16,24.0,31.0,14.0,21.0,22.5,False
loso_s2,2,17,30.0,4.0,19.0,18.0,17.75,False
loso_s2,2,18,7.0,21.0,16.0,29.0,18.25,False
loso_s2,2,19,9.0,24.0,18.0,6.0,14.25,False
loso_s2,2,20,26.0,12.0,20.0,28.0,21.5,False
loso_s2,2,21,14.0,23.0,22.0,39.0,24.5,False
loso_s2,2,22,3.0,39.0,21.0,30.0,23.25,False
loso_s2,2,23,1.0,17.0,26.0,33.0,19.25,False
loso_s2,2,24,4.0,27.0,24.0,7.0,15.5,False
loso_s2,2,25,12.0,30.0,27.0,26.0,23.75,False
loso_s2,2,26,32.0,10.0,23.0,9.0,18.5,False
loso_s2,2,27,27.0,5.0,25.0,17.0,18.5,False
loso_s2,2,28,2.0,37.0,29.0,16.0,21.0,False
loso_s2,2,29,15.0,8.0,30.0,24.0,19.25,False
loso_s2,2,30,6.0,38.0,32.0,35.0,27.75,False
loso_s2,2,31,13.0,34.0,31.0,40.0,29.5,False
loso_s2,2,32,18.0,15.0,36.0,32.0,25.25,False
loso_s2,2,33,11.0,13.0,35.0,1.0,15.0,False
loso_s2,2,34,20.0,6.0,33.0,36.0,23.75,False
loso_s2,2,35,31.0,11.0,37.0,38.0,29.25,False
loso_s2,2,36,5.0,28.0,38.0,12.0,20.75,False
loso_s2,2,37,19.0,26.0,34.0,20.0,24.75,False
loso_s2,2,38,16.0,40.0,28.0,4.0,22.0,False
loso_s2,2,39,21.0,36.0,39.0,19.0,28.75,False
loso_s2,2,40,25.0,32.0,40.0,22.0,29.75,False
loso_s3,3,1,39.0,1.0,5.0,20.0,16.25,False
loso_s3,3,2,38.0,2.0,7.0,16.0,15.75,False
loso_s3,3,3,37.0,3.0,4.0,13.0,14.25,False
loso_s3,3,4,40.0,6.0,2.0,14.0,15.5,False
