fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.5434027777777777,0.5434027777777778,0.5292264162387502,0.5737166645799424,0.5434027777777777,0.3912037037037037,MU_8_13,15
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5460040160282347,0.5469314079422383,0.5309505677630393,0.5755414540624415,0.5460040160282347,0.3955908304573471,MU_8_13,15
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.525,0.4545454545454545,0.428030303030303,0.4208333333333333,0.525,0.3034300791556727,MU_8_13,15
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.59375,0.59375,0.5660062949963534,0.64072015382991,0.59375,0.4583333333333333,MU_8_13,15
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.5983020773842005,0.5992779783393501,0.5732312299382588,0.6489485548418973,0.5983020773842005,0.4656320061175898,MU_8_13,15
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.475,0.4545454545454545,0.3784907902554961,0.3327922077922077,0.475,0.2864864864864864,MU_8_13,15
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.5833333333333334,0.5833333333333334,0.581086958576783,0.6050078251558167,0.5833333333333334,0.4444444444444444,MU_8_13,15
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.5875904037163795,0.5884476534296029,0.5856904051454123,0.6081299920179544,0.5875904037163795,0.451044133944675,MU_8_13,15
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.4839285714285714,0.4545454545454545,0.4659090909090909,0.5473484848484849,0.4839285714285714,0.292225201072386,MU_8_13,15
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.3315972222222222,0.3315972222222222,0.2906041734882211,0.3455629080794791,0.3315972222222222,0.1087962962962962,MU_8_13,13
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.3260697032436163,0.325497287522604,0.2851367158849793,0.339783234564788,0.3260697032436163,0.1013027187173232,MU_8_13,13
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.4097222222222222,0.4782608695652174,0.3619711042311662,0.3636363636363636,0.4097222222222222,0.2438356164383561,MU_8_13,13
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.3072916666666667,0.3072916666666667,0.2307001793334846,0.5019910644910645,0.3072916666666667,0.0763888888888888,MU_8_13,13
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.3057568438003221,0.3037974683544304,0.2279396686843495,0.4963281531344359,0.3057568438003221,0.0736333257914615,MU_8_13,13
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.3541666666666667,0.391304347826087,0.313235294117647,0.4330357142857143,0.3541666666666667,0.1273712737127371,MU_8_13,13
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.2777777777777777,0.2777777777777778,0.1926568511564239,0.3138643067846607,0.2777777777777777,0.037037037037037,MU_8_13,13
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.2768633540372671,0.2766726943942134,0.1909818143231104,0.3107309868805475,0.2768633540372671,0.0358084693677396,MU_8_13,13
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.2986111111111111,0.3043478260869565,0.2416666666666666,0.3991228070175438,0.2986111111111111,0.0416666666666666,MU_8_13,13
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.6197916666666666,0.6197916666666666,0.6163740839302863,0.6861376483399834,0.6197916666666666,0.4930555555555556,MU_8_13,9
