fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s5,5,20260926,all,1,1,101,MU_BETA_SHARED
loso_s5,5,20260926,all,1,2,43,MU_BETA_SHARED
loso_s5,5,20260926,all,1,3,0,MU_BETA_SHARED
loso_s5,5,20260926,all,1,4,0,MU_BETA_SHARED
loso_s5,5,20260926,all,2,1,95,MU_BETA_SHARED
loso_s5,5,20260926,all,2,2,49,MU_BETA_SHARED
loso_s5,5,20260926,all,2,3,0,MU_BETA_SHARED
loso_s5,5,20260926,all,2,4,0,MU_BETA_SHARED
loso_s5,5,20260926,all,3,1,104,MU_BETA_SHARED
loso_s5,5,20260926,all,3,2,40,MU_BETA_SHARED
loso_s5,5,20260926,all,3,3,0,MU_BETA_SHARED
loso_s5,5,20260926,all,3,4,0,MU_BETA_SHARED
loso_s5,5,20260926,all,4,1,88,MU_BETA_SHARED
loso_s5,5,20260926,all,4,2,56,MU_BETA_SHARED
loso_s5,5,20260926,all,4,3,0,MU_BETA_SHARED
loso_s5,5,20260926,all,4,4,0,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,1,1,93,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,1,2,40,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,1,3,0,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,1,4,0,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,2,1,88,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,2,2,43,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,2,3,0,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,2,4,0,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,3,1,100,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,3,2,38,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,3,3,0,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,3,4,0,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,4,1,84,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,4,2,52,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,4,3,0,MU_BETA_SHARED
loso_s5,5,20260926,unflagged,4,4,0,MU_BETA_SHARED
loso_s5,5,20260926,flagged,1,1,8,MU_BETA_SHARED
loso_s5,5,20260926,flagged,1,2,3,MU_BETA_SHARED
loso_s5,5,20260926,flagged,1,3,0,MU_BETA_SHARED
loso_s5,5,20260926,flagged,1,4,0,MU_BETA_SHARED
loso_s5,5,20260926,flagged,2,1,7,MU_BETA_SHARED
loso_s5,5,20260926,flagged,2,2,6,MU_BETA_SHARED
loso_s5,5,20260926,flagged,2,3,0,MU_BETA_SHARED
loso_s5,5,20260926,flagged,2,4,0,MU_BETA_SHARED
loso_s5,5,20260926,flagged,3,1,4,MU_BETA_SHARED
loso_s5,5,20260926,flagged,3,2,2,MU_BETA_SHARED
loso_s5,5,20260926,flagged,3,3,0,MU_BETA_SHARED
loso_s5,5,20260926,flagged,3,4,0,MU_BETA_SHARED
loso_s5,5,20260926,flagged,4,1,4,MU_BETA_SHARED
loso_s5,5,20260926,flagged,4,2,4,MU_BETA_SHARED
loso_s5,5,20260926,flagged,4,3,0,MU_BETA_SHARED
loso_s5,5,20260926,flagged,4,4,0,MU_BETA_SHARED
