fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,39.0,1.0,4.0,19.0,15.75,False
loso_s1,1,2,40.0,2.0,5.0,16.0,15.75,False
loso_s1,1,3,38.0,3.0,3.0,12.0,14.0,False
loso_s1,1,4,36.0,4.0,2.0,9.0,12.75,False
loso_s1,1,5,33.0,9.0,1.0,2.0,11.25,True
loso_s1,1,6,24.0,10.0,6.0,6.0,11.5,False
loso_s1,1,7,21.0,19.0,8.0,27.0,18.75,False
loso_s1,1,8,20.0,35.0,10.0,32.0,24.25,False
loso_s1,1,9,22.0,26.0,7.0,15.0,17.5,False
loso_s1,1,10,11.0,15.0,14.0,33.0,18.25,False
loso_s1,1,11,16.0,16.0,27.0,29.0,22.0,False
loso_s1,1,12,7.0,13.0,23.0,34.0,19.25,False
loso_s1,1,13,8.0,38.0,33.0,30.0,27.25,False
loso_s1,1,14,12.0,17.0,19.0,35.0,20.75,False
loso_s1,1,15,19.0,33.0,12.0,37.0,25.25,False
loso_s1,1,16,2.0,24.0,9.0,40.0,18.75,False
loso_s1,1,17,5.0,25.0,30.0,36.0,24.0,False
loso_s1,1,18,23.0,39.0,16.0,10.0,22.0,False
loso_s1,1,19,6.0,22.0,17.0,21.0,16.5,False
loso_s1,1,20,28.0,11.0,24.0,25.0,22.0,False
loso_s1,1,21,10.0,5.0,40.0,38.0,23.25,False
loso_s1,1,22,17.0,6.0,15.0,31.0,17.25,False
loso_s1,1,23,3.0,18.0,13.0,11.0,11.25,False
loso_s1,1,24,34.0,37.0,21.0,39.0,32.75,False
loso_s1,1,25,35.0,20.0,25.0,17.0,24.25,False
loso_s1,1,26,9.0,7.0,32.0,5.0,13.25,False
loso_s1,1,27,1.0,14.0,31.0,14.0,15.0,False
loso_s1,1,28,31.0,27.0,39.0,8.0,26.25,False
loso_s1,1,29,13.0,23.0,34.0,4.0,18.5,False
loso_s1,1,30,29.0,34.0,36.0,26.0,31.25,False
loso_s1,1,31,32.0,32.0,11.0,28.0,25.75,False
loso_s1,1,32,25.0,8.0,29.0,24.0,21.5,False
loso_s1,1,33,4.0,12.0,28.0,13.0,14.25,False
loso_s1,1,34,30.0,31.0,20.0,1.0,20.5,False
loso_s1,1,35,18.0,30.0,35.0,22.0,26.25,False
loso_s1,1,36,14.0,21.0,26.0,3.0,16.0,False
loso_s1,1,37,27.0,29.0,18.0,23.0,24.25,False
loso_s1,1,38,37.0,28.0,22.0,18.0,26.25,False
loso_s1,1,39,15.0,36.0,38.0,20.0,27.25,False
loso_s1,1,40,26.0,40.0,37.0,7.0,27.5,False
loso_s2,2,1,40.0,1.0,2.0,12.0,13.75,False
loso_s2,2,2,39.0,2.0,4.0,8.0,13.25,False
loso_s2,2,3,38.0,3.0,3.0,6.0,12.5,False
loso_s2,2,4,37.0,4.0,1.0,3.0,11.25,False
loso_s2,2,5,36.0,6.0,5.0,1.0,12.0,False
loso_s2,2,6,34.0,5.0,6.0,2.0,11.75,False
loso_s2,2,7,30.0,20.0,7.0,22.0,19.75,False
loso_s2,2,8,29.0,34.0,8.0,31.0,25.5,False
loso_s2,2,9,28.0,26.0,12.0,11.0,19.25,False
loso_s2,2,10,18.0,10.0,18.0,4.0,12.5,False
loso_s2,2,11,17.0,21.0,10.0,23.0,17.75,False
loso_s2,2,12,13.0,7.0,17.0,36.0,18.25,False
loso_s2,2,13,1.0,8.0,16.0,16.0,10.25,True
loso_s2,2,14,14.0,29.0,20.0,10.0,18.25,False
loso_s2,2,15,15.0,25.0,9.0,5.0,13.5,False
loso_s2,2,16,10.0,14.0,11.0,32.0,16.75,False
loso_s2,2,17,4.0,27.0,15.0,33.0,19.75,False
loso_s2,2,18,11.0,35.0,13.0,28.0,21.75,False
loso_s2,2,19,6.0,11.0,14.0,26.0,14.25,False
loso_s2,2,20,22.0,13.0,19.0,30.0,21.0,False
loso_s2,2,21,9.0,15.0,26.0,38.0,22.0,False
loso_s2,2,22,8.0,33.0,21.0,20.0,20.5,False
loso_s2,2,23,3.0,36.0,22.0,25.0,21.5,False
loso_s2,2,24,21.0,31.0,38.0,15.0,26.25,False
loso_s2,2,25,23.0,9.0,40.0,13.0,21.25,False
loso_s2,2,26,12.0,16.0,29.0,17.0,18.5,False
loso_s2,2,27,2.0,22.0,34.0,14.0,18.0,False
loso_s2,2,28,24.0,30.0,36.0,7.0,24.25,False
loso_s2,2,29,5.0,24.0,35.0,24.0,22.0,False
loso_s2,2,30,32.0,37.0,27.0,35.0,32.75,False
loso_s2,2,31,27.0,32.0,24.0,39.0,30.5,False
loso_s2,2,32,19.0,12.0,31.0,21.0,20.75,False
loso_s2,2,33,7.0,23.0,28.0,29.0,21.75,False
loso_s2,2,34,31.0,18.0,23.0,19.0,22.75,False
loso_s2,2,35,20.0,17.0,32.0,40.0,27.25,False
loso_s2,2,36,16.0,39.0,33.0,18.0,26.5,False
loso_s2,2,37,25.0,19.0,25.0,27.0,24.0,False
loso_s2,2,38,35.0,38.0,30.0,9.0,28.0,False
loso_s2,2,39,26.0,28.0,37.0,34.0,31.25,False
loso_s2,2,40,33.0,40.0,39.0,37.0,37.25,False
