fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.6041666666666666,0.6041666666666666,0.587379769609117,0.6056642428128637,0.6041666666666666,0.4722222222222222,MU_BETA_SHARED,5
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.6042001014050256,0.6046931407942239,0.5874016303970794,0.6072786235845142,0.6042001014050256,0.4729608215357749,MU_BETA_SHARED,5
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.6339285714285714,0.5909090909090909,0.5832167832167833,0.59375,0.6339285714285714,0.4619565217391304,MU_BETA_SHARED,5
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.5815972222222222,0.5815972222222222,0.5570445398064265,0.6371185725517338,0.5815972222222222,0.4421296296296296,MU_BETA_SHARED,5
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.5831563135038508,0.5830324909747292,0.5562628525123896,0.6373648966165414,0.5831563135038508,0.4444560206287604,MU_BETA_SHARED,5
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.5636904761904762,0.5454545454545454,0.5694444444444444,0.678409090909091,0.5636904761904762,0.3802816901408449,MU_BETA_SHARED,5
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.4895833333333333,0.4895833333333333,0.4391071224913154,0.572215613710459,0.4895833333333333,0.3194444444444444,MU_BETA_SHARED,5
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.4929695410376147,0.4927797833935018,0.441952794491005,0.5878167975195399,0.4929695410376147,0.3240558213854612,MU_BETA_SHARED,5
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.4255952380952381,0.4090909090909091,0.3705738705738706,0.3749999999999999,0.4255952380952381,0.2099447513812153,MU_BETA_SHARED,5
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.3107638888888889,0.3107638888888889,0.2440220671060287,0.3678683266154776,0.3107638888888889,0.0810185185185184,MU_BETA_SHARED,13
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.306458477110651,0.3074141048824593,0.240893151603643,0.3655461685558371,0.306458477110651,0.0756987933404612,MU_BETA_SHARED,13
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.4375,0.391304347826087,0.3506493506493506,0.34375,0.4375,0.2049382716049382,MU_BETA_SHARED,13
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.2725694444444444,0.2725694444444444,0.2124494918072498,0.3138623406324394,0.2725694444444444,0.0300925925925925,MU_BETA_SHARED,13
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.2726391764435242,0.2694394213381555,0.2125862013003719,0.3156400174748798,0.2726391764435242,0.0305402473421567,MU_BETA_SHARED,13
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.2569444444444444,0.3478260869565217,0.1921296296296296,0.1597222222222222,0.2569444444444444,0.0,MU_BETA_SHARED,13
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.2760416666666667,0.2760416666666667,0.2274240007662442,0.3617270339444681,0.2760416666666667,0.0347222222222222,MU_BETA_SHARED,13
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.2799948240165631,0.2766726943942134,0.2286628140904437,0.3630690075929039,0.2799948240165631,0.0401138671434274,MU_BETA_SHARED,13
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.2361111111111111,0.2608695652173913,0.205,0.1875,0.2361111111111111,-0.113960113960114,MU_BETA_SHARED,13
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.6302083333333334,0.6302083333333334,0.6386408734940622,0.7167067789811472,0.6302083333333334,0.5069444444444444,MU_BETA_SHARED,10
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.6337892538585843,0.6335174953959485,0.6414930817027159,0.7215538552154261,0.6337892538585843,0.5119442825977968,MU_BETA_SHARED,10
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.5875,0.5757575757575758,0.589551282051282,0.6416666666666666,0.5875,0.4246575342465754,MU_BETA_SHARED,10
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.6545138888888888,0.6545138888888888,0.6519094830038146,0.6900579616726652,0.6545138888888888,0.5393518518518519,MU_BETA_SHARED,10
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.6546599995900011,0.6537753222836096,0.6509364826649937,0.6909358007048234,0.6546599995900011,0.5388264206688742,MU_BETA_SHARED,10
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.6743055555555555,0.6666666666666666,0.6722787081339713,0.6876623376623378,0.6743055555555555,0.5507425742574257,MU_BETA_SHARED,10
