fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.5920138888888888,0.5920138888888888,0.5733082251019641,0.6267885196443309,0.5920138888888888,0.4560185185185185,MID_8_30_Q8_EPOCHS,27
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5931340089102043,0.5938628158844765,0.5740043199918645,0.6255646708959102,0.5931340089102043,0.4583425673649768,MID_8_30_Q8_EPOCHS,27
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.5636904761904762,0.5454545454545454,0.549908424908425,0.6636904761904762,0.5636904761904762,0.4005449591280653,MID_8_30_Q8_EPOCHS,27
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.609375,0.609375,0.5483636151875145,0.6193463282748998,0.609375,0.4791666666666666,MID_8_30_Q8_EPOCHS,27
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.6168927731279182,0.6173285198555957,0.553301510723415,0.6303065463307143,0.6168927731279182,0.4898888116747741,MID_8_30_Q8_EPOCHS,27
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.4505952380952381,0.4090909090909091,0.4007867132867133,0.4270833333333333,0.4505952380952381,0.2228260869565217,MID_8_30_Q8_EPOCHS,27
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.626736111111111,0.6267361111111112,0.6022059452545083,0.6486032874562908,0.626736111111111,0.5023148148148149,MID_8_30_Q8_EPOCHS,27
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.6325261403064156,0.6335740072202166,0.6095632608144667,0.6564829841609714,0.6325261403064156,0.511102803088266,MID_8_30_Q8_EPOCHS,27
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.5148809523809523,0.4545454545454545,0.4252622377622377,0.4375,0.5148809523809523,0.2903225806451613,MID_8_30_Q8_EPOCHS,27
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.2708333333333333,0.2708333333333333,0.1913562281111833,0.3039478637304724,0.2708333333333333,0.0277777777777777,MID_8_30_Q8_EPOCHS,13
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.2658471359558316,0.2658227848101265,0.1839352017513563,0.2890970400077225,0.2658471359558316,0.0212005353538435,MID_8_30_Q8_EPOCHS,13
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.3888888888888889,0.391304347826087,0.3219696969696969,0.3697916666666666,0.3888888888888889,0.1743589743589745,MID_8_30_Q8_EPOCHS,13
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.3055555555555555,0.3055555555555556,0.2719576020798135,0.3554098502842198,0.3055555555555555,0.074074074074074,MID_8_30_Q8_EPOCHS,13
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.2976247987117552,0.2965641952983725,0.264659768779521,0.3483543270496118,0.2976247987117552,0.0637194949446587,MID_8_30_Q8_EPOCHS,13
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.4930555555555555,0.5217391304347826,0.4411027568922305,0.4,0.4930555555555555,0.3180592991913746,MID_8_30_Q8_EPOCHS,13
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.2847222222222222,0.2847222222222222,0.2431509779686946,0.2850584259208581,0.2847222222222222,0.0462962962962962,MID_8_30_Q8_EPOCHS,13
