fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,126,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,1,2,14,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,1,3,3,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,1,4,1,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,2,1,44,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,2,2,98,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,2,3,2,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,2,4,0,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,3,1,33,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,3,2,9,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,3,3,90,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,3,4,12,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,4,1,38,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,4,2,1,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,4,3,82,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,all,4,4,23,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,1,1,122,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,1,2,14,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,1,3,3,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,1,4,1,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,2,1,42,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,2,2,95,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,2,3,2,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,2,4,0,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,3,1,29,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,3,2,8,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,3,3,89,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,3,4,11,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,4,1,36,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,4,2,1,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,4,3,79,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,unflagged,4,4,22,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,1,1,4,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,1,2,0,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,1,3,0,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,1,4,0,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,2,1,2,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,2,2,3,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,2,3,0,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,2,4,0,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,3,1,4,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,3,2,1,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,3,3,1,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,3,4,1,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,4,1,2,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,4,2,0,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,4,3,3,MU_BETA_SHARED_Q8_EPOCHS
loso_s1,1,20260924,flagged,4,4,1,MU_BETA_SHARED_Q8_EPOCHS
