fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.5850694444444444,0.5850694444444444,0.5519226947288924,0.6183659326120378,0.5850694444444444,0.4467592592592593,MU_BETA_SHARED_Q8_EPOCHS,27
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5909842837975166,0.592057761732852,0.5576384313091338,0.6248363820118009,0.5909842837975166,0.4557791194509283,MU_BETA_SHARED_Q8_EPOCHS,27
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.4773809523809524,0.4090909090909091,0.3996212121212121,0.4583333333333333,0.4773809523809524,0.2393617021276595,MU_BETA_SHARED_Q8_EPOCHS,27
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.6145833333333333,0.6145833333333334,0.5629831364975341,0.6414942771366919,0.6145833333333333,0.4861111111111111,MU_BETA_SHARED_Q8_EPOCHS,27
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.6205278652355805,0.6209386281588448,0.5674393518342999,0.652577696582452,0.6205278652355805,0.4947143490006341,MU_BETA_SHARED_Q8_EPOCHS,27
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.4863095238095238,0.4545454545454545,0.4392482517482518,0.46875,0.4863095238095238,0.2826086956521738,MU_BETA_SHARED_Q8_EPOCHS,27
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.6006944444444444,0.6006944444444444,0.5452398584242247,0.6796497978348768,0.6006944444444444,0.4675925925925925,MU_BETA_SHARED_Q8_EPOCHS,27
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.602168577510481,0.6028880866425993,0.5455681901957077,0.6775854425337551,0.602168577510481,0.4705887463187066,MU_BETA_SHARED_Q8_EPOCHS,27
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.5845238095238096,0.5454545454545454,0.5252747252747252,0.6736111111111112,0.5845238095238096,0.3989071038251366,MU_BETA_SHARED_Q8_EPOCHS,27
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.3107638888888889,0.3107638888888889,0.2440220671060287,0.3678683266154776,0.3107638888888889,0.0810185185185184,MU_BETA_SHARED_Q8_EPOCHS,13
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.306458477110651,0.3074141048824593,0.240893151603643,0.3655461685558371,0.306458477110651,0.0756987933404612,MU_BETA_SHARED_Q8_EPOCHS,13
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.4375,0.391304347826087,0.3506493506493506,0.34375,0.4375,0.2049382716049382,MU_BETA_SHARED_Q8_EPOCHS,13
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.2725694444444444,0.2725694444444444,0.2124494918072498,0.3138623406324394,0.2725694444444444,0.0300925925925925,MU_BETA_SHARED_Q8_EPOCHS,13
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.2726391764435242,0.2694394213381555,0.2125862013003719,0.3156400174748798,0.2726391764435242,0.0305402473421567,MU_BETA_SHARED_Q8_EPOCHS,13
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.2569444444444444,0.3478260869565217,0.1921296296296296,0.1597222222222222,0.2569444444444444,0.0,MU_BETA_SHARED_Q8_EPOCHS,13
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.2760416666666667,0.2760416666666667,0.2274240007662442,0.3617270339444681,0.2760416666666667,0.0347222222222222,MU_BETA_SHARED_Q8_EPOCHS,13
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.2799948240165631,0.2766726943942134,0.2286628140904437,0.3630690075929039,0.2799948240165631,0.0401138671434274,MU_BETA_SHARED_Q8_EPOCHS,13
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.2361111111111111,0.2608695652173913,0.205,0.1875,0.2361111111111111,-0.113960113960114,MU_BETA_SHARED_Q8_EPOCHS,13
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.6302083333333334,0.6302083333333334,0.6386408734940622,0.7167067789811472,0.6302083333333334,0.5069444444444444,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.6337892538585843,0.6335174953959485,0.6414930817027159,0.7215538552154261,0.6337892538585843,0.5119442825977968,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.5875,0.5757575757575758,0.589551282051282,0.6416666666666666,0.5875,0.4246575342465754,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.6545138888888888,0.6545138888888888,0.6519094830038146,0.6900579616726652,0.6545138888888888,0.5393518518518519,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.6546599995900011,0.6537753222836096,0.6509364826649937,0.6909358007048234,0.6546599995900011,0.5388264206688742,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.6743055555555555,0.6666666666666666,0.6722787081339713,0.6876623376623378,0.6743055555555555,0.5507425742574257,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.560763888888889,0.5607638888888888,0.529142300166843,0.6897284863136758,0.560763888888889,0.4143518518518518,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.5623655663144917,0.5616942909760589,0.5303961032327371,0.6919296954343683,0.5623655663144917,0.416247713259706,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.5423611111111111,0.5454545454545454,0.5052350427350427,0.6595238095238095,0.5423611111111111,0.3843283582089551,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s4,4,20260924,EEGNet,all,4608,576,4,0.3802083333333333,0.3802083333333333,0.2835304800293026,0.3459103653120142,0.3802083333333333,0.1736111111111111,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s4,4,20260924,EEGNet,unflagged,4608,490,4,0.3792924438948244,0.3857142857142857,0.2878316761915483,0.360893409400872,0.3792924438948244,0.1763280167984631,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s4,4,20260924,EEGNet,flagged,4608,86,4,0.3891666666666666,0.3488372093023256,0.2603988603988604,0.3027777777777777,0.3891666666666666,0.15936463606214,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s4,4,20260925,EEGNet,all,4608,576,4,0.390625,0.390625,0.3355751327525521,0.4532752318370598,0.390625,0.1875,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s4,4,20260925,EEGNet,unflagged,4608,490,4,0.3942488663465031,0.4,0.3465750788649547,0.4696105977355977,0.3942488663465031,0.195235993720986,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s4,4,20260925,EEGNet,flagged,4608,86,4,0.3778140096618357,0.3372093023255814,0.277938808373591,0.3543417366946778,0.3778140096618357,0.147033234731164,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s4,4,20260926,EEGNet,all,4608,576,4,0.375,0.375,0.3214388225013201,0.4093311861800036,0.375,0.1666666666666666,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s4,4,20260926,EEGNet,unflagged,4608,490,4,0.3768477487858202,0.3795918367346939,0.3234018137521973,0.5342250829092934,0.3768477487858202,0.1701993727473776,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s4,4,20260926,EEGNet,flagged,4608,86,4,0.3622222222222222,0.3488372093023256,0.3106060606060606,0.2894736842105263,0.3622222222222222,0.1482136540502299,MU_BETA_SHARED_Q8_EPOCHS,10
loso_s5,5,20260924,EEGNet,all,4608,576,4,0.2552083333333333,0.2552083333333333,0.1686462167689161,0.1276209297948428,0.2552083333333333,0.0069444444444444,MU_BETA_SHARED_Q8_EPOCHS,17
loso_s5,5,20260924,EEGNet,unflagged,4608,538,4,0.2590684727084887,0.2546468401486988,0.1691647597254004,0.1274367001463831,0.2590684727084887,0.0117904650225365,MU_BETA_SHARED_Q8_EPOCHS,17
loso_s5,5,20260924,EEGNet,flagged,4608,38,4,0.2097902097902098,0.2631578947368421,0.1619644723092999,0.1319444444444444,0.2097902097902098,-0.0791075050709937,MU_BETA_SHARED_Q8_EPOCHS,17
loso_s5,5,20260925,EEGNet,all,4608,576,4,0.2517361111111111,0.2517361111111111,0.1129094076655052,0.1133992805755395,0.2517361111111111,0.0023148148148147,MU_BETA_SHARED_Q8_EPOCHS,17
loso_s5,5,20260925,EEGNet,unflagged,4608,538,4,0.2500860930953337,0.2472118959107806,0.1096932515337423,0.1020941081026265,0.2500860930953337,0.0001743695165375,MU_BETA_SHARED_Q8_EPOCHS,17
loso_s5,5,20260925,EEGNet,flagged,4608,38,4,0.2692307692307692,0.3157894736842105,0.150297619047619,0.3243243243243243,0.2692307692307692,0.0351562500000001,MU_BETA_SHARED_Q8_EPOCHS,17
loso_s5,5,20260926,EEGNet,all,4608,576,4,0.2621527777777778,0.2621527777777778,0.1474982027318475,0.1361518915866741,0.2621527777777778,0.0162037037037037,MU_BETA_SHARED_Q8_EPOCHS,17
loso_s5,5,20260926,EEGNet,unflagged,4608,538,4,0.2636744533088446,0.2602230483271375,0.1466480800912432,0.1346584915611814,0.2636744533088446,0.0178609105670175,MU_BETA_SHARED_Q8_EPOCHS,17
loso_s5,5,20260926,EEGNet,flagged,4608,38,4,0.243006993006993,0.2894736842105263,0.1572827417380661,0.1536458333333333,0.243006993006993,-0.0118343195266272,MU_BETA_SHARED_Q8_EPOCHS,17
loso_s6,6,20260924,EEGNet,all,4608,576,4,0.2708333333333333,0.2708333333333333,0.2344401880024816,0.3972164118927616,0.2708333333333333,0.0277777777777777,MU_BETA_SHARED_Q8_EPOCHS,15
loso_s6,6,20260924,EEGNet,unflagged,4608,434,4,0.2793680138557443,0.2741935483870967,0.2448849721586851,0.5320946378003106,0.2793680138557443,0.0415597526605813,MU_BETA_SHARED_Q8_EPOCHS,15
loso_s6,6,20260924,EEGNet,flagged,4608,142,4,0.2378666863086698,0.2605633802816901,0.1921880060949677,0.2538678426836321,0.2378666863086698,-0.0194871794871793,MU_BETA_SHARED_Q8_EPOCHS,15
loso_s6,6,20260925,EEGNet,all,4608,576,4,0.2777777777777778,0.2777777777777778,0.2472761533538933,0.4064078548308994,0.2777777777777778,0.037037037037037,MU_BETA_SHARED_Q8_EPOCHS,15
loso_s6,6,20260925,EEGNet,unflagged,4608,434,4,0.2849538240662873,0.2811059907834101,0.253799906902945,0.467443923488244,0.2849538240662873,0.0484529489891287,MU_BETA_SHARED_Q8_EPOCHS,15
loso_s6,6,20260925,EEGNet,flagged,4608,142,4,0.252457919143267,0.2676056338028169,0.2231661445738413,0.2722039473684211,0.252457919143267,0.0024317751958929,MU_BETA_SHARED_Q8_EPOCHS,15
loso_s6,6,20260926,EEGNet,all,4608,576,4,0.2673611111111111,0.2673611111111111,0.1991760137477565,0.3018155148557728,0.2673611111111111,0.0231481481481481,MU_BETA_SHARED_Q8_EPOCHS,15
loso_s6,6,20260926,EEGNet,unflagged,4608,434,4,0.2792057087274532,0.2811059907834101,0.2034396260932698,0.3874814195466369,0.2792057087274532,0.0419222686845958,MU_BETA_SHARED_Q8_EPOCHS,15
loso_s6,6,20260926,EEGNet,flagged,4608,142,4,0.2264196684771469,0.2253521126760563,0.1813640521931725,0.212136126864809,0.2264196684771469,-0.0378737541528237,MU_BETA_SHARED_Q8_EPOCHS,15
loso_s7,7,20260924,EEGNet,all,4608,576,4,0.3680555555555556,0.3680555555555556,0.3474003047955562,0.4652957477061337,0.3680555555555556,0.1574074074074074,MU_BETA_SHARED_Q8_EPOCHS,16
loso_s7,7,20260924,EEGNet,unflagged,4608,548,4,0.3602178026963809,0.3594890510948905,0.3393675441521596,0.4569692895585753,0.3602178026963809,0.1466143730534087,MU_BETA_SHARED_Q8_EPOCHS,16
loso_s7,7,20260924,EEGNet,flagged,4608,28,4,0.5099206349206349,0.5357142857142857,0.4968137254901961,0.6117424242424243,0.5099206349206349,0.3691507798960138,MU_BETA_SHARED_Q8_EPOCHS,16
loso_s7,7,20260925,EEGNet,all,4608,576,4,0.3125,0.3125,0.2696604170675682,0.3728043070273549,0.3125,0.0833333333333333,MU_BETA_SHARED_Q8_EPOCHS,16
loso_s7,7,20260925,EEGNet,unflagged,4608,548,4,0.3084723250702305,0.3065693430656934,0.265880963847341,0.3692684377088493,0.3084723250702305,0.0773225339069788,MU_BETA_SHARED_Q8_EPOCHS,16
loso_s7,7,20260925,EEGNet,flagged,4608,28,4,0.3849206349206349,0.4285714285714285,0.3387179487179487,0.3177083333333333,0.3849206349206349,0.2028469750889679,MU_BETA_SHARED_Q8_EPOCHS,16
loso_s7,7,20260926,EEGNet,all,4608,576,4,0.3420138888888889,0.3420138888888889,0.3291762845912735,0.4051226551226551,0.3420138888888889,0.1226851851851852,MU_BETA_SHARED_Q8_EPOCHS,16
loso_s7,7,20260926,EEGNet,unflagged,4608,548,4,0.3388168952830964,0.3375912408759124,0.325657017434252,0.4014319602145478,0.3388168952830964,0.1178732178887387,MU_BETA_SHARED_Q8_EPOCHS,16
loso_s7,7,20260926,EEGNet,flagged,4608,28,4,0.3849206349206349,0.4285714285714285,0.3855072463768115,0.4583333333333333,0.3849206349206349,0.2154115586690017,MU_BETA_SHARED_Q8_EPOCHS,16
loso_s8,8,20260924,EEGNet,all,4608,576,4,0.6753472222222222,0.6753472222222222,0.6704426088617266,0.7135388380073071,0.6753472222222222,0.5671296296296297,MU_BETA_SHARED_Q8_EPOCHS,23
loso_s8,8,20260924,EEGNet,unflagged,4608,535,4,0.6789499676539902,0.680373831775701,0.6753729509473965,0.7160976247679623,0.6789499676539902,0.5733234458731513,MU_BETA_SHARED_Q8_EPOCHS,23
loso_s8,8,20260924,EEGNet,flagged,4608,41,4,0.6424242424242425,0.6097560975609756,0.6038405797101449,0.7009803921568628,0.6424242424242425,0.4894941634241244,MU_BETA_SHARED_Q8_EPOCHS,23
loso_s8,8,20260925,EEGNet,all,4608,576,4,0.65625,0.65625,0.6483630626530572,0.713909942182001,0.65625,0.5416666666666667,MU_BETA_SHARED_Q8_EPOCHS,23
loso_s8,8,20260925,EEGNet,unflagged,4608,535,4,0.6602064351056426,0.6598130841121496,0.6512881937155306,0.718050284629981,0.6602064351056426,0.5463926170588427,MU_BETA_SHARED_Q8_EPOCHS,23
loso_s8,8,20260925,EEGNet,flagged,4608,41,4,0.6053030303030303,0.6097560975609756,0.6064213564213564,0.6563492063492063,0.6053030303030303,0.4777070063694267,MU_BETA_SHARED_Q8_EPOCHS,23
loso_s8,8,20260926,EEGNet,all,4608,576,4,0.5711805555555556,0.5711805555555556,0.5392326151481426,0.6895215514871625,0.5711805555555556,0.4282407407407407,MU_BETA_SHARED_Q8_EPOCHS,23
loso_s8,8,20260926,EEGNet,unflagged,4608,535,4,0.571404691991772,0.5700934579439252,0.5358601994032458,0.6856210566591704,0.571404691991772,0.4269841343758295,MU_BETA_SHARED_Q8_EPOCHS,23
loso_s8,8,20260926,EEGNet,flagged,4608,41,4,0.5804924242424243,0.5853658536585366,0.5770676691729323,0.7375,0.5804924242424243,0.4468253968253969,MU_BETA_SHARED_Q8_EPOCHS,23
loso_s9,9,20260924,EEGNet,all,4608,576,4,0.5086805555555556,0.5086805555555556,0.511886401331051,0.5164689548238811,0.5086805555555556,0.3449074074074074,MU_BETA_SHARED_Q8_EPOCHS,9
loso_s9,9,20260924,EEGNet,unflagged,4608,501,4,0.5111768252933507,0.5089820359281437,0.5139473766450326,0.5180874535988172,0.5111768252933507,0.3446348713421995,MU_BETA_SHARED_Q8_EPOCHS,9
loso_s9,9,20260924,EEGNet,flagged,4608,75,4,0.4927161654135338,0.5066666666666667,0.4833465333465333,0.4963731443994602,0.4927161654135338,0.3400713436385255,MU_BETA_SHARED_Q8_EPOCHS,9
loso_s9,9,20260925,EEGNet,all,4608,576,4,0.5572916666666667,0.5572916666666666,0.5483728175304032,0.5845404006370988,0.5572916666666667,0.4097222222222222,MU_BETA_SHARED_Q8_EPOCHS,9
loso_s9,9,20260925,EEGNet,unflagged,4608,501,4,0.5622356991525423,0.5588822355289421,0.5534495902420431,0.5880465965831819,0.5622356991525423,0.4114592192549753,MU_BETA_SHARED_Q8_EPOCHS,9
loso_s9,9,20260925,EEGNet,flagged,4608,75,4,0.5339520676691729,0.5466666666666666,0.5155995224287908,0.5577108092812677,0.5339520676691729,0.3957345971563981,MU_BETA_SHARED_Q8_EPOCHS,9
loso_s9,9,20260926,EEGNet,all,4608,576,4,0.517361111111111,0.5173611111111112,0.5083958888944227,0.5296448000170334,0.517361111111111,0.3564814814814815,MU_BETA_SHARED_Q8_EPOCHS,9
loso_s9,9,20260926,EEGNet,unflagged,4608,501,4,0.5243531616688397,0.5209580838323353,0.5146563256955337,0.5325778791713245,0.5243531616688397,0.3609659915284413,MU_BETA_SHARED_Q8_EPOCHS,9
loso_s9,9,20260926,EEGNet,flagged,4608,75,4,0.4897158762290341,0.4933333333333333,0.4685822514289375,0.5152661064425771,0.4897158762290341,0.3264003781611911,MU_BETA_SHARED_Q8_EPOCHS,9
