fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,37.0,1.0,5.0,26.0,17.25,False
loso_s1,1,2,38.0,2.0,6.0,24.0,17.5,False
loso_s1,1,3,39.0,3.0,4.0,16.0,15.5,False
loso_s1,1,4,36.0,7.0,2.0,11.0,14.0,False
loso_s1,1,5,32.0,12.0,1.0,4.0,12.25,False
loso_s1,1,6,28.0,14.0,3.0,2.0,11.75,False
loso_s1,1,7,18.0,9.0,7.0,1.0,8.75,False
loso_s1,1,8,14.0,19.0,8.0,22.0,15.75,False
loso_s1,1,9,17.0,27.0,13.0,6.0,15.75,False
loso_s1,1,10,5.0,16.0,12.0,10.0,10.75,False
loso_s1,1,11,22.0,26.0,10.0,3.0,15.25,False
loso_s1,1,12,3.0,10.0,9.0,12.0,8.5,True
loso_s1,1,13,2.0,28.0,39.0,30.0,24.75,False
loso_s1,1,14,1.0,13.0,24.0,9.0,11.75,False
loso_s1,1,15,20.0,4.0,22.0,13.0,14.75,False
loso_s1,1,16,19.0,24.0,16.0,25.0,21.0,False
loso_s1,1,17,7.0,23.0,21.0,5.0,14.0,False
loso_s1,1,18,8.0,5.0,38.0,15.0,16.5,False
loso_s1,1,19,10.0,18.0,34.0,39.0,25.25,False
loso_s1,1,20,23.0,30.0,14.0,7.0,18.5,False
loso_s1,1,21,13.0,35.0,28.0,20.0,24.0,False
loso_s1,1,22,12.0,8.0,19.0,8.0,11.75,False
loso_s1,1,23,16.0,21.0,20.0,36.0,23.25,False
loso_s1,1,24,6.0,22.0,15.0,23.0,16.5,False
loso_s1,1,25,24.0,36.0,23.0,18.0,25.25,False
loso_s1,1,26,26.0,32.0,25.0,38.0,30.25,False
loso_s1,1,27,40.0,40.0,27.0,31.0,34.5,False
loso_s1,1,28,11.0,17.0,29.0,32.0,22.25,False
loso_s1,1,29,21.0,6.0,36.0,14.0,19.25,False
loso_s1,1,30,25.0,11.0,11.0,17.0,16.0,False
loso_s1,1,31,34.0,31.0,31.0,37.0,33.25,False
loso_s1,1,32,31.0,15.0,37.0,29.0,28.0,False
loso_s1,1,33,30.0,29.0,18.0,27.0,26.0,False
loso_s1,1,34,35.0,25.0,35.0,28.0,30.75,False
loso_s1,1,35,29.0,38.0,17.0,21.0,26.25,False
loso_s1,1,36,27.0,34.0,26.0,33.0,30.0,False
loso_s1,1,37,15.0,33.0,30.0,35.0,28.25,False
loso_s1,1,38,9.0,37.0,33.0,19.0,24.5,False
loso_s1,1,39,4.0,20.0,40.0,34.0,24.5,False
loso_s1,1,40,33.0,39.0,32.0,40.0,36.0,False
loso_s2,2,1,40.0,1.0,3.0,20.0,16.0,False
loso_s2,2,2,39.0,2.0,4.0,17.0,15.5,False
loso_s2,2,3,38.0,3.0,5.0,7.0,13.25,False
loso_s2,2,4,37.0,4.0,1.0,5.0,11.75,False
