fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s8,8,20260925,all,1,1,83,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,1,2,28,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,1,3,22,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,1,4,11,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,2,1,0,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,2,2,143,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,2,3,1,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,2,4,0,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,3,1,7,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,3,2,91,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,3,3,40,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,3,4,6,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,4,1,3,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,4,2,94,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,4,3,7,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,all,4,4,40,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,1,1,78,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,1,2,24,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,1,3,21,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,1,4,9,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,2,1,0,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,2,2,133,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,2,3,1,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,2,4,0,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,3,1,7,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,3,2,86,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,3,3,34,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,3,4,6,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,4,1,3,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,4,2,86,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,4,3,7,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,unflagged,4,4,40,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,1,1,5,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,1,2,4,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,1,3,1,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,1,4,2,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,2,1,0,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,2,2,10,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,2,3,0,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,2,4,0,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,3,1,0,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,3,2,5,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,3,3,6,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,3,4,0,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,4,1,0,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,4,2,8,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,4,3,0,MU_BETA_SHARED_SOURCE_NORM
loso_s8,8,20260925,flagged,4,4,0,MU_BETA_SHARED_SOURCE_NORM
