fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,38.0,1.0,3.0,22.0,16.0,False
loso_s1,1,2,40.0,2.0,4.0,19.0,16.25,False
loso_s1,1,3,39.0,3.0,5.0,12.0,14.75,False
loso_s1,1,4,37.0,4.0,2.0,9.0,13.0,False
loso_s1,1,5,36.0,11.0,1.0,7.0,13.75,False
loso_s1,1,6,31.0,9.0,6.0,11.0,14.25,False
loso_s1,1,7,20.0,20.0,7.0,31.0,19.5,False
loso_s1,1,8,21.0,31.0,8.0,33.0,23.25,False
loso_s1,1,9,25.0,23.0,9.0,24.0,20.25,False
loso_s1,1,10,2.0,8.0,20.0,35.0,16.25,False
loso_s1,1,11,10.0,12.0,22.0,30.0,18.5,False
loso_s1,1,12,11.0,17.0,18.0,34.0,20.0,False
loso_s1,1,13,4.0,36.0,34.0,29.0,25.75,False
loso_s1,1,14,6.0,14.0,26.0,37.0,20.75,False
loso_s1,1,15,30.0,34.0,10.0,39.0,28.25,False
loso_s1,1,16,8.0,13.0,11.0,40.0,18.0,False
loso_s1,1,17,12.0,24.0,37.0,38.0,27.75,False
loso_s1,1,18,9.0,37.0,13.0,13.0,18.0,False
loso_s1,1,19,5.0,18.0,17.0,20.0,15.0,False
loso_s1,1,20,22.0,15.0,21.0,25.0,20.75,False
loso_s1,1,21,15.0,5.0,40.0,36.0,24.0,False
loso_s1,1,22,19.0,6.0,12.0,26.0,15.75,False
loso_s1,1,23,18.0,26.0,16.0,15.0,18.75,False
loso_s1,1,24,35.0,38.0,28.0,32.0,33.25,False
loso_s1,1,25,26.0,27.0,30.0,10.0,23.25,False
loso_s1,1,26,7.0,7.0,25.0,2.0,10.25,True
loso_s1,1,27,16.0,16.0,33.0,14.0,19.75,False
loso_s1,1,28,23.0,21.0,39.0,6.0,22.25,False
loso_s1,1,29,14.0,19.0,24.0,1.0,14.5,False
