fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.5833333333333334,0.5833333333333334,0.534789610553354,0.6088177769027312,0.5833333333333334,0.4444444444444444,MU_BETA_SHARED_SOURCE_NORM,26
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5889989368617542,0.5902527075812274,0.5396034396393388,0.6179582958176443,0.5889989368617542,0.4533639343122169,MU_BETA_SHARED_SOURCE_NORM,26
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.4505952380952381,0.4090909090909091,0.4029761904761904,0.4499999999999999,0.4505952380952381,0.2311827956989246,MU_BETA_SHARED_SOURCE_NORM,26
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.6059027777777778,0.6059027777777778,0.5605407828133939,0.6132545695045695,0.6059027777777778,0.4745370370370371,MU_BETA_SHARED_SOURCE_NORM,26
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.6147687172835065,0.6155234657039711,0.5676460404000813,0.6282996894409938,0.6147687172835065,0.4873824366298139,MU_BETA_SHARED_SOURCE_NORM,26
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.400595238095238,0.3636363636363636,0.358974358974359,0.3749999999999999,0.400595238095238,0.1630434782608695,MU_BETA_SHARED_SOURCE_NORM,26
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.5763888888888888,0.5763888888888888,0.5207297966149372,0.6194629528782394,0.5763888888888888,0.4351851851851852,MU_BETA_SHARED_SOURCE_NORM,26
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.5796162376441506,0.5794223826714802,0.5215034463632311,0.6099549348045794,0.5796162376441506,0.4397920301365344,MU_BETA_SHARED_SOURCE_NORM,26
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.4684523809523809,0.5,0.4577922077922077,0.6625,0.4684523809523809,0.2985507246376812,MU_BETA_SHARED_SOURCE_NORM,26
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.3020833333333333,0.3020833333333333,0.2409036207975955,0.3166425706765974,0.3020833333333333,0.0694444444444444,MU_BETA_SHARED_SOURCE_NORM,13
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.2994737750172532,0.3001808318264014,0.2375576157552902,0.3048717948717949,0.2994737750172532,0.0664081244492527,MU_BETA_SHARED_SOURCE_NORM,13
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.3611111111111111,0.3478260869565217,0.3,0.4642857142857143,0.3611111111111111,0.146039603960396,MU_BETA_SHARED_SOURCE_NORM,13
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.2916666666666667,0.2916666666666667,0.2929349113945711,0.3229416491521258,0.2916666666666667,0.0555555555555555,MU_BETA_SHARED_SOURCE_NORM,13
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.2920404876926616,0.2911392405063291,0.2932829916619116,0.3226363607387704,0.2920404876926616,0.0569421181998129,MU_BETA_SHARED_SOURCE_NORM,13
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.2638888888888889,0.3043478260869565,0.2428571428571428,0.2447916666666666,0.2638888888888889,-0.0366197183098591,MU_BETA_SHARED_SOURCE_NORM,13
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.2690972222222222,0.2690972222222222,0.2300631459471945,0.3392134959596006,0.2690972222222222,0.0254629629629629,MU_BETA_SHARED_SOURCE_NORM,13
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.2699907982516678,0.267631103074141,0.2291978983481732,0.3382800769010441,0.2699907982516678,0.0269963810773353,MU_BETA_SHARED_SOURCE_NORM,13
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.2986111111111111,0.3043478260869565,0.2619047619047618,0.2333333333333333,0.2986111111111111,-0.0082191780821918,MU_BETA_SHARED_SOURCE_NORM,13
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.6284722222222222,0.6284722222222222,0.6285896684535021,0.6627917862059391,0.6284722222222222,0.5046296296296297,MU_BETA_SHARED_SOURCE_NORM,6
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.6277325453578937,0.6279926335174953,0.6272302903401322,0.6621925697166987,0.6277325453578937,0.5042440677966102,MU_BETA_SHARED_SOURCE_NORM,6
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.6361111111111111,0.6363636363636364,0.6413419913419913,0.6625000000000001,0.6361111111111111,0.5068493150684932,MU_BETA_SHARED_SOURCE_NORM,6
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.517361111111111,0.5173611111111112,0.5188530400615708,0.7147653975681392,0.517361111111111,0.3564814814814815,MU_BETA_SHARED_SOURCE_NORM,6
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.5174001140221032,0.5156537753222836,0.5186447799275691,0.7135379084245939,0.5174001140221032,0.3557585600216538,MU_BETA_SHARED_SOURCE_NORM,6
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.5104166666666666,0.5454545454545454,0.5168997668997669,0.7336956521739131,0.5104166666666666,0.3645699614890886,MU_BETA_SHARED_SOURCE_NORM,6
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.484375,0.484375,0.4283641417965104,0.6551005893111157,0.484375,0.3125,MU_BETA_SHARED_SOURCE_NORM,6
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.4883936120053329,0.4917127071823204,0.4347358077605666,0.6589687359424201,0.4883936120053329,0.3207916574137439,MU_BETA_SHARED_SOURCE_NORM,6
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.425,0.3636363636363636,0.3237807943690297,0.3428571428571428,0.425,0.1875732708089096,MU_BETA_SHARED_SOURCE_NORM,6
loso_s4,4,20260924,EEGNet,all,4608,576,4,0.3663194444444445,0.3663194444444444,0.3048416123685259,0.3613071977247896,0.3663194444444445,0.1550925925925925,MU_BETA_SHARED_SOURCE_NORM,10
loso_s4,4,20260924,EEGNet,unflagged,4608,490,4,0.3688304967414851,0.373469387755102,0.3118533860769763,0.3653860284548768,0.3688304967414851,0.161132022863516,MU_BETA_SHARED_SOURCE_NORM,10
loso_s4,4,20260924,EEGNet,flagged,4608,86,4,0.3591666666666666,0.3255813953488372,0.2655462184873949,0.246505376344086,0.3591666666666666,0.1273617914625611,MU_BETA_SHARED_SOURCE_NORM,10
loso_s4,4,20260925,EEGNet,all,4608,576,4,0.3819444444444444,0.3819444444444444,0.3213231299223991,0.3523182610072854,0.3819444444444444,0.1759259259259259,MU_BETA_SHARED_SOURCE_NORM,10
loso_s4,4,20260925,EEGNet,unflagged,4608,490,4,0.3861636741251197,0.3897959183673469,0.328221590509204,0.3675980090311986,0.3861636741251197,0.183706444100244,MU_BETA_SHARED_SOURCE_NORM,10
loso_s4,4,20260925,EEGNet,flagged,4608,86,4,0.365,0.3372093023255814,0.2857761286332715,0.2975806451612903,0.365,0.1365157653690328,MU_BETA_SHARED_SOURCE_NORM,10
loso_s4,4,20260926,EEGNet,all,4608,576,4,0.3368055555555556,0.3368055555555556,0.2993577775956691,0.2874972959299384,0.3368055555555556,0.1157407407407407,MU_BETA_SHARED_SOURCE_NORM,10
loso_s4,4,20260926,EEGNet,unflagged,4608,490,4,0.3403549591879762,0.3408163265306122,0.3004634330081022,0.2878386699507389,0.3403549591879762,0.1193327249660576,MU_BETA_SHARED_SOURCE_NORM,10
loso_s4,4,20260926,EEGNet,flagged,4608,86,4,0.3247222222222222,0.313953488372093,0.292113891285591,0.2834754521963825,0.3247222222222222,0.0998758204718822,MU_BETA_SHARED_SOURCE_NORM,10
loso_s5,5,20260924,EEGNet,all,4608,576,4,0.2361111111111111,0.2361111111111111,0.1571863712329505,0.1181424945701247,0.2361111111111111,-0.0185185185185186,MU_BETA_SHARED_SOURCE_NORM,10
loso_s5,5,20260924,EEGNet,unflagged,4608,538,4,0.2422372725707398,0.2379182156133829,0.1593634859763892,0.1190948469216104,0.2422372725707398,-0.010134315166669,MU_BETA_SHARED_SOURCE_NORM,10
loso_s5,5,20260924,EEGNet,flagged,4608,38,4,0.1678321678321678,0.2105263157894736,0.1295715778474399,0.1055555555555555,0.1678321678321678,-0.1561866125760649,MU_BETA_SHARED_SOURCE_NORM,10
loso_s5,5,20260925,EEGNet,all,4608,576,4,0.2378472222222222,0.2378472222222222,0.1550100109210047,0.1205357142857142,0.2378472222222222,-0.0162037037037037,MU_BETA_SHARED_SOURCE_NORM,10
loso_s5,5,20260925,EEGNet,unflagged,4608,538,4,0.2381048039947196,0.2342007434944238,0.1544895206132991,0.1191298342541436,0.2381048039947196,-0.0156431850881131,MU_BETA_SHARED_SOURCE_NORM,10
loso_s5,5,20260925,EEGNet,flagged,4608,38,4,0.243006993006993,0.2894736842105263,0.1573751451800232,0.1375,0.243006993006993,-0.0158415841584158,MU_BETA_SHARED_SOURCE_NORM,10
loso_s5,5,20260926,EEGNet,all,4608,576,4,0.2552083333333333,0.2552083333333333,0.1292937079185984,0.1707509416195857,0.2552083333333333,0.0069444444444444,MU_BETA_SHARED_SOURCE_NORM,10
loso_s5,5,20260926,EEGNet,unflagged,4608,538,4,0.2553988065084717,0.2490706319702602,0.1265939603597127,0.1781356112054329,0.2553988065084717,0.0068993246886166,MU_BETA_SHARED_SOURCE_NORM,10
loso_s5,5,20260926,EEGNet,flagged,4608,38,4,0.2534965034965035,0.3421052631578947,0.1634615384615384,0.2107142857142857,0.2534965034965035,0.0114464099895942,MU_BETA_SHARED_SOURCE_NORM,10
loso_s6,6,20260924,EEGNet,all,4608,576,4,0.3020833333333333,0.3020833333333333,0.2668367171524541,0.3849822757887274,0.3020833333333333,0.0694444444444444,MU_BETA_SHARED_SOURCE_NORM,21
loso_s6,6,20260924,EEGNet,unflagged,4608,434,4,0.3104169317588975,0.3110599078341013,0.2742324106562119,0.452924235317528,0.3104169317588975,0.0833533475552039,MU_BETA_SHARED_SOURCE_NORM,21
loso_s6,6,20260924,EEGNet,flagged,4608,142,4,0.2698116289198606,0.2746478873239437,0.2406356691213619,0.270466079059829,0.2698116289198606,0.0249333333333333,MU_BETA_SHARED_SOURCE_NORM,21
loso_s6,6,20260925,EEGNet,all,4608,576,4,0.3107638888888889,0.3107638888888889,0.2971105834517,0.4289145684031001,0.3107638888888889,0.0810185185185184,MU_BETA_SHARED_SOURCE_NORM,21
loso_s6,6,20260925,EEGNet,unflagged,4608,434,4,0.3176845316658935,0.315668202764977,0.3035933830639591,0.4745552001895285,0.3176845316658935,0.0920182303590422,MU_BETA_SHARED_SOURCE_NORM,21
loso_s6,6,20260925,EEGNet,flagged,4608,142,4,0.2866782383685181,0.2957746478873239,0.2768959037089812,0.3449081000924319,0.2866782383685181,0.0493405637008771,MU_BETA_SHARED_SOURCE_NORM,21
loso_s6,6,20260926,EEGNet,all,4608,576,4,0.2604166666666667,0.2604166666666667,0.2149343151969501,0.3207788389980461,0.2604166666666667,0.0138888888888888,MU_BETA_SHARED_SOURCE_NORM,21
loso_s6,6,20260926,EEGNet,unflagged,4608,434,4,0.2643199292579692,0.2626728110599078,0.2176161967709251,0.4439390067297044,0.2643199292579692,0.0225362818654016,MU_BETA_SHARED_SOURCE_NORM,21
loso_s6,6,20260926,EEGNet,flagged,4608,142,4,0.242691893830703,0.2535211267605634,0.2026933148657129,0.1907210519342872,0.242691893830703,-0.0136709542730151,MU_BETA_SHARED_SOURCE_NORM,21
loso_s7,7,20260924,EEGNet,all,4608,576,4,0.3541666666666667,0.3541666666666667,0.3434705217847631,0.433250538831419,0.3541666666666667,0.1388888888888888,MU_BETA_SHARED_SOURCE_NORM,16
loso_s7,7,20260924,EEGNet,unflagged,4608,548,4,0.3521674483115296,0.3521897810218978,0.3403529031477458,0.4313340598910242,0.3521674483115296,0.136053575869542,MU_BETA_SHARED_SOURCE_NORM,16
loso_s7,7,20260924,EEGNet,flagged,4608,28,4,0.3908730158730158,0.3928571428571428,0.3963675213675213,0.5267857142857143,0.3908730158730158,0.1973018549747049,MU_BETA_SHARED_SOURCE_NORM,16
loso_s7,7,20260925,EEGNet,all,4608,576,4,0.3003472222222222,0.3003472222222222,0.2543209031105462,0.3620725226117383,0.3003472222222222,0.0671296296296296,MU_BETA_SHARED_SOURCE_NORM,16
loso_s7,7,20260925,EEGNet,unflagged,4608,548,4,0.295566369288997,0.2937956204379562,0.2507078507078507,0.3603271372092336,0.295566369288997,0.0601925914765197,MU_BETA_SHARED_SOURCE_NORM,16
loso_s7,7,20260925,EEGNet,flagged,4608,28,4,0.3968253968253968,0.4285714285714285,0.3208333333333333,0.3,0.3968253968253968,0.2112676056338027,MU_BETA_SHARED_SOURCE_NORM,16
loso_s7,7,20260926,EEGNet,all,4608,576,4,0.3315972222222222,0.3315972222222222,0.3054307869022957,0.4452997435954816,0.3315972222222222,0.1087962962962962,MU_BETA_SHARED_SOURCE_NORM,16
loso_s7,7,20260926,EEGNet,unflagged,4608,548,4,0.327786299469892,0.3266423357664234,0.3023831146110102,0.4434549247049247,0.327786299469892,0.1033999609811467,MU_BETA_SHARED_SOURCE_NORM,16
loso_s7,7,20260926,EEGNet,flagged,4608,28,4,0.3908730158730158,0.4285714285714285,0.3515203182722364,0.4431818181818182,0.3908730158730158,0.2167832167832168,MU_BETA_SHARED_SOURCE_NORM,16
loso_s8,8,20260924,EEGNet,all,4608,576,4,0.6302083333333333,0.6302083333333334,0.6301890304463204,0.6889587282531613,0.6302083333333333,0.5069444444444444,MU_BETA_SHARED_SOURCE_NORM,9
loso_s8,8,20260924,EEGNet,unflagged,4608,535,4,0.6356046578454277,0.6355140186915887,0.6366178673908311,0.6970509625736405,0.6356046578454277,0.5141097951180434,MU_BETA_SHARED_SOURCE_NORM,9
loso_s8,8,20260924,EEGNet,flagged,4608,41,4,0.5566287878787879,0.5609756097560976,0.5415694726166328,0.59375,0.5566287878787879,0.4138204924543289,MU_BETA_SHARED_SOURCE_NORM,9
loso_s8,8,20260925,EEGNet,all,4608,576,4,0.53125,0.53125,0.5110659167194902,0.64183536723287,0.53125,0.375,MU_BETA_SHARED_SOURCE_NORM,9
loso_s8,8,20260925,EEGNet,unflagged,4608,535,4,0.5333007872862777,0.5327102803738317,0.5123479727543174,0.6393935556169599,0.5333007872862777,0.3769332538292401,MU_BETA_SHARED_SOURCE_NORM,9
loso_s8,8,20260925,EEGNet,flagged,4608,41,4,0.490530303030303,0.5121951219512195,0.4488606253312135,0.5568783068783069,0.490530303030303,0.3481717011128776,MU_BETA_SHARED_SOURCE_NORM,9
loso_s8,8,20260926,EEGNet,all,4608,576,4,0.5590277777777778,0.5590277777777778,0.5399535289678469,0.6497774833292527,0.5590277777777778,0.4120370370370371,MU_BETA_SHARED_SOURCE_NORM,9
loso_s8,8,20260926,EEGNet,unflagged,4608,535,4,0.5610028843359096,0.5607476635514018,0.5393630120208901,0.6540955349628041,0.5610028843359096,0.4141698895671217,MU_BETA_SHARED_SOURCE_NORM,9
loso_s8,8,20260926,EEGNet,flagged,4608,41,4,0.5365530303030304,0.5365853658536586,0.5264774516419254,0.6168560606060606,0.5365530303030304,0.3822363203806502,MU_BETA_SHARED_SOURCE_NORM,9
